id,gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,raisedhands,VisITedResources,AnnouncementsView,Discussion,class
550,F,Syria,Jordan,lowerlevel,G-06,C,Quran,S,Mum,No,Bad,Above-7,42,52,65,45,1
551,M,Iraq,Jordan,MiddleSchool,G-12,A,French,F,Father,No,Bad,Above-7,5,87,82,5,1
552,M,KW,Iran,lowerlevel,G-07,B,Quran,F,Father,No,Good,Above-7,84,35,14,71,1
553,F,Iran,Lybia,lowerlevel,G-11,B,Science,F,Mum,Yes,Good,Under-7,4,42,30,70,1
554,F,KW,Lybia,MiddleSchool,G-09,A,Math,F,Mum,Yes,Good,Under-7,7,0,0,9,1
555,F,USA,lebanon,MiddleSchool,G-08,C,Arabic,F,Mum,Yes,Bad,Above-7,28,5,72,49,0
556,M,Iraq,Iraq,lowerlevel,G-02,B,Biology,F,Father,Yes,Bad,Under-7,33,12,38,62,1
557,M,Jordan,Morocco,HighSchool,G-11,B,French,S,Father,Yes,Good,Under-7,57,10,28,49,1
558,F,Jordan,Iraq,MiddleSchool,G-04,C,History,S,Mum,Yes,Good,Above-7,49,86,57,6,1
559,F,Palestine,venzuela,MiddleSchool,G-05,B,Arabic,F,Father,Yes,Good,Under-7,28,21,6,44,1
560,F,Morocco,KuwaIT,MiddleSchool,G-10,A,Arabic,F,Mum,Yes,Good,Under-7,5,96,12,23,1
561,M,Tunis,Tunis,MiddleSchool,G-02,B,French,F,Father,Yes,Bad,Under-7,21,40,28,55,0
562,F,Palestine,Iraq,MiddleSchool,G-02,B,Chemistry,F,Father,Yes,Bad,Above-7,55,13,24,94,1
563,F,Iran,Morocco,MiddleSchool,G-11,A,English,S,Father,No,Good,Under-7,29,94,85,25,1
564,F,Jordan,USA,lowerlevel,G-08,B,History,F,Father,Yes,Good,Under-7,70,70,14,91,1
565,M,SaudiArabia,Lybia,HighSchool,G-09,B,French,S,Mum,Yes,Bad,Under-7,1,57,89,68,1
566,M,SaudiArabia,SaudiArabia,lowerlevel,G-04,B,Quran,S,Father,No,Good,Above-7,40,7,5,45,1
567,F,Palestine,USA,HighSchool,G-06,B,History,F,Mum,Yes,Bad,Under-7,16,14,41,81,1
568,M,Egypt,SaudiArabia,lowerlevel,G-06,A,Arabic,F,Father,Yes,Bad,Under-7,82,26,64,92,0
569,F,Syria,Tunis,HighSchool,G-11,C,Quran,F,Mum,Yes,Bad,Above-7,90,60,18,53,1
570,F,lebanon,Palestine,MiddleSchool,G-05,A,Geology,F,Father,Yes,Good,Above-7,29,11,31,25,1
571,F,venzuela,venzuela,HighSchool,G-12,C,French,F,Father,No,Good,Above-7,20,60,32,74,1
572,F,Tunis,SaudiArabia,lowerlevel,G-04,C,History,S,Father,No,Bad,Above-7,15,89,38,81,1
573,F,SaudiArabia,SaudiArabia,HighSchool,G-11,B,Arabic,F,Mum,Yes,Bad,Under-7,55,72,72,39,0
574,F,Tunis,Iran,HighSchool,G-07,C,Spanish,S,Mum,Yes,Bad,Under-7,24,65,42,74,1
575,F,Lybia,Palestine,HighSchool,G-06,A,Geology,S,Mum,No,Good,Under-7,61,2,21,39,1
576,M,KW,Syria,HighSchool,G-07,C,English,S,Mum,No,Good,Above-7,27,80,44,49,1
577,F,Palestine,Iraq,MiddleSchool,G-09,A,Biology,S,Father,No,Good,Above-7,87,91,69,39,1
578,F,Iran,SaudiArabia,MiddleSchool,G-07,A,History,F,Mum,Yes,Bad,Above-7,97,39,55,27,1
579,F,KW,KuwaIT,HighSchool,G-06,B,Math,F,Father,No,Bad,Above-7,10,76,50,70,1
580,F,Iran,Jordan,lowerlevel,G-07,B,French,F,Mum,Yes,Bad,Under-7,8,51,38,44,1
581,F,Jordan,Morocco,HighSchool,G-05,A,Spanish,F,Father,No,Good,Above-7,92,54,72,81,1
582,M,Egypt,Lybia,lowerlevel,G-06,C,French,S,Mum,Yes,Good,Under-7,30,36,98,50,1
583,M,Palestine,USA,MiddleSchool,G-05,A,English,F,Mum,Yes,Bad,Under-7,3,11,13,86,1
584,F,Iran,Iran,MiddleSchool,G-10,A,Quran,F,Father,No,Good,Above-7,100,69,75,44,1
585,F,USA,lebanon,lowerlevel,G-09,A,Chemistry,F,Father,No,Good,Under-7,8,74,77,27,1
586,M,SaudiArabia,Morocco,HighSchool,G-10,A,Spanish,F,Mum,No,Good,Above-7,59,48,23,91,1
587,F,USA,venzuela,MiddleSchool,G-06,A,Math,F,Mum,Yes,Bad,Under-7,67,75,43,48,0
588,M,SaudiArabia,Iran,lowerlevel,G-05,B,Math,F,Mum,Yes,Good,Under-7,92,85,44,38,1
589,F,Egypt,Iran,HighSchool,G-08,A,Spanish,F,Father,Yes,Bad,Above-7,61,3,35,86,1
590,F,Iran,Morocco,lowerlevel,G-02,C,Quran,S,Father,Yes,Good,Under-7,39,68,11,23,1
591,M,lebanon,Egypt,MiddleSchool,G-08,A,Science,S,Father,Yes,Bad,Under-7,41,66,64,19,1
592,F,Palestine,Iraq,MiddleSchool,G-04,B,IT,S,Mum,No,Good,Under-7,29,2,19,82,1
593,M,Jordan,Iran,HighSchool,G-11,C,English,F,Father,No,Bad,Under-7,9,64,12,99,1
594,F,Palestine,Morocco,MiddleSchool,G-12,C,Geology,S,Mum,No,Bad,Above-7,61,76,5,39,1
595,M,Iraq,Palestine,lowerlevel,G-09,A,Science,F,Father,Yes,Bad,Under-7,49,3,58,75,1
596,F,Tunis,Iraq,lowerlevel,G-11,C,Quran,F,Father,Yes,Good,Above-7,59,38,82,21,1
597,F,lebanon,Iran,HighSchool,G-09,C,Science,S,Mum,No,Good,Above-7,10,52,59,19,1
598,F,Palestine,KuwaIT,MiddleSchool,G-02,B,Chemistry,S,Father,Yes,Good,Under-7,84,19,11,94,1
599,F,Palestine,Iran,MiddleSchool,G-05,C,Spanish,S,Father,Yes,Bad,Above-7,66,19,0,48,1
600,F,Iran,KuwaIT,HighSchool,G-10,B,Spanish,S,Father,No,Bad,Above-7,81,9,71,26,1
601,F,lebanon,USA,HighSchool,G-05,A,Quran,S,Mum,Yes,Good,Under-7,6,10,78,46,1
602,F,Tunis,Syria,MiddleSchool,G-04,B,Science,F,Father,No,Good,Under-7,52,82,91,60,0
603,M,Morocco,Palestine,HighSchool,G-02,A,History,S,Father,Yes,Bad,Above-7,8,65,95,98,1
604,F,lebanon,Palestine,MiddleSchool,G-11,B,Biology,S,Mum,Yes,Good,Under-7,40,14,4,71,1
605,F,Morocco,Syria,MiddleSchool,G-06,B,Chemistry,F,Father,Yes,Good,Above-7,88,3,23,27,1
606,F,Jordan,venzuela,lowerlevel,G-02,B,Spanish,S,Father,No,Good,Under-7,74,12,1,79,1
607,M,lebanon,Palestine,HighSchool,G-11,B,Quran,F,Mum,No,Good,Under-7,82,64,14,26,0
608,F,Lybia,Syria,MiddleSchool,G-12,B,Biology,F,Mum,Yes,Good,Above-7,24,42,48,6,1
609,M,venzuela,Tunis,lowerlevel,G-06,B,Quran,F,Father,Yes,Bad,Under-7,32,98,63,94,0
610,M,Morocco,Morocco,HighSchool,G-04,C,Geology,F,Mum,No,Bad,Above-7,98,39,6,69,1
611,F,Iraq,venzuela,MiddleSchool,G-05,C,IT,F,Father,No,Bad,Under-7,79,8,88,29,1
612,F,SaudiArabia,Iraq,HighSchool,G-07,B,French,F,Mum,Yes,Good,Above-7,90,52,77,97,1
613,F,Lybia,venzuela,lowerlevel,G-07,C,Chemistry,F,Mum,Yes,Good,Under-7,62,26,1,68,0
614,F,Morocco,KuwaIT,HighSchool,G-07,C,Geology,S,Mum,Yes,Bad,Above-7,32,38,13,27,1
615,M,USA,Iraq,HighSchool,G-09,A,Arabic,S,Father,No,Bad,Above-7,55,93,26,97,1
616,F,KW,KuwaIT,MiddleSchool,G-05,A,Quran,F,Mum,Yes,Bad,Under-7,76,15,85,16,1
617,F,KW,lebanon,lowerlevel,G-08,B,Chemistry,F,Father,Yes,Good,Under-7,18,17,22,91,1
618,M,KW,Morocco,HighSchool,G-07,B,Geology,S,Mum,Yes,Bad,Above-7,100,48,13,11,1
619,F,venzuela,Iraq,lowerlevel,G-05,A,English,S,Mum,No,Bad,Under-7,6,43,60,91,1
620,F,USA,Palestine,HighSchool,G-11,A,Quran,F,Mum,No,Good,Under-7,17,57,19,45,1
621,M,Jordan,Morocco,lowerlevel,G-08,C,IT,F,Mum,No,Bad,Under-7,24,85,55,99,1
622,M,Palestine,Morocco,lowerlevel,G-09,B,French,F,Father,Yes,Good,Above-7,82,70,34,96,1
623,M,Iran,USA,lowerlevel,G-12,C,Geology,F,Father,Yes,Good,Above-7,98,63,33,29,1
624,M,Syria,Iran,MiddleSchool,G-12,A,Quran,S,Father,No,Bad,Under-7,71,75,24,82,1
625,F,Lybia,KuwaIT,HighSchool,G-07,C,French,S,Father,Yes,Bad,Above-7,72,48,1,94,1
626,M,Jordan,Lybia,HighSchool,G-10,A,Spanish,S,Mum,No,Bad,Under-7,20,57,9,68,1
627,F,Jordan,USA,HighSchool,G-05,C,Chemistry,F,Mum,Yes,Good,Under-7,89,34,59,24,0
628,F,Jordan,Morocco,lowerlevel,G-12,C,Science,F,Father,No,Good,Above-7,87,70,13,26,1
629,F,Syria,Morocco,HighSchool,G-06,C,Arabic,F,Mum,Yes,Good,Above-7,32,97,86,88,0
630,F,Jordan,KuwaIT,lowerlevel,G-11,B,Geology,F,Mum,No,Bad,Under-7,95,4,9,66,1
631,F,Syria,lebanon,lowerlevel,G-06,B,Quran,S,Mum,Yes,Good,Under-7,53,62,46,58,0
632,M,lebanon,venzuela,MiddleSchool,G-06,A,Math,S,Father,Yes,Good,Under-7,86,66,1,73,0
633,M,Tunis,venzuela,MiddleSchool,G-08,C,French,S,Mum,Yes,Bad,Above-7,3,14,22,34,1
634,M,USA,lebanon,MiddleSchool,G-02,B,Geology,S,Father,Yes,Bad,Above-7,13,81,25,94,0
635,F,USA,Egypt,HighSchool,G-06,C,French,S,Father,No,Good,Above-7,18,91,62,51,1
636,F,Morocco,Iraq,MiddleSchool,G-05,B,English,F,Mum,Yes,Bad,Above-7,55,8,71,9,1
637,F,Iran,Palestine,lowerlevel,G-06,A,History,S,Mum,Yes,Bad,Under-7,80,44,60,31,0
638,F,KW,KuwaIT,MiddleSchool,G-11,A,Biology,F,Mum,No,Good,Under-7,45,12,9,99,1
639,M,Syria,lebanon,lowerlevel,G-06,B,Math,F,Mum,No,Good,Above-7,82,77,82,59,0
640,F,lebanon,venzuela,lowerlevel,G-05,B,Spanish,F,Mum,No,Bad,Under-7,69,26,28,33,1
641,M,Jordan,Lybia,MiddleSchool,G-02,A,Science,S,Mum,Yes,Good,Under-7,53,69,8,71,1
642,M,SaudiArabia,Iran,lowerlevel,G-08,C,Chemistry,S,Father,No,Bad,Under-7,52,89,59,64,1
643,M,Lybia,venzuela,HighSchool,G-05,C,IT,S,Father,No,Good,Under-7,3,3,78,62,1
644,M,Syria,Lybia,lowerlevel,G-02,C,Science,S,Father,No,Good,Above-7,18,18,88,35,1
645,M,lebanon,Syria,lowerlevel,G-06,B,Geology,F,Father,Yes,Good,Under-7,55,83,22,2,0
646,M,Tunis,KuwaIT,HighSchool,G-06,B,Biology,F,Mum,Yes,Good,Under-7,62,68,33,95,0
647,M,lebanon,Tunis,HighSchool,G-04,C,English,S,Father,Yes,Bad,Above-7,1,58,76,49,0
648,M,KW,Lybia,HighSchool,G-09,C,French,F,Father,No,Bad,Above-7,13,48,77,73,1
649,M,Lybia,venzuela,MiddleSchool,G-08,C,Biology,S,Father,Yes,Good,Above-7,23,51,45,85,1
650,F,Iran,Lybia,lowerlevel,G-07,B,IT,S,Mum,No,Good,Above-7,7,24,2,45,1
651,M,Iraq,Egypt,HighSchool,G-10,A,Spanish,F,Mum,No,Good,Under-7,25,92,58,60,1
652,F,USA,Lybia,HighSchool,G-04,A,History,S,Mum,No,Good,Above-7,51,20,49,65,1
653,F,Tunis,venzuela,lowerlevel,G-12,A,Spanish,F,Father,No,Good,Under-7,19,38,80,53,1
654,M,lebanon,USA,HighSchool,G-07,A,Arabic,F,Mum,No,Bad,Above-7,75,9,36,33,0
655,F,Palestine,Palestine,MiddleSchool,G-02,B,English,S,Mum,No,Good,Above-7,29,26,80,40,1
656,M,SaudiArabia,Iraq,lowerlevel,G-10,C,Science,S,Mum,Yes,Bad,Under-7,20,60,70,76,1
657,F,Lybia,venzuela,MiddleSchool,G-08,C,History,F,Father,Yes,Bad,Under-7,30,11,49,50,1
658,M,Morocco,Morocco,MiddleSchool,G-11,C,IT,S,Father,Yes,Bad,Above-7,87,61,83,97,1
659,F,USA,SaudiArabia,HighSchool,G-07,C,Quran,F,Mum,No,Bad,Under-7,89,30,46,85,1
660,M,Jordan,Morocco,lowerlevel,G-07,A,Science,F,Father,No,Bad,Under-7,29,22,34,20,1
661,F,Tunis,Morocco,HighSchool,G-02,B,Geology,S,Mum,No,Bad,Under-7,30,97,77,3,1
662,M,SaudiArabia,Iran,HighSchool,G-06,B,Geology,S,Father,No,Good,Under-7,30,97,80,8,1
663,M,Palestine,Syria,lowerlevel,G-07,B,French,F,Mum,No,Good,Under-7,74,60,0,46,1
664,F,Tunis,Iran,lowerlevel,G-12,A,English,F,Father,No,Bad,Under-7,22,28,41,3,1
665,F,Syria,KuwaIT,HighSchool,G-12,C,Arabic,S,Father,No,Good,Above-7,9,1,33,33,1
666,M,Lybia,KuwaIT,lowerlevel,G-08,B,French,S,Father,Yes,Good,Above-7,98,96,55,49,1
667,M,Tunis,Iran,lowerlevel,G-12,C,French,F,Mum,Yes,Good,Above-7,87,48,20,68,1
668,M,KW,Iraq,HighSchool,G-11,A,Quran,F,Father,Yes,Good,Under-7,87,95,76,69,1
669,F,lebanon,USA,HighSchool,G-06,A,History,F,Father,Yes,Bad,Under-7,23,33,36,24,1
670,M,Palestine,SaudiArabia,MiddleSchool,G-11,B,Geology,F,Father,Yes,Good,Above-7,22,95,76,58,1
671,M,Jordan,Morocco,lowerlevel,G-12,B,Quran,S,Mum,Yes,Bad,Under-7,69,52,29,63,0
672,F,Jordan,Syria,lowerlevel,G-07,A,Math,S,Mum,No,Good,Under-7,28,91,58,94,0
673,M,Morocco,SaudiArabia,lowerlevel,G-10,B,IT,S,Mum,Yes,Bad,Above-7,52,25,57,58,0
674,F,Egypt,Tunis,MiddleSchool,G-05,A,Arabic,S,Mum,No,Bad,Under-7,10,71,29,25,1
675,M,Egypt,KuwaIT,lowerlevel,G-11,B,Math,F,Father,Yes,Bad,Under-7,72,58,71,39,1
676,F,USA,Syria,lowerlevel,G-07,B,Spanish,S,Mum,No,Good,Under-7,88,86,22,55,1
677,F,Morocco,lebanon,lowerlevel,G-07,A,Quran,F,Father,Yes,Good,Above-7,84,76,33,4,0
678,M,USA,KuwaIT,MiddleSchool,G-10,B,Arabic,S,Father,Yes,Good,Under-7,55,94,14,64,1
679,M,Iran,Iran,lowerlevel,G-11,B,IT,F,Mum,Yes,Bad,Above-7,51,14,4,13,1
680,F,Jordan,venzuela,MiddleSchool,G-12,A,Geology,S,Mum,No,Bad,Under-7,23,62,8,77,1
681,M,Syria,Syria,HighSchool,G-06,B,English,F,Mum,No,Good,Under-7,29,4,4,48,1
682,M,Egypt,KuwaIT,MiddleSchool,G-05,C,IT,F,Mum,Yes,Good,Above-7,57,7,91,64,1
683,F,Iran,Egypt,lowerlevel,G-12,A,Spanish,S,Mum,Yes,Good,Above-7,12,14,13,3,1
684,M,USA,venzuela,MiddleSchool,G-04,C,Math,S,Father,No,Bad,Under-7,95,54,7,37,1
685,F,Egypt,venzuela,lowerlevel,G-07,A,IT,F,Father,No,Good,Above-7,87,6,34,5,1
686,M,Morocco,Iraq,HighSchool,G-10,B,French,S,Mum,No,Good,Above-7,95,63,85,22,1
687,M,Palestine,Iran,HighSchool,G-07,C,History,S,Mum,No,Good,Under-7,49,21,34,46,1
688,M,Egypt,Palestine,HighSchool,G-11,B,Spanish,F,Father,No,Good,Above-7,77,51,32,39,1
689,M,lebanon,lebanon,MiddleSchool,G-06,C,Biology,F,Mum,Yes,Good,Above-7,23,12,76,95,0
690,F,SaudiArabia,Palestine,MiddleSchool,G-05,C,Biology,S,Father,Yes,Good,Under-7,30,88,62,68,0
691,M,SaudiArabia,USA,lowerlevel,G-08,A,Biology,S,Mum,Yes,Good,Under-7,2,81,88,15,0
692,F,Lybia,lebanon,MiddleSchool,G-04,B,French,S,Mum,No,Good,Under-7,40,64,88,19,0
693,M,Iraq,Morocco,lowerlevel,G-08,C,Spanish,S,Father,Yes,Good,Above-7,11,69,43,5,1
694,M,Syria,USA,MiddleSchool,G-05,A,Chemistry,S,Mum,Yes,Good,Above-7,57,74,7,41,0
695,M,lebanon,USA,lowerlevel,G-12,C,Math,F,Mum,No,Bad,Under-7,13,13,82,80,1
696,F,SaudiArabia,USA,MiddleSchool,G-11,C,Arabic,S,Mum,Yes,Good,Under-7,4,81,24,11,1
697,F,USA,Lybia,HighSchool,G-05,B,Chemistry,S,Father,Yes,Bad,Above-7,70,94,64,29,0
698,F,KW,Iraq,MiddleSchool,G-11,A,Quran,S,Mum,Yes,Good,Under-7,98,68,74,71,0
699,F,KW,Iran,MiddleSchool,G-11,A,Quran,S,Mum,Yes,Bad,Under-7,33,8,54,9,1
700,M,Iraq,USA,lowerlevel,G-04,B,Math,F,Mum,No,Bad,Above-7,7,50,48,88,1
701,F,venzuela,lebanon,MiddleSchool,G-12,B,French,F,Father,No,Good,Above-7,14,62,2,49,1
702,M,Iran,venzuela,MiddleSchool,G-04,B,Math,S,Mum,No,Good,Above-7,20,83,55,16,1
703,F,Morocco,Morocco,MiddleSchool,G-09,A,Arabic,S,Mum,No,Good,Above-7,53,2,77,38,1
704,F,Tunis,venzuela,HighSchool,G-10,C,History,F,Mum,No,Good,Above-7,20,62,38,40,1
705,F,USA,KuwaIT,HighSchool,G-07,B,IT,S,Mum,No,Bad,Above-7,9,10,70,66,1
706,F,Iraq,SaudiArabia,HighSchool,G-09,A,History,S,Father,Yes,Bad,Above-7,96,4,7,33,1
707,F,Egypt,Egypt,HighSchool,G-05,A,Biology,S,Father,No,Bad,Above-7,83,42,59,3,1
708,M,Lybia,Egypt,MiddleSchool,G-08,A,Arabic,S,Father,No,Bad,Above-7,81,50,79,64,1
709,F,venzuela,Tunis,HighSchool,G-06,C,Chemistry,S,Father,Yes,Bad,Under-7,60,4,80,23,0
710,M,Palestine,Iran,HighSchool,G-05,A,Biology,F,Mum,No,Bad,Above-7,12,15,50,71,1
711,M,Jordan,Tunis,lowerlevel,G-10,C,Biology,S,Mum,Yes,Good,Under-7,90,95,33,3,1
712,F,lebanon,Jordan,HighSchool,G-05,C,IT,F,Mum,Yes,Bad,Above-7,88,25,67,91,1
713,F,Iraq,lebanon,MiddleSchool,G-12,A,English,S,Mum,Yes,Bad,Under-7,0,6,74,60,1
714,F,venzuela,lebanon,lowerlevel,G-04,B,Arabic,F,Father,No,Bad,Above-7,41,25,35,6,1
715,F,Syria,USA,HighSchool,G-12,C,IT,S,Mum,No,Bad,Under-7,72,87,6,75,0
716,M,USA,Palestine,lowerlevel,G-06,A,English,F,Mum,No,Bad,Above-7,83,14,58,16,1
717,F,Syria,Jordan,MiddleSchool,G-08,A,French,S,Father,Yes,Good,Under-7,42,0,95,65,1
718,F,Egypt,Jordan,HighSchool,G-06,A,Chemistry,S,Father,No,Good,Above-7,39,16,69,85,1
719,F,SaudiArabia,SaudiArabia,HighSchool,G-05,A,English,S,Mum,No,Good,Under-7,2,28,26,94,1
720,F,Tunis,Jordan,MiddleSchool,G-06,B,Science,F,Mum,Yes,Good,Under-7,32,29,5,93,1
721,F,SaudiArabia,Morocco,MiddleSchool,G-04,A,Math,S,Mum,No,Bad,Under-7,15,13,53,28,1
722,F,Palestine,Syria,MiddleSchool,G-10,A,Quran,F,Mum,Yes,Bad,Above-7,40,39,16,94,1
723,M,venzuela,Morocco,MiddleSchool,G-10,C,English,F,Father,No,Bad,Under-7,82,96,69,4,1
724,M,Palestine,KuwaIT,HighSchool,G-05,A,Geology,S,Mum,Yes,Good,Above-7,9,75,11,95,1
725,M,venzuela,Iran,lowerlevel,G-07,A,Spanish,F,Father,No,Good,Above-7,8,35,10,70,1
726,M,Morocco,Iraq,lowerlevel,G-11,A,French,S,Father,Yes,Bad,Under-7,2,60,2,21,1
727,M,lebanon,KuwaIT,MiddleSchool,G-11,C,Science,F,Mum,Yes,Bad,Above-7,83,60,15,3,1
728,F,Tunis,Egypt,HighSchool,G-12,A,Quran,S,Mum,No,Bad,Under-7,39,7,82,23,1
729,M,Tunis,Palestine,HighSchool,G-04,B,History,F,Father,No,Bad,Under-7,35,69,37,57,1
730,M,Palestine,Morocco,MiddleSchool,G-05,C,English,S,Father,Yes,Bad,Above-7,15,9,5,46,1
731,F,KW,Tunis,lowerlevel,G-07,A,History,S,Mum,No,Good,Above-7,15,84,89,34,1
732,M,Jordan,lebanon,HighSchool,G-09,A,IT,F,Mum,Yes,Bad,Under-7,86,34,25,28,1
733,M,USA,Syria,lowerlevel,G-04,C,Arabic,S,Mum,Yes,Bad,Above-7,19,20,21,77,1
734,F,Syria,Egypt,MiddleSchool,G-10,B,Spanish,S,Father,No,Bad,Under-7,60,11,69,30,1
735,F,Lybia,Morocco,MiddleSchool,G-07,B,Math,S,Father,Yes,Good,Above-7,41,39,77,66,1
736,F,KW,Palestine,MiddleSchool,G-02,B,Science,S,Mum,Yes,Good,Under-7,60,18,40,53,0
737,F,SaudiArabia,Syria,lowerlevel,G-04,A,Biology,F,Father,No,Good,Under-7,90,17,2,64,0
738,M,Syria,Palestine,lowerlevel,G-09,B,Geology,S,Father,No,Good,Above-7,84,27,29,66,1
739,F,venzuela,Morocco,lowerlevel,G-12,C,Science,S,Mum,No,Good,Above-7,97,66,58,82,0
740,M,Tunis,KuwaIT,HighSchool,G-08,B,Arabic,F,Mum,Yes,Bad,Under-7,89,38,78,89,1
741,F,Syria,Egypt,lowerlevel,G-11,C,English,S,Mum,No,Bad,Under-7,13,9,51,39,1
742,M,Tunis,Jordan,HighSchool,G-06,B,Chemistry,F,Father,Yes,Good,Above-7,80,22,70,49,1
743,F,Palestine,Tunis,HighSchool,G-09,A,French,F,Mum,Yes,Bad,Above-7,33,96,18,30,1
744,F,Syria,Lybia,lowerlevel,G-12,C,Math,F,Mum,Yes,Good,Above-7,36,71,48,98,1
745,F,Egypt,KuwaIT,MiddleSchool,G-02,C,Biology,F,Father,No,Bad,Under-7,50,20,53,36,1
746,F,SaudiArabia,lebanon,HighSchool,G-08,A,Math,F,Father,Yes,Bad,Above-7,17,74,38,2,1
747,M,Morocco,Iraq,lowerlevel,G-06,B,English,S,Father,No,Good,Above-7,97,68,2,6,1
748,M,Palestine,SaudiArabia,HighSchool,G-11,C,Science,S,Father,Yes,Bad,Above-7,25,62,11,68,1
749,M,SaudiArabia,Tunis,HighSchool,G-08,C,Biology,F,Mum,Yes,Good,Above-7,57,75,80,80,0
750,M,Iraq,lebanon,HighSchool,G-04,A,Math,F,Father,No,Bad,Under-7,22,63,16,19,1
751,F,Tunis,Morocco,MiddleSchool,G-02,A,Math,S,Father,Yes,Good,Above-7,20,40,65,22,1
752,M,KW,Egypt,HighSchool,G-09,B,Biology,S,Mum,No,Bad,Above-7,70,93,52,2,1
753,F,venzuela,Tunis,HighSchool,G-12,A,Chemistry,S,Father,Yes,Bad,Above-7,61,17,55,89,0
754,M,Iraq,Jordan,lowerlevel,G-02,A,Biology,F,Father,Yes,Bad,Under-7,30,58,8,97,1
755,M,Egypt,venzuela,MiddleSchool,G-07,A,Science,F,Father,No,Bad,Under-7,12,3,25,77,1
756,F,Jordan,Iraq,MiddleSchool,G-10,A,Chemistry,F,Mum,Yes,Bad,Under-7,85,89,59,12,1
757,M,KW,Lybia,HighSchool,G-05,C,Geology,F,Mum,Yes,Bad,Above-7,33,26,17,20,1
758,F,USA,Syria,MiddleSchool,G-10,B,Spanish,F,Father,No,Good,Above-7,23,50,19,86,1
759,F,Lybia,Lybia,MiddleSchool,G-11,B,Chemistry,F,Mum,No,Bad,Above-7,32,0,53,14,1
760,F,Iran,Palestine,lowerlevel,G-05,A,Quran,S,Mum,No,Good,Above-7,49,33,24,62,1
761,F,USA,Lybia,HighSchool,G-06,B,Spanish,F,Mum,No,Good,Under-7,40,1,73,64,1
762,M,Iraq,Syria,HighSchool,G-09,B,Math,S,Mum,No,Good,Above-7,77,41,63,24,0
763,F,KW,Morocco,MiddleSchool,G-02,B,English,S,Father,Yes,Good,Above-7,77,60,0,35,1
764,M,lebanon,KuwaIT,lowerlevel,G-05,C,Geology,S,Mum,Yes,Good,Under-7,75,77,55,24,0
765,F,Iraq,Egypt,HighSchool,G-08,C,Arabic,S,Mum,Yes,Good,Above-7,2,60,67,6,1
766,F,Jordan,Morocco,lowerlevel,G-08,B,IT,S,Mum,Yes,Bad,Under-7,73,0,79,48,1
767,F,Tunis,SaudiArabia,lowerlevel,G-08,C,Science,F,Mum,Yes,Good,Under-7,1,16,91,40,1
768,M,KW,Egypt,HighSchool,G-09,A,Quran,S,Mum,No,Good,Under-7,0,70,87,71,1
769,M,KW,Egypt,MiddleSchool,G-09,B,History,S,Father,Yes,Good,Under-7,59,91,7,86,1
770,F,venzuela,Jordan,MiddleSchool,G-08,B,French,S,Father,No,Good,Above-7,60,39,35,30,1
771,F,Syria,Tunis,HighSchool,G-12,A,IT,F,Mum,Yes,Bad,Under-7,65,15,58,77,0
772,F,lebanon,Syria,MiddleSchool,G-02,B,English,S,Father,Yes,Good,Above-7,72,58,72,92,0
773,M,Iran,Palestine,lowerlevel,G-12,B,Chemistry,F,Mum,No,Bad,Under-7,90,69,33,75,0
774,M,Jordan,lebanon,HighSchool,G-05,A,Chemistry,S,Father,Yes,Good,Under-7,29,5,11,8,1
775,M,lebanon,SaudiArabia,MiddleSchool,G-12,B,Spanish,S,Father,Yes,Good,Under-7,51,50,93,21,1
776,M,Tunis,venzuela,lowerlevel,G-05,B,Arabic,F,Father,Yes,Good,Under-7,30,87,49,75,0
777,F,Jordan,Palestine,MiddleSchool,G-11,C,Quran,F,Mum,No,Good,Under-7,55,80,80,91,1
778,M,Egypt,Morocco,lowerlevel,G-07,A,Quran,S,Father,Yes,Good,Under-7,55,50,29,36,1
779,M,Morocco,Morocco,lowerlevel,G-07,B,Geology,F,Father,No,Good,Under-7,82,1,78,10,1
780,M,lebanon,venzuela,HighSchool,G-08,B,French,S,Mum,Yes,Good,Under-7,25,80,13,77,0
781,F,Syria,venzuela,lowerlevel,G-12,B,IT,S,Mum,No,Good,Under-7,84,1,10,79,0
782,F,Jordan,Jordan,MiddleSchool,G-08,B,History,S,Father,No,Bad,Above-7,65,19,86,23,1
783,F,Morocco,Palestine,lowerlevel,G-04,A,Geology,F,Father,Yes,Good,Above-7,70,30,15,15,1
784,M,Iraq,Jordan,HighSchool,G-08,B,Geology,S,Father,No,Good,Under-7,20,16,34,20,1
785,F,Egypt,Morocco,lowerlevel,G-11,A,Science,F,Father,No,Bad,Under-7,24,18,72,98,1
786,F,Egypt,lebanon,HighSchool,G-08,B,French,S,Father,Yes,Good,Above-7,77,93,34,72,0
787,M,Iran,SaudiArabia,MiddleSchool,G-04,B,Chemistry,F,Father,No,Good,Above-7,97,29,45,48,1
788,M,Morocco,lebanon,lowerlevel,G-09,C,Biology,S,Father,Yes,Bad,Under-7,8,44,15,72,1
789,M,Tunis,SaudiArabia,lowerlevel,G-12,B,Quran,S,Father,No,Good,Under-7,32,50,28,76,1
790,F,venzuela,venzuela,MiddleSchool,G-06,A,Science,F,Father,Yes,Bad,Above-7,12,44,52,5,1
