id,credit_history,purpose,savings_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker,gender,status,duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,checking_status,employment,class
548,existing paid,furniture/equipment,'100<=X<500','co applicant',life insurance,none,own,high qualif/self emp/mgmt,yes,no,'male,mar/wid',47,8947,3,4,56,4,1,'0<=X<200','>=7',1
549,no credits/all paid,'domestic appliance',100<=X<500,co applicant,'no known property',stores,own,'high qualif/self emp/mgmt',yes,yes,female,single',72,5117,4,3,56,2,1,<0,'1<=X<4',0
550,existing paid,'used car',100<=X<500,none,life insurance,none,rent,'unskilled resident',none,yes,female,div/sep,9,1591,3,2,33,4,1,no checking,unemployed,0
551,existing paid,furniture/equipment,>=1000,'co applicant','no known property',bank,rent,high qualif/self emp/mgmt,none,yes,'female,mar/wid,48,368,1,2,50,2,2,'no checking',1<=X<4,1
552,'all paid',repairs,>=1000,co applicant,'no known property',none,for free,'unemp/unskilled non res',none,no,female,single',16,1858,4,3,54,4,2,'0<=X<200','1<=X<4',1
553,'delayed previously',business,'no known savings','co applicant',no known property,stores,for free,high qualif/self emp/mgmt,none,yes,female,div/sep',4,1240,1,4,20,4,2,0<=X<200,>=7,1
554,'no credits/all paid',new car,'no known savings',guarantor,'no known property',none,'for free','unemp/unskilled non res',yes,no,male,mar/wid',27,719,1,4,54,4,1,>=200,'<1',1
555,delayed previously,repairs,>=1000,'co applicant','life insurance',none,for free,skilled,yes,no,'female,mar/wid',8,1755,2,2,68,1,2,'>=200',<1,1
556,existing paid,furniture/equipment,100<=X<500,none,'no known property',stores,own,'high qualif/self emp/mgmt',none,no,male,div/dep/mar',33,1190,2,2,53,3,2,'0<=X<200','<1',1
557,existing paid,other,'no known savings',none,'real estate',none,rent,skilled,none,yes,male,div/dep/mar,9,2580,3,4,51,2,2,>=200,unemployed,1
558,existing paid,business,'100<=X<500',none,'life insurance',none,rent,unskilled resident,none,no,'male,div/dep/mar',27,976,3,3,41,1,1,'<0',>=7,0
559,no credits/all paid,new car,<100,guarantor,car,bank,rent,unskilled resident,none,no,female,mar/wid,45,2862,1,1,32,2,2,<0,'>=7',1
560,critical/other existing credit,education,100<=X<500,'co applicant','no known property',bank,rent,unskilled resident,none,no,female,div/sep,45,4796,4,3,39,3,1,'>=200',>=7,1
561,'no credits/all paid',education,<100,'co applicant','life insurance',stores,own,unemp/unskilled non res,yes,yes,'female,div/dep/mar,6,2101,1,4,36,3,2,'no checking','>=7',1
562,'delayed previously','used car','100<=X<500',guarantor,car,none,own,unemp/unskilled non res,none,no,'male,single',12,6110,2,3,19,3,1,'<0',1<=X<4,1
563,critical/other existing credit,new car,'100<=X<500',co applicant,'life insurance',bank,for free,'unemp/unskilled non res',yes,yes,female,mar/wid,48,10297,2,2,27,3,2,'0<=X<200',>=7,0
564,existing paid,radio/tv,no known savings,none,'real estate',stores,for free,'unemp/unskilled non res',none,yes,female,single,7,4811,1,2,28,3,1,'no checking',<1,1
565,'delayed previously','used car','<100',co applicant,life insurance,stores,rent,'unemp/unskilled non res',yes,no,female,mar/wid',45,1163,2,1,31,4,2,'<0',<1,1
566,'delayed previously','new car',>=1000,none,'no known property',bank,for free,'high qualif/self emp/mgmt',none,yes,male,mar/wid',27,3976,1,1,37,4,2,no checking,>=7,1
567,'delayed previously',new car,no known savings,none,'no known property',bank,'for free','high qualif/self emp/mgmt',yes,yes,male,div/sep,40,1437,2,4,67,2,1,no checking,1<=X<4,1
568,no credits/all paid,furniture/equipment,>=1000,'co applicant','real estate',bank,rent,unemp/unskilled non res,none,yes,male,single,54,886,1,3,54,2,1,'no checking','1<=X<4',1
569,'all paid',retraining,100<=X<500,co applicant,'no known property',none,own,'high qualif/self emp/mgmt',yes,no,'female,div/dep/mar,72,3059,4,3,27,1,1,0<=X<200,unemployed,1
570,'all paid',used car,100<=X<500,guarantor,'life insurance',bank,own,skilled,yes,yes,male,mar/wid',39,2241,2,4,51,3,2,>=200,'1<=X<4',1
571,existing paid,'used car','<100',co applicant,'real estate',stores,for free,high qualif/self emp/mgmt,none,no,'male,single',13,3181,2,1,27,3,1,>=200,'<1',1
572,'critical/other existing credit',retraining,'100<=X<500',none,life insurance,bank,'for free',unskilled resident,yes,no,'male,single',26,4280,1,4,36,3,1,'0<=X<200',4<=X<7,1
573,no credits/all paid,radio/tv,'<100',guarantor,car,stores,rent,unskilled resident,none,no,female,single,5,4591,3,2,37,2,1,0<=X<200,4<=X<7,0
574,'no credits/all paid',used car,500<=X<1000,guarantor,real estate,none,'for free','high qualif/self emp/mgmt',none,no,female,div/sep',15,1388,2,4,63,2,2,'<0','1<=X<4',1
575,'critical/other existing credit','new car','100<=X<500',co applicant,'no known property',none,for free,'high qualif/self emp/mgmt',none,no,'female,div/sep,36,2039,1,2,50,3,2,'0<=X<200','<1',1
576,delayed previously,'domestic appliance',no known savings,co applicant,'no known property',bank,own,high qualif/self emp/mgmt,none,yes,'male,div/sep,11,6872,2,2,33,3,1,no checking,4<=X<7,1
577,no credits/all paid,new car,'no known savings',none,real estate,none,rent,'high qualif/self emp/mgmt',none,no,'male,mar/wid',22,618,4,4,33,1,1,'0<=X<200',4<=X<7,0
578,'existing paid',furniture/equipment,no known savings,none,'real estate',stores,'for free',unemp/unskilled non res,none,no,male,div/sep',28,2991,3,4,58,3,1,0<=X<200,<1,1
579,'all paid',used car,'100<=X<500',none,real estate,none,for free,'high qualif/self emp/mgmt',yes,no,'male,div/dep/mar,4,1433,2,3,57,4,2,'0<=X<200','1<=X<4',1
580,'existing paid',other,>=1000,guarantor,'life insurance',bank,'for free',high qualif/self emp/mgmt,yes,yes,'female,div/sep',6,1239,1,3,24,2,1,'>=200',4<=X<7,1
581,'no credits/all paid',used car,'no known savings',guarantor,'life insurance',stores,for free,'high qualif/self emp/mgmt',yes,yes,'female,mar/wid',45,700,2,3,38,2,1,no checking,<1,1
582,critical/other existing credit,domestic appliance,'>=1000',co applicant,'no known property',stores,'for free','high qualif/self emp/mgmt',yes,no,female,single,18,932,1,3,70,3,2,'no checking','<1',1
583,all paid,other,>=1000,co applicant,car,none,rent,high qualif/self emp/mgmt,yes,yes,female,div/dep/mar,13,2337,4,3,52,2,2,no checking,'4<=X<7',1
584,delayed previously,business,100<=X<500,guarantor,life insurance,stores,for free,high qualif/self emp/mgmt,yes,yes,female,mar/wid',48,4042,4,1,40,4,1,'>=200',>=7,1
585,'critical/other existing credit',other,'>=1000',guarantor,life insurance,bank,rent,'unskilled resident',yes,yes,female,div/sep,36,5293,4,1,65,4,2,<0,1<=X<4,1
586,'no credits/all paid',radio/tv,no known savings,'co applicant','real estate',none,own,high qualif/self emp/mgmt,none,no,'female,mar/wid,60,1445,2,4,34,2,1,0<=X<200,'>=7',1
587,'existing paid',retraining,500<=X<1000,none,life insurance,bank,'for free',unemp/unskilled non res,none,no,'female,div/dep/mar,20,3074,4,1,44,4,1,'>=200','4<=X<7',1
588,'existing paid',other,'100<=X<500',none,real estate,bank,'for free',unemp/unskilled non res,none,no,male,mar/wid',8,3345,1,3,22,4,1,'<0','1<=X<4',1
589,existing paid,'new car','<100',co applicant,'life insurance',none,'for free',unemp/unskilled non res,yes,no,'female,div/dep/mar,20,10144,4,2,48,1,2,'<0','1<=X<4',1
590,existing paid,retraining,'<100',guarantor,real estate,bank,rent,'unemp/unskilled non res',yes,yes,female,single',22,7119,4,4,53,1,1,'no checking','4<=X<7',1
591,'critical/other existing credit',retraining,'100<=X<500',guarantor,'life insurance',stores,for free,unemp/unskilled non res,none,yes,male,single,13,5117,1,4,47,2,1,'<0','<1',1
592,'no credits/all paid',radio/tv,100<=X<500,co applicant,'real estate',none,own,'unemp/unskilled non res',none,no,female,mar/wid,42,7057,2,2,55,3,2,>=200,unemployed,1
593,'no credits/all paid',retraining,'no known savings',co applicant,'life insurance',bank,for free,'unskilled resident',yes,no,'female,div/dep/mar',40,338,1,4,64,2,1,'>=200',4<=X<7,1
594,'delayed previously',domestic appliance,500<=X<1000,none,'real estate',none,for free,'unemp/unskilled non res',none,yes,male,single',22,5866,3,2,25,3,1,no checking,4<=X<7,1
595,'all paid','used car','>=1000',guarantor,'life insurance',bank,for free,'high qualif/self emp/mgmt',none,no,female,div/dep/mar',42,3398,4,3,35,3,2,no checking,'1<=X<4',1
596,'all paid',business,'500<=X<1000',guarantor,'life insurance',none,rent,'high qualif/self emp/mgmt',none,yes,'male,div/sep,20,3186,2,1,39,3,1,>=200,'>=7',0
597,existing paid,furniture/equipment,'<100',none,real estate,none,'for free',unskilled resident,yes,yes,female,div/sep',5,1620,4,1,34,1,2,<0,<1,1
598,existing paid,education,'100<=X<500',co applicant,'real estate',stores,'for free','high qualif/self emp/mgmt',none,no,'female,div/sep,5,4380,2,4,24,1,2,'0<=X<200',4<=X<7,1
599,'delayed previously',radio/tv,500<=X<1000,co applicant,no known property,bank,own,unemp/unskilled non res,yes,yes,male,mar/wid,45,3448,2,1,51,4,1,no checking,'1<=X<4',1
600,existing paid,other,'<100',guarantor,'real estate',bank,rent,'unskilled resident',none,no,female,mar/wid',26,3485,3,3,70,3,1,0<=X<200,<1,1
601,delayed previously,education,'100<=X<500',co applicant,'real estate',stores,for free,'high qualif/self emp/mgmt',none,no,'female,div/sep,15,2606,2,1,53,4,2,'no checking',1<=X<4,1
602,'no credits/all paid','domestic appliance','500<=X<1000',none,real estate,stores,rent,'unemp/unskilled non res',none,yes,male,single',20,2892,2,1,56,3,1,'0<=X<200','4<=X<7',0
603,'delayed previously','new car',<100,none,real estate,bank,own,skilled,yes,yes,female,single',26,2273,2,3,58,2,2,'0<=X<200',unemployed,1
604,'existing paid','new car','<100',none,'real estate',stores,rent,unemp/unskilled non res,yes,no,'female,mar/wid',14,1984,2,2,26,4,2,>=200,'4<=X<7',1
605,'delayed previously',education,'no known savings','co applicant','real estate',bank,own,'unskilled resident',none,no,female,div/dep/mar',54,1361,1,3,62,3,2,no checking,'4<=X<7',1
606,'all paid',furniture/equipment,500<=X<1000,none,'real estate',none,for free,'unemp/unskilled non res',yes,yes,female,div/dep/mar',9,3186,3,3,24,1,1,<0,1<=X<4,1
607,'delayed previously',retraining,'>=1000','co applicant',real estate,bank,own,unskilled resident,none,yes,'female,div/sep',28,1503,2,3,60,2,2,no checking,'>=7',1
608,'critical/other existing credit',used car,100<=X<500,'co applicant',car,none,for free,unemp/unskilled non res,yes,yes,male,div/dep/mar,14,1459,1,3,20,4,2,'>=200',1<=X<4,1
609,'existing paid',repairs,'100<=X<500','co applicant','no known property',none,own,skilled,none,yes,'male,mar/wid',33,2136,3,2,30,1,1,'no checking','>=7',1
610,existing paid,used car,'no known savings',guarantor,'life insurance',none,'for free',unemp/unskilled non res,none,yes,male,div/dep/mar,28,6313,4,2,70,1,1,<0,'4<=X<7',1
611,critical/other existing credit,repairs,'500<=X<1000',guarantor,life insurance,none,own,'unemp/unskilled non res',none,yes,'female,mar/wid,47,2149,2,1,48,1,1,0<=X<200,1<=X<4,1
612,'no credits/all paid',repairs,'>=1000',guarantor,'real estate',bank,own,skilled,yes,yes,male,mar/wid,12,1275,3,4,56,2,1,'<0','4<=X<7',1
613,'critical/other existing credit',domestic appliance,'<100',co applicant,'no known property',none,'for free','high qualif/self emp/mgmt',yes,yes,'male,single',72,2299,2,1,63,2,1,'0<=X<200',>=7,0
614,critical/other existing credit,radio/tv,no known savings,co applicant,'life insurance',bank,own,skilled,yes,no,'male,div/dep/mar,15,1108,2,1,67,1,1,'>=200','>=7',1
615,critical/other existing credit,business,'no known savings',none,'no known property',stores,'for free',skilled,yes,no,male,mar/wid',60,4113,4,3,36,4,2,>=200,4<=X<7,1
616,existing paid,business,'100<=X<500',co applicant,real estate,bank,'for free','unskilled resident',yes,no,male,mar/wid,40,6350,1,1,48,2,1,'>=200',unemployed,1
617,all paid,furniture/equipment,>=1000,guarantor,'no known property',none,rent,unemp/unskilled non res,none,no,female,single,11,1659,4,1,34,2,1,'<0','<1',1
618,'delayed previously',retraining,'500<=X<1000',guarantor,'no known property',none,own,skilled,yes,yes,'male,single',27,2675,2,1,46,2,2,'>=200',1<=X<4,1
619,existing paid,domestic appliance,500<=X<1000,none,'life insurance',bank,own,'high qualif/self emp/mgmt',yes,yes,'male,div/sep',28,9857,2,4,51,3,1,>=200,1<=X<4,1
620,existing paid,business,no known savings,co applicant,real estate,none,'for free',unskilled resident,none,no,female,single,45,2848,4,1,33,1,1,'0<=X<200',4<=X<7,1
621,no credits/all paid,used car,>=1000,'co applicant',no known property,stores,own,'unemp/unskilled non res',none,no,female,div/sep',33,959,2,2,45,1,2,'<0',unemployed,1
622,delayed previously,furniture/equipment,'500<=X<1000',guarantor,life insurance,bank,for free,'high qualif/self emp/mgmt',none,no,'female,div/dep/mar',45,5943,3,2,60,4,2,'>=200','>=7',1
623,'all paid','domestic appliance','>=1000',none,'life insurance',none,rent,unskilled resident,none,no,'male,mar/wid',30,6842,3,1,43,4,2,0<=X<200,4<=X<7,1
624,'critical/other existing credit',used car,'>=1000','co applicant','real estate',stores,own,high qualif/self emp/mgmt,none,no,'male,div/dep/mar',21,1941,4,1,57,3,2,no checking,unemployed,1
625,existing paid,business,'>=1000',co applicant,'real estate',none,own,unskilled resident,yes,no,'female,mar/wid',24,7824,4,1,32,2,2,'<0',<1,1
626,all paid,retraining,500<=X<1000,co applicant,real estate,none,'for free','unskilled resident',yes,no,'female,mar/wid',20,1743,2,1,59,4,2,>=200,'4<=X<7',1
627,no credits/all paid,'new car','500<=X<1000','co applicant',life insurance,bank,for free,'unemp/unskilled non res',yes,no,'male,div/dep/mar',36,11328,2,2,66,1,1,0<=X<200,>=7,0
628,'delayed previously','new car','no known savings',guarantor,no known property,none,own,'high qualif/self emp/mgmt',none,yes,male,single',8,750,4,3,44,3,1,'no checking',unemployed,1
629,'all paid',other,'100<=X<500',none,'no known property',bank,rent,unskilled resident,none,yes,male,mar/wid,26,1569,2,4,60,3,1,'>=200','<1',1
630,'critical/other existing credit',domestic appliance,'500<=X<1000','co applicant',car,bank,rent,high qualif/self emp/mgmt,yes,yes,'male,div/sep,4,5511,4,3,46,2,2,>=200,'1<=X<4',0
631,all paid,new car,no known savings,co applicant,'life insurance',none,'for free','unskilled resident',none,yes,female,mar/wid',18,1138,4,2,22,3,2,no checking,unemployed,1
632,'delayed previously',retraining,500<=X<1000,co applicant,no known property,none,for free,'high qualif/self emp/mgmt',none,yes,'female,div/dep/mar,18,1414,1,2,51,2,2,0<=X<200,'<1',1
633,'critical/other existing credit',repairs,<100,co applicant,'real estate',none,for free,unemp/unskilled non res,none,yes,female,single,11,2124,4,4,26,2,1,'0<=X<200','<1',1
634,'delayed previously',radio/tv,'>=1000',co applicant,'life insurance',stores,rent,high qualif/self emp/mgmt,none,no,'male,div/dep/mar',14,1193,3,2,57,1,2,<0,>=7,1
635,all paid,repairs,'>=1000','co applicant','life insurance',none,rent,unemp/unskilled non res,yes,yes,'female,mar/wid,4,931,3,3,74,3,1,>=200,>=7,1
636,'existing paid',other,500<=X<1000,co applicant,'life insurance',none,for free,'unemp/unskilled non res',yes,yes,male,single',26,2864,3,4,40,4,1,'<0',1<=X<4,1
637,critical/other existing credit,business,'>=1000',guarantor,life insurance,stores,for free,'high qualif/self emp/mgmt',yes,no,'female,div/dep/mar,36,2671,1,3,30,1,2,'>=200','>=7',1
638,existing paid,repairs,100<=X<500,co applicant,life insurance,stores,own,'unskilled resident',none,no,male,single',18,2039,2,3,24,1,1,'<0','>=7',1
639,'all paid',education,'500<=X<1000',none,'no known property',bank,own,'unemp/unskilled non res',yes,no,male,div/dep/mar,28,2679,3,2,41,3,2,'>=200',unemployed,1
640,existing paid,'domestic appliance','>=1000',guarantor,no known property,stores,for free,high qualif/self emp/mgmt,none,yes,'male,div/dep/mar,5,1198,1,3,44,4,2,no checking,>=7,1
641,'existing paid',retraining,<100,none,'life insurance',none,rent,skilled,yes,no,'female,div/dep/mar',14,15672,1,3,52,1,1,'<0','<1',1
642,all paid,used car,100<=X<500,co applicant,life insurance,bank,own,'unskilled resident',none,no,'female,div/sep',8,4351,1,3,38,2,2,'0<=X<200','<1',1
643,critical/other existing credit,used car,500<=X<1000,co applicant,life insurance,bank,for free,'high qualif/self emp/mgmt',yes,yes,female,div/dep/mar,14,454,2,1,48,2,1,0<=X<200,'<1',1
644,all paid,other,'<100','co applicant','life insurance',stores,rent,high qualif/self emp/mgmt,yes,no,female,mar/wid,18,6361,1,2,65,2,2,'0<=X<200',>=7,1
645,'delayed previously',radio/tv,'500<=X<1000',co applicant,'no known property',bank,'for free',skilled,none,no,'female,div/dep/mar,33,2039,4,1,38,4,1,>=200,>=7,1
646,'all paid','used car','no known savings',co applicant,'real estate',none,for free,skilled,none,no,'female,single',22,1938,3,3,53,3,2,0<=X<200,unemployed,1
647,'all paid','new car',>=1000,co applicant,no known property,bank,rent,'high qualif/self emp/mgmt',yes,yes,'male,div/sep,8,2476,1,1,62,3,2,'0<=X<200','1<=X<4',1
648,'no credits/all paid','domestic appliance',100<=X<500,'co applicant',car,none,'for free',unemp/unskilled non res,yes,no,male,mar/wid',48,1376,1,3,46,2,2,<0,'<1',1
649,delayed previously,domestic appliance,<100,none,no known property,bank,rent,high qualif/self emp/mgmt,none,no,'female,div/dep/mar',40,1778,1,4,44,1,1,'no checking',4<=X<7,1
650,'all paid',other,'500<=X<1000','co applicant','no known property',stores,own,'unskilled resident',yes,no,'female,single,10,6288,2,3,75,2,1,<0,4<=X<7,1
651,all paid,'new car',no known savings,none,life insurance,stores,own,high qualif/self emp/mgmt,yes,yes,'female,mar/wid',20,368,1,3,65,4,2,no checking,1<=X<4,1
652,'delayed previously',retraining,500<=X<1000,'co applicant',life insurance,bank,own,unemp/unskilled non res,yes,no,male,mar/wid,4,5381,4,2,29,3,2,>=200,<1,1
653,'no credits/all paid','domestic appliance',no known savings,none,life insurance,none,own,'high qualif/self emp/mgmt',none,no,female,mar/wid,47,1206,3,3,53,1,1,>=200,>=7,1
654,'existing paid',repairs,'<100',co applicant,no known property,bank,own,skilled,yes,yes,male,div/dep/mar,6,1231,3,1,23,4,2,0<=X<200,'<1',1
655,'existing paid',domestic appliance,'100<=X<500',guarantor,no known property,stores,own,'unemp/unskilled non res',yes,yes,female,div/sep',54,790,1,3,66,4,2,'0<=X<200',1<=X<4,1
656,'all paid',furniture/equipment,100<=X<500,none,real estate,stores,rent,unemp/unskilled non res,yes,no,female,div/sep,22,3448,1,2,29,1,1,>=200,<1,1
657,no credits/all paid,other,'500<=X<1000',guarantor,no known property,bank,rent,high qualif/self emp/mgmt,none,yes,female,mar/wid,21,8386,2,1,42,1,2,'no checking',<1,1
658,no credits/all paid,'domestic appliance',>=1000,co applicant,'life insurance',stores,own,high qualif/self emp/mgmt,none,yes,female,mar/wid',21,1747,2,4,55,3,1,'<0','<1',1
659,delayed previously,education,>=1000,co applicant,real estate,stores,'for free','unemp/unskilled non res',yes,yes,'male,mar/wid,12,2121,2,1,65,4,1,no checking,<1,1
660,no credits/all paid,new car,'<100','co applicant','no known property',bank,own,unemp/unskilled non res,none,yes,'female,div/dep/mar',48,3448,2,2,24,2,2,'<0',unemployed,0
661,'delayed previously',furniture/equipment,100<=X<500,'co applicant',real estate,stores,'for free','unskilled resident',yes,no,'male,div/dep/mar',45,3422,4,1,33,3,1,'0<=X<200','>=7',1
662,all paid,radio/tv,>=1000,none,car,stores,for free,'high qualif/self emp/mgmt',none,no,'male,single',36,1927,1,1,50,2,1,no checking,1<=X<4,1
663,no credits/all paid,other,'<100',co applicant,'no known property',none,rent,unemp/unskilled non res,yes,yes,male,mar/wid,48,1190,1,4,31,2,2,>=200,'1<=X<4',0
664,critical/other existing credit,used car,>=1000,guarantor,'life insurance',bank,rent,unemp/unskilled non res,yes,yes,'male,div/sep',4,1418,1,3,30,1,1,no checking,'>=7',1
665,'existing paid',repairs,500<=X<1000,'co applicant','real estate',none,'for free','unemp/unskilled non res',yes,no,'female,single,7,4605,2,1,59,2,2,'>=200',>=7,1
666,'delayed previously',retraining,100<=X<500,guarantor,'no known property',bank,rent,'unskilled resident',yes,no,male,div/dep/mar',28,2896,3,4,23,1,2,>=200,1<=X<4,1
667,'delayed previously','used car',>=1000,co applicant,no known property,stores,own,unskilled resident,none,no,female,div/sep,6,4870,1,4,63,3,2,'<0',4<=X<7,1
668,delayed previously,education,'500<=X<1000',none,car,stores,own,skilled,yes,no,'female,div/sep,8,1221,1,2,31,1,1,<0,unemployed,1
669,all paid,business,'100<=X<500','co applicant','life insurance',stores,rent,'high qualif/self emp/mgmt',yes,yes,'female,div/sep',40,930,1,2,38,2,1,no checking,<1,1
670,'all paid','domestic appliance',<100,co applicant,life insurance,stores,rent,'unemp/unskilled non res',none,no,female,div/sep',21,3905,2,2,45,1,2,'>=200',>=7,1
671,critical/other existing credit,used car,<100,co applicant,'real estate',bank,'for free',unemp/unskilled non res,yes,no,female,mar/wid,21,1474,4,2,74,3,2,<0,'1<=X<4',1
672,'critical/other existing credit','used car','>=1000',co applicant,'real estate',none,rent,unskilled resident,none,yes,'male,div/dep/mar,15,1851,1,3,27,2,2,'no checking',4<=X<7,1
673,'delayed previously',retraining,'no known savings',guarantor,'no known property',bank,for free,unskilled resident,yes,yes,male,div/dep/mar,26,2063,3,1,50,1,1,'>=200',1<=X<4,1
674,'delayed previously','domestic appliance',<100,co applicant,'no known property',bank,rent,high qualif/self emp/mgmt,none,no,male,div/dep/mar',33,2708,3,3,53,1,2,'no checking','<1',1
675,'existing paid',furniture/equipment,500<=X<1000,'co applicant',car,bank,own,unskilled resident,yes,no,female,div/sep,30,2246,1,4,48,2,2,'0<=X<200',<1,1
676,delayed previously,domestic appliance,500<=X<1000,'co applicant',life insurance,stores,own,'unskilled resident',none,yes,male,div/dep/mar,22,4526,4,1,62,2,2,'no checking',>=7,1
677,'delayed previously',education,'<100',co applicant,'no known property',bank,'for free','high qualif/self emp/mgmt',yes,yes,'male,single',72,1823,3,2,34,2,2,no checking,'<1',0
678,delayed previously,furniture/equipment,>=1000,co applicant,life insurance,bank,for free,high qualif/self emp/mgmt,yes,no,'female,div/sep,26,2611,4,2,43,2,1,no checking,'<1',1
679,'all paid',retraining,no known savings,none,'life insurance',stores,rent,'unskilled resident',yes,no,'male,single,11,8588,2,2,38,4,2,'<0','4<=X<7',1
680,'delayed previously',other,'>=1000',guarantor,car,stores,'for free','unemp/unskilled non res',none,yes,female,mar/wid,54,3441,2,3,48,2,2,'no checking','<1',1
681,'no credits/all paid',repairs,>=1000,guarantor,no known property,bank,rent,unskilled resident,yes,yes,male,div/sep',21,8358,2,2,45,3,2,'<0',<1,0
682,'no credits/all paid',new car,'>=1000',none,'real estate',stores,own,unemp/unskilled non res,yes,yes,'male,mar/wid',13,3414,2,1,51,4,1,'>=200','1<=X<4',1
683,all paid,'new car',no known savings,co applicant,'real estate',stores,own,skilled,yes,no,'male,single,26,1050,4,3,74,1,2,no checking,'1<=X<4',1
684,'existing paid','used car',500<=X<1000,'co applicant',car,none,'for free','unemp/unskilled non res',none,no,'male,mar/wid',10,797,1,2,65,1,2,'no checking',4<=X<7,1
685,'delayed previously',other,'500<=X<1000','co applicant',car,stores,own,unemp/unskilled non res,yes,yes,'female,div/dep/mar,72,2899,3,2,38,4,2,<0,<1,0
686,delayed previously,other,'<100',co applicant,'life insurance',bank,for free,'high qualif/self emp/mgmt',none,yes,'female,div/sep,20,1445,1,4,48,2,1,0<=X<200,'>=7',1
687,critical/other existing credit,education,'<100',guarantor,life insurance,none,for free,skilled,none,no,male,div/sep',36,8086,2,4,22,4,1,0<=X<200,'4<=X<7',1
688,'all paid',other,'<100',co applicant,no known property,stores,for free,'high qualif/self emp/mgmt',none,no,'male,mar/wid',6,1819,4,4,45,2,2,'no checking','4<=X<7',1
689,'delayed previously',used car,'100<=X<500','co applicant','life insurance',bank,for free,unemp/unskilled non res,yes,yes,'male,div/dep/mar,10,1361,1,1,32,4,1,>=200,<1,1
690,no credits/all paid,domestic appliance,'500<=X<1000',none,car,stores,own,unemp/unskilled non res,yes,yes,male,div/sep,14,1297,1,2,43,3,1,>=200,4<=X<7,1
691,'all paid',retraining,'<100',co applicant,'life insurance',bank,'for free',skilled,none,yes,'female,div/dep/mar,72,2303,2,2,32,3,2,'0<=X<200',unemployed,0
692,'existing paid',retraining,500<=X<1000,co applicant,car,stores,own,'unskilled resident',none,no,male,single',27,2767,1,3,74,3,1,'>=200',<1,1
693,all paid,domestic appliance,'500<=X<1000',co applicant,life insurance,stores,for free,'high qualif/self emp/mgmt',yes,yes,'female,mar/wid,36,2570,4,3,25,2,1,no checking,unemployed,0
694,critical/other existing credit,retraining,<100,guarantor,'life insurance',bank,for free,skilled,none,yes,'female,single,20,8335,1,3,34,2,2,0<=X<200,'>=7',1
695,'all paid',furniture/equipment,'<100',none,car,stores,for free,skilled,yes,yes,male,single',39,1049,4,4,55,3,2,'<0',unemployed,1
696,'no credits/all paid',education,<100,co applicant,'real estate',stores,own,unskilled resident,none,no,'female,mar/wid,20,640,4,2,54,1,2,>=200,1<=X<4,1
697,'no credits/all paid',radio/tv,100<=X<500,guarantor,'life insurance',bank,own,skilled,none,no,female,single,20,8588,1,3,39,4,1,'>=200','>=7',1
698,'delayed previously',used car,>=1000,guarantor,car,bank,for free,skilled,none,no,'female,div/dep/mar',60,2603,3,3,52,3,2,<0,'>=7',1
699,'all paid','new car',<100,guarantor,no known property,bank,own,'unskilled resident',yes,yes,male,div/dep/mar,60,2223,3,1,28,3,2,>=200,'4<=X<7',1
700,existing paid,new car,'no known savings',none,'real estate',stores,for free,high qualif/self emp/mgmt,yes,no,'female,div/sep',11,2996,1,4,59,2,1,'no checking','<1',1
701,critical/other existing credit,domestic appliance,no known savings,none,'real estate',stores,for free,'unskilled resident',none,no,'male,mar/wid,22,1473,1,3,60,1,1,'>=200',1<=X<4,1
702,'no credits/all paid',other,500<=X<1000,guarantor,'no known property',none,for free,'high qualif/self emp/mgmt',none,yes,male,single,26,1136,3,1,23,1,1,>=200,4<=X<7,1
703,existing paid,new car,'100<=X<500','co applicant','real estate',none,'for free','high qualif/self emp/mgmt',yes,no,'male,mar/wid,33,1414,3,3,28,4,1,<0,unemployed,1
704,'existing paid','used car',100<=X<500,guarantor,car,stores,own,unskilled resident,none,no,'female,single,24,6419,4,1,52,4,2,0<=X<200,4<=X<7,1
705,no credits/all paid,business,'100<=X<500',guarantor,car,stores,'for free','unskilled resident',none,no,female,div/dep/mar',10,2116,1,3,28,2,2,'0<=X<200','<1',1
706,delayed previously,'domestic appliance',100<=X<500,co applicant,'no known property',bank,rent,high qualif/self emp/mgmt,yes,yes,'male,div/sep',24,5096,3,4,39,2,1,>=200,'<1',1
707,delayed previously,radio/tv,'500<=X<1000',none,real estate,bank,'for free',skilled,yes,no,male,div/sep,7,2622,1,2,62,2,2,0<=X<200,1<=X<4,1
708,critical/other existing credit,used car,'100<=X<500',co applicant,'real estate',bank,own,'unemp/unskilled non res',none,yes,'male,single,16,2462,4,3,23,2,1,'no checking',<1,1
709,no credits/all paid,'domestic appliance',500<=X<1000,'co applicant','life insurance',none,'for free',high qualif/self emp/mgmt,none,yes,'female,single,9,8335,3,2,26,4,2,0<=X<200,4<=X<7,1
710,'delayed previously',domestic appliance,'no known savings',guarantor,no known property,bank,rent,'unskilled resident',none,no,female,single,42,1817,2,1,70,3,1,'no checking',4<=X<7,1
711,existing paid,retraining,'>=1000',guarantor,car,stores,own,'unskilled resident',none,no,'female,div/dep/mar,7,3059,1,3,19,1,1,'0<=X<200','<1',1
712,'existing paid',repairs,'<100','co applicant','real estate',stores,'for free',unemp/unskilled non res,yes,yes,'female,div/dep/mar',4,5371,3,3,66,3,2,no checking,unemployed,0
