id,credit_history,purpose,savings_status,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker,duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,checking_status,employment,class
619,'critical/other existing credit',other,'500<=X<1000','male single',none,'no known property',stores,own,'unskilled resident',yes,no,8,5293,2,1,52,4,2,'>=200','>=7',1
620,'critical/other existing credit',used car,>=1000,'male div/sep','co applicant',real estate,none,'for free','unemp/unskilled non res',yes,no,20,1498,4,4,20,2,2,'<0','1<=X<4',1
621,'delayed previously',radio/tv,no known savings,'male div/sep','co applicant','life insurance',stores,for free,skilled,yes,no,8,4736,1,3,41,3,1,0<=X<200,unemployed,1
622,all paid,new car,no known savings,male single,co applicant,'real estate',stores,rent,skilled,none,yes,6,3069,4,3,49,1,1,<0,>=7,1
623,'delayed previously',radio/tv,'<100','male div/sep',co applicant,real estate,stores,own,unskilled resident,none,no,20,4870,1,4,75,4,1,no checking,'<1',1
624,'no credits/all paid',radio/tv,'no known savings','male div/sep',guarantor,life insurance,bank,own,unemp/unskilled non res,yes,yes,47,392,1,4,63,4,1,no checking,'<1',1
625,no credits/all paid,'new car',500<=X<1000,'male single',co applicant,car,none,own,unemp/unskilled non res,none,yes,30,3573,4,2,65,1,1,>=200,'1<=X<4',1
626,'critical/other existing credit','used car',<100,male mar/wid,'co applicant',real estate,none,rent,skilled,yes,yes,60,2149,4,4,23,2,1,0<=X<200,4<=X<7,1
627,'all paid','new car','500<=X<1000',male div/sep,none,real estate,bank,'for free',high qualif/self emp/mgmt,none,yes,16,12169,2,4,47,2,2,>=200,'1<=X<4',1
628,'all paid',repairs,100<=X<500,'male div/sep','co applicant',real estate,bank,rent,high qualif/self emp/mgmt,none,yes,12,9277,3,3,43,3,2,0<=X<200,1<=X<4,1
629,'all paid',radio/tv,500<=X<1000,'male single',co applicant,no known property,bank,rent,skilled,none,yes,54,3939,3,1,37,1,1,>=200,'4<=X<7',1
630,no credits/all paid,'new car',500<=X<1000,'male single','co applicant','no known property',bank,own,skilled,yes,no,42,7472,4,2,37,1,2,<0,>=7,0
631,existing paid,retraining,'100<=X<500','female div/dep/mar',guarantor,'life insurance',bank,for free,unemp/unskilled non res,none,yes,16,1977,2,3,20,2,1,'0<=X<200',>=7,1
632,'all paid','used car',500<=X<1000,female div/dep/mar,none,'real estate',bank,for free,'high qualif/self emp/mgmt',none,yes,5,10477,4,4,35,2,1,'<0','<1',1
633,no credits/all paid,'new car',100<=X<500,male mar/wid,none,no known property,none,'for free','unemp/unskilled non res',yes,no,15,15672,1,1,30,2,2,'no checking','1<=X<4',1
634,'critical/other existing credit',other,'<100','female div/dep/mar',guarantor,real estate,none,for free,high qualif/self emp/mgmt,none,yes,60,3594,3,2,47,3,2,0<=X<200,'1<=X<4',1
635,'no credits/all paid',new car,no known savings,female div/dep/mar,co applicant,no known property,stores,rent,skilled,none,yes,21,3160,4,2,70,3,2,'>=200','1<=X<4',1
636,'existing paid',furniture/equipment,no known savings,male div/sep,'co applicant',real estate,none,own,'unemp/unskilled non res',none,no,72,2390,3,1,74,1,2,'>=200',4<=X<7,1
637,'delayed previously',furniture/equipment,'100<=X<500',male single,guarantor,no known property,none,'for free',unskilled resident,none,no,11,754,4,1,49,4,2,>=200,'4<=X<7',1
638,'delayed previously',new car,100<=X<500,male div/sep,none,'real estate',stores,'for free',skilled,yes,yes,42,8065,1,3,53,2,2,no checking,4<=X<7,1
639,critical/other existing credit,other,>=1000,male mar/wid,co applicant,life insurance,stores,for free,skilled,none,yes,16,3331,1,3,24,4,2,'>=200','>=7',1
640,'delayed previously','used car',500<=X<1000,male single,co applicant,'life insurance',bank,for free,high qualif/self emp/mgmt,yes,no,54,951,4,2,40,2,2,<0,>=7,1
641,no credits/all paid,retraining,'<100','male mar/wid','co applicant','no known property',bank,for free,unemp/unskilled non res,yes,yes,21,1082,2,1,63,1,2,'no checking',1<=X<4,1
642,'existing paid','used car','500<=X<1000',male mar/wid,guarantor,'no known property',none,'for free',skilled,yes,yes,13,5507,2,2,20,4,1,'<0',>=7,1
643,'existing paid','domestic appliance',100<=X<500,'male single',guarantor,life insurance,bank,for free,high qualif/self emp/mgmt,yes,yes,42,409,3,3,37,1,2,'>=200','<1',1
644,'all paid',business,500<=X<1000,'male div/sep',none,no known property,stores,for free,'high qualif/self emp/mgmt',yes,no,45,3060,1,4,30,4,2,'0<=X<200',1<=X<4,1
645,'no credits/all paid',radio/tv,'<100',male single,co applicant,car,none,rent,'unemp/unskilled non res',none,no,15,458,1,4,46,1,1,no checking,'>=7',1
646,all paid,business,100<=X<500,'male mar/wid',guarantor,no known property,stores,own,unskilled resident,yes,no,24,2108,3,3,19,2,1,<0,<1,1
647,existing paid,radio/tv,>=1000,male div/sep,co applicant,'real estate',bank,'for free',unskilled resident,none,yes,11,2788,2,1,61,3,2,no checking,'1<=X<4',1
648,'critical/other existing credit',other,'100<=X<500',male div/sep,guarantor,car,none,'for free','high qualif/self emp/mgmt',yes,no,9,2210,3,1,25,1,1,0<=X<200,'>=7',1
649,'all paid','domestic appliance','>=1000',male single,guarantor,real estate,stores,own,unskilled resident,none,no,45,4843,3,3,75,4,2,'<0',>=7,1
650,no credits/all paid,furniture/equipment,'>=1000','male mar/wid','co applicant','no known property',stores,'for free',high qualif/self emp/mgmt,yes,yes,45,1231,3,4,19,1,2,'no checking','<1',0
651,'all paid',business,no known savings,'male div/sep',guarantor,'real estate',stores,'for free','high qualif/self emp/mgmt',yes,no,20,11590,1,2,75,1,1,'<0',unemployed,1
652,'no credits/all paid',furniture/equipment,no known savings,'male mar/wid','co applicant','life insurance',none,rent,unemp/unskilled non res,none,yes,14,3104,2,3,38,2,1,'>=200','1<=X<4',1
653,all paid,furniture/equipment,500<=X<1000,male single,none,no known property,bank,for free,unemp/unskilled non res,yes,no,14,1530,2,3,64,1,2,no checking,<1,1
654,delayed previously,'used car','no known savings',male mar/wid,none,'life insurance',stores,own,skilled,none,no,22,6229,1,2,43,3,2,'>=200','4<=X<7',1
655,existing paid,new car,>=1000,male div/sep,co applicant,'no known property',bank,own,skilled,none,yes,39,2323,2,1,41,1,2,<0,'4<=X<7',1
656,'all paid',used car,no known savings,'male div/sep','co applicant',no known property,stores,rent,unskilled resident,yes,no,24,3949,1,4,46,1,2,'no checking',1<=X<4,1
657,no credits/all paid,radio/tv,'<100',male div/sep,co applicant,life insurance,none,'for free',unemp/unskilled non res,yes,no,26,753,3,2,35,3,1,'no checking','1<=X<4',1
658,delayed previously,new car,'500<=X<1000','male mar/wid',guarantor,'real estate',bank,for free,'high qualif/self emp/mgmt',yes,no,27,4526,1,1,28,3,2,'no checking','>=7',1
659,'critical/other existing credit','domestic appliance',no known savings,female div/dep/mar,none,'no known property',stores,for free,unemp/unskilled non res,none,no,24,6419,2,4,29,1,1,>=200,'>=7',1
660,critical/other existing credit,new car,'100<=X<500','male mar/wid',none,no known property,none,for free,unskilled resident,none,yes,20,3711,1,1,49,4,1,no checking,'>=7',1
661,delayed previously,'used car','100<=X<500','male mar/wid',guarantor,no known property,stores,'for free','unemp/unskilled non res',none,yes,30,5433,1,1,65,3,1,'<0',<1,1
662,'critical/other existing credit','domestic appliance',500<=X<1000,male mar/wid,'co applicant',life insurance,none,own,high qualif/self emp/mgmt,yes,yes,6,1413,3,2,23,2,1,>=200,unemployed,1
663,delayed previously,domestic appliance,<100,'female div/dep/mar',co applicant,'no known property',stores,for free,unemp/unskilled non res,none,no,21,2828,2,2,62,4,1,>=200,>=7,1
664,'all paid',retraining,'no known savings',male div/sep,'co applicant','life insurance',none,for free,'unemp/unskilled non res',none,yes,40,6887,3,3,24,1,2,'>=200',>=7,1
665,'no credits/all paid',radio/tv,<100,'male mar/wid',co applicant,'no known property',bank,own,high qualif/self emp/mgmt,none,no,20,3062,2,1,65,4,1,no checking,1<=X<4,1
666,'no credits/all paid','domestic appliance','500<=X<1000','female div/dep/mar',co applicant,no known property,bank,for free,skilled,none,no,20,2569,3,4,54,3,2,'no checking','4<=X<7',1
667,all paid,used car,500<=X<1000,male mar/wid,co applicant,'real estate',bank,for free,'unskilled resident',yes,no,18,1169,2,2,64,4,2,'0<=X<200',4<=X<7,1
668,no credits/all paid,domestic appliance,<100,'male single','co applicant',real estate,stores,rent,'unskilled resident',none,yes,4,1249,2,1,51,3,1,'0<=X<200',unemployed,1
669,existing paid,domestic appliance,>=1000,'male single','co applicant',car,bank,for free,unskilled resident,yes,yes,72,2069,2,4,47,3,1,'0<=X<200',unemployed,0
670,existing paid,radio/tv,<100,'male mar/wid',co applicant,no known property,stores,for free,'unskilled resident',yes,no,18,7721,1,4,38,3,1,>=200,unemployed,1
671,critical/other existing credit,other,'100<=X<500','female div/dep/mar',co applicant,'life insurance',bank,own,'unemp/unskilled non res',yes,no,10,1867,2,1,47,3,1,0<=X<200,'4<=X<7',1
672,no credits/all paid,repairs,'100<=X<500','male mar/wid',guarantor,no known property,stores,rent,unskilled resident,none,yes,12,1038,1,2,31,2,2,'>=200',>=7,1
673,existing paid,new car,'100<=X<500','male mar/wid',guarantor,'life insurance',none,for free,unemp/unskilled non res,none,yes,12,1471,4,3,35,3,2,'>=200',4<=X<7,1
674,'delayed previously',other,>=1000,female div/dep/mar,guarantor,'no known property',bank,own,'unemp/unskilled non res',yes,no,42,1800,2,4,30,1,1,0<=X<200,>=7,1
675,no credits/all paid,retraining,'500<=X<1000',male single,'co applicant',real estate,none,'for free',unskilled resident,yes,no,45,3758,4,1,56,4,2,<0,'>=7',1
676,'critical/other existing credit',education,'100<=X<500',male single,co applicant,real estate,none,'for free','unskilled resident',none,no,28,339,4,4,42,2,2,'>=200','<1',1
677,existing paid,used car,'no known savings','male mar/wid',co applicant,'real estate',none,rent,unskilled resident,yes,no,40,4281,1,2,66,2,1,0<=X<200,<1,1
678,'all paid',radio/tv,>=1000,'female div/dep/mar',guarantor,car,none,rent,'unemp/unskilled non res',none,no,7,1922,1,1,24,2,1,0<=X<200,'>=7',1
679,all paid,business,'500<=X<1000','male div/sep','co applicant','real estate',stores,rent,'unemp/unskilled non res',none,no,27,3378,4,1,35,1,1,'>=200','4<=X<7',1
680,'critical/other existing credit',retraining,500<=X<1000,'female div/dep/mar',guarantor,'life insurance',bank,for free,high qualif/self emp/mgmt,yes,yes,72,2122,3,4,45,2,1,>=200,4<=X<7,1
681,all paid,'domestic appliance','100<=X<500','male single',none,life insurance,none,rent,skilled,none,yes,13,3844,2,4,59,1,1,'>=200',4<=X<7,1
682,critical/other existing credit,furniture/equipment,'<100','male mar/wid',none,no known property,none,for free,unemp/unskilled non res,yes,yes,28,1860,2,3,32,1,1,'>=200',>=7,1
683,'existing paid',radio/tv,100<=X<500,'male div/sep',guarantor,real estate,stores,'for free','unemp/unskilled non res',none,yes,54,7238,1,4,61,2,2,<0,'4<=X<7',1
684,all paid,domestic appliance,>=1000,male single,none,'real estate',none,rent,'high qualif/self emp/mgmt',yes,yes,30,2141,2,1,22,4,1,0<=X<200,1<=X<4,1
685,delayed previously,retraining,'100<=X<500','male single',co applicant,real estate,none,own,'high qualif/self emp/mgmt',none,yes,20,1201,4,2,56,2,2,'>=200',unemployed,1
686,all paid,business,'no known savings',female div/dep/mar,co applicant,life insurance,bank,for free,'unskilled resident',yes,no,14,3398,3,3,52,2,2,'0<=X<200',1<=X<4,1
687,delayed previously,furniture/equipment,100<=X<500,male single,none,'life insurance',none,'for free',unemp/unskilled non res,yes,yes,24,1860,4,4,29,4,2,<0,'4<=X<7',1
688,existing paid,'new car','no known savings','male mar/wid',none,'no known property',bank,rent,unskilled resident,none,no,18,12169,4,4,75,2,2,<0,'1<=X<4',0
689,existing paid,retraining,'no known savings','male div/sep',guarantor,real estate,bank,own,high qualif/self emp/mgmt,none,yes,5,6850,2,4,49,2,1,'0<=X<200',unemployed,1
690,no credits/all paid,furniture/equipment,'>=1000',female div/dep/mar,none,real estate,stores,rent,high qualif/self emp/mgmt,yes,no,16,4351,4,2,43,4,2,'>=200','>=7',1
691,'existing paid','new car','<100','male mar/wid',co applicant,'no known property',none,'for free',unemp/unskilled non res,yes,no,16,1478,1,2,44,3,1,<0,unemployed,1
692,no credits/all paid,'new car','>=1000','female div/dep/mar',co applicant,car,bank,for free,unskilled resident,none,yes,18,1922,1,2,61,3,2,no checking,'>=7',1
693,'delayed previously',repairs,'100<=X<500',male single,co applicant,'life insurance',bank,rent,unskilled resident,none,no,28,1038,3,1,35,1,1,'0<=X<200','>=7',1
694,'no credits/all paid',domestic appliance,'<100',male div/sep,guarantor,'real estate',bank,rent,'unskilled resident',yes,yes,48,1414,2,1,57,3,1,>=200,'4<=X<7',0
695,'existing paid',furniture/equipment,no known savings,female div/dep/mar,guarantor,'real estate',bank,rent,'unemp/unskilled non res',yes,yes,8,1262,4,4,43,4,2,no checking,'4<=X<7',1
696,existing paid,radio/tv,500<=X<1000,'female div/dep/mar','co applicant','life insurance',bank,'for free',high qualif/self emp/mgmt,none,yes,9,2360,2,1,56,4,1,'no checking',unemployed,1
697,delayed previously,radio/tv,100<=X<500,'male single',none,no known property,stores,own,'unskilled resident',none,yes,39,666,2,1,30,1,1,>=200,'<1',1
698,existing paid,'domestic appliance','500<=X<1000','female div/dep/mar','co applicant',life insurance,bank,own,unemp/unskilled non res,none,yes,13,3660,3,3,51,3,1,'>=200','4<=X<7',0
699,critical/other existing credit,furniture/equipment,'>=1000','male single',co applicant,life insurance,none,for free,skilled,none,no,22,1469,1,1,46,3,2,0<=X<200,'>=7',1
700,'critical/other existing credit',new car,'500<=X<1000',male single,co applicant,'real estate',none,own,skilled,none,yes,6,1053,2,3,31,4,1,'<0','1<=X<4',1
701,'all paid',new car,'>=1000','male single','co applicant',life insurance,none,own,'unemp/unskilled non res',yes,no,11,3959,3,3,74,4,1,no checking,'1<=X<4',1
702,'no credits/all paid',other,100<=X<500,'male single',co applicant,'real estate',bank,for free,unskilled resident,yes,no,10,1301,3,1,22,2,2,<0,4<=X<7,1
703,'existing paid',radio/tv,'no known savings',male single,co applicant,life insurance,none,'for free',unskilled resident,none,no,72,6224,4,2,30,3,1,<0,'<1',0
704,'all paid','used car','no known savings',male single,guarantor,no known property,bank,'for free','unemp/unskilled non res',yes,no,47,6314,2,1,50,3,1,'>=200','1<=X<4',1
705,critical/other existing credit,furniture/equipment,'100<=X<500','female div/dep/mar',none,'real estate',none,rent,unskilled resident,none,yes,45,1469,4,4,70,2,2,'no checking',unemployed,1
706,'no credits/all paid',radio/tv,'>=1000','male single',co applicant,'no known property',bank,rent,'unskilled resident',yes,no,33,1925,1,4,27,2,2,'no checking','4<=X<7',1
707,'existing paid',business,'500<=X<1000','male single',none,'no known property',bank,own,unskilled resident,none,yes,30,1837,4,4,19,2,2,0<=X<200,1<=X<4,1
708,'critical/other existing credit','domestic appliance',>=1000,'male single',guarantor,'real estate',stores,rent,skilled,none,no,36,1264,3,4,51,4,1,'0<=X<200',<1,1
709,no credits/all paid,retraining,500<=X<1000,'male mar/wid',none,real estate,stores,'for free','unemp/unskilled non res',yes,no,72,1393,4,2,46,4,2,>=200,'>=7',1
710,no credits/all paid,'domestic appliance','100<=X<500',female div/dep/mar,co applicant,'no known property',none,own,'high qualif/self emp/mgmt',yes,no,18,1537,1,4,39,2,1,'>=200','4<=X<7',1
711,no credits/all paid,furniture/equipment,'<100',male single,guarantor,'no known property',none,rent,skilled,none,no,6,3643,2,3,27,1,1,'<0',1<=X<4,1
712,all paid,other,100<=X<500,'male div/sep','co applicant','no known property',none,for free,high qualif/self emp/mgmt,none,yes,30,841,3,3,45,3,2,0<=X<200,4<=X<7,1
713,'critical/other existing credit',other,'100<=X<500',male mar/wid,none,car,stores,rent,'unskilled resident',none,no,48,3844,3,1,28,1,2,>=200,>=7,1
714,all paid,'domestic appliance','no known savings',male div/sep,co applicant,real estate,stores,for free,'high qualif/self emp/mgmt',none,no,13,4591,4,3,37,2,2,<0,<1,1
715,existing paid,domestic appliance,<100,'female div/dep/mar','co applicant','life insurance',stores,rent,'unemp/unskilled non res',yes,yes,36,6350,1,3,30,4,1,'>=200','>=7',1
716,'delayed previously',education,'no known savings',male single,co applicant,'life insurance',stores,own,'unemp/unskilled non res',none,no,13,6967,2,1,60,2,1,0<=X<200,4<=X<7,1
717,all paid,furniture/equipment,'<100','male single',guarantor,'life insurance',bank,own,'high qualif/self emp/mgmt',none,no,11,1249,2,2,52,2,2,'<0',1<=X<4,1
718,'delayed previously',new car,'100<=X<500',female div/dep/mar,guarantor,'life insurance',stores,for free,unemp/unskilled non res,yes,yes,16,2892,1,4,64,2,2,>=200,'4<=X<7',1
719,'delayed previously',used car,'>=1000','male mar/wid','co applicant',real estate,none,for free,'high qualif/self emp/mgmt',yes,yes,18,2728,1,2,36,3,1,'0<=X<200','>=7',1
720,'delayed previously',furniture/equipment,no known savings,male mar/wid,guarantor,'no known property',bank,'for free',skilled,none,no,16,1103,4,3,61,4,2,'0<=X<200',4<=X<7,1
721,critical/other existing credit,'new car',<100,male single,none,'no known property',none,rent,'unskilled resident',yes,yes,20,2315,4,4,70,4,1,'0<=X<200',>=7,1
722,critical/other existing credit,repairs,'500<=X<1000','male mar/wid',co applicant,'no known property',bank,rent,'unskilled resident',none,no,20,2415,2,2,24,1,1,<0,'1<=X<4',1
723,critical/other existing credit,domestic appliance,500<=X<1000,male mar/wid,'co applicant',real estate,none,for free,'high qualif/self emp/mgmt',yes,yes,16,2012,1,2,66,4,1,<0,unemployed,1
724,existing paid,'used car',<100,female div/dep/mar,none,real estate,bank,for free,'unskilled resident',yes,no,30,1941,1,4,50,3,1,'>=200',<1,1
725,delayed previously,education,'500<=X<1000','male single',guarantor,real estate,bank,own,high qualif/self emp/mgmt,none,no,14,9055,3,2,50,2,1,'0<=X<200',unemployed,1
726,critical/other existing credit,'domestic appliance','no known savings',male div/sep,guarantor,'no known property',none,own,'unemp/unskilled non res',none,no,21,1835,3,3,42,3,2,<0,>=7,1
727,critical/other existing credit,business,100<=X<500,male single,co applicant,'life insurance',stores,for free,'unskilled resident',none,yes,36,5302,3,3,32,3,2,'no checking',1<=X<4,1
728,'no credits/all paid','domestic appliance','100<=X<500',male mar/wid,co applicant,'real estate',bank,rent,'unskilled resident',yes,no,13,3652,3,4,20,1,2,>=200,unemployed,1
729,existing paid,new car,'<100',male div/sep,none,no known property,bank,own,'unskilled resident',yes,yes,21,3447,3,2,56,3,1,'>=200',unemployed,1
730,delayed previously,'used car',100<=X<500,'male div/sep',guarantor,'no known property',bank,for free,high qualif/self emp/mgmt,none,yes,72,4844,2,4,68,1,2,'0<=X<200',1<=X<4,0
731,existing paid,repairs,'<100','male mar/wid','co applicant',real estate,bank,rent,'high qualif/self emp/mgmt',yes,no,7,2315,4,1,62,2,2,'no checking',<1,1
732,delayed previously,used car,no known savings,female div/dep/mar,co applicant,no known property,none,own,'high qualif/self emp/mgmt',none,no,5,806,2,1,62,2,2,'<0',unemployed,1
733,'delayed previously',business,'>=1000',male div/sep,guarantor,life insurance,none,for free,high qualif/self emp/mgmt,none,yes,6,708,4,4,23,2,2,'0<=X<200','4<=X<7',1
734,'existing paid','new car',500<=X<1000,male mar/wid,none,life insurance,none,own,unemp/unskilled non res,none,yes,72,3021,1,3,25,1,2,'<0',unemployed,1
735,critical/other existing credit,radio/tv,<100,male mar/wid,co applicant,'life insurance',bank,rent,skilled,yes,no,36,1203,4,2,75,1,2,'no checking','<1',1
736,no credits/all paid,'used car',no known savings,female div/dep/mar,none,'real estate',none,for free,unemp/unskilled non res,yes,no,40,1050,1,4,19,1,1,no checking,1<=X<4,1
737,'existing paid','new car','no known savings',male single,none,car,stores,'for free',unemp/unskilled non res,none,no,12,3915,4,3,52,3,2,0<=X<200,unemployed,1
738,critical/other existing credit,education,'<100','male mar/wid',guarantor,'no known property',bank,own,skilled,none,no,36,1245,4,3,59,4,1,'>=200',<1,1
739,all paid,'domestic appliance','<100','male mar/wid',none,'real estate',stores,for free,'high qualif/self emp/mgmt',yes,yes,6,700,1,3,45,4,1,'<0','<1',1
740,no credits/all paid,'used car','500<=X<1000',male single,none,life insurance,bank,own,skilled,yes,yes,36,2764,3,1,49,2,2,<0,unemployed,1
741,existing paid,repairs,>=1000,male div/sep,'co applicant',no known property,none,rent,unemp/unskilled non res,none,no,48,2063,1,4,33,3,2,>=200,'1<=X<4',1
742,'no credits/all paid',repairs,'no known savings',female div/dep/mar,'co applicant',real estate,bank,rent,unskilled resident,none,yes,12,3331,4,3,27,4,1,'0<=X<200',1<=X<4,1
743,critical/other existing credit,education,'500<=X<1000','male div/sep',co applicant,life insurance,stores,for free,'unemp/unskilled non res',none,yes,26,1842,3,1,38,4,1,0<=X<200,unemployed,1
744,all paid,repairs,500<=X<1000,male div/sep,none,'real estate',stores,rent,unskilled resident,none,no,26,2181,1,4,20,1,2,'>=200','>=7',1
745,'delayed previously',business,'no known savings',male mar/wid,co applicant,car,stores,for free,'unskilled resident',none,yes,16,4817,3,2,68,4,1,'no checking','<1',1
746,critical/other existing credit,domestic appliance,>=1000,female div/dep/mar,none,'life insurance',none,'for free','unskilled resident',yes,yes,6,276,2,1,53,3,2,'<0',1<=X<4,1
747,existing paid,other,'100<=X<500','female div/dep/mar',co applicant,real estate,none,'for free',unemp/unskilled non res,none,no,6,3060,4,4,30,2,2,'0<=X<200',<1,1
748,'critical/other existing credit','new car','<100',male mar/wid,none,real estate,none,own,unemp/unskilled non res,yes,yes,20,4455,3,1,58,2,1,>=200,'1<=X<4',1
749,critical/other existing credit,'new car',>=1000,'female div/dep/mar',co applicant,no known property,stores,'for free',unemp/unskilled non res,none,yes,15,1872,3,2,43,1,1,'>=200','<1',1
750,existing paid,repairs,'100<=X<500',female div/dep/mar,co applicant,no known property,stores,own,high qualif/self emp/mgmt,yes,no,21,11560,4,2,19,1,2,no checking,'4<=X<7',1
751,critical/other existing credit,furniture/equipment,'no known savings',male single,'co applicant',car,none,'for free','high qualif/self emp/mgmt',yes,yes,72,1953,1,1,27,3,2,'0<=X<200',4<=X<7,1
752,'all paid',education,>=1000,'female div/dep/mar','co applicant','life insurance',none,for free,high qualif/self emp/mgmt,none,yes,47,4933,3,1,65,4,2,'>=200',unemployed,1
753,'no credits/all paid',other,'500<=X<1000','male single','co applicant',real estate,bank,'for free',high qualif/self emp/mgmt,none,no,54,3622,2,3,46,3,2,0<=X<200,<1,1
754,'critical/other existing credit','domestic appliance',no known savings,'female div/dep/mar',none,'life insurance',stores,for free,unemp/unskilled non res,none,no,4,2764,1,4,23,1,1,0<=X<200,'>=7',1
755,'no credits/all paid',other,100<=X<500,'male single','co applicant','no known property',bank,rent,unskilled resident,yes,no,9,7166,4,3,39,4,1,'>=200',unemployed,1
756,all paid,radio/tv,'no known savings',female div/dep/mar,none,no known property,stores,rent,high qualif/self emp/mgmt,yes,yes,15,3069,3,2,29,2,2,'0<=X<200',4<=X<7,1
757,all paid,domestic appliance,'500<=X<1000',male mar/wid,co applicant,'no known property',none,for free,'unemp/unskilled non res',none,no,10,1076,4,4,46,4,1,'no checking',>=7,1
758,'all paid',retraining,'100<=X<500','male single',none,real estate,stores,for free,'unskilled resident',yes,no,48,2278,2,3,56,2,1,0<=X<200,>=7,1
759,'existing paid',used car,'no known savings',male div/sep,co applicant,'life insurance',bank,rent,'unskilled resident',none,yes,60,2108,2,1,48,1,1,no checking,>=7,1
760,'delayed previously',education,'no known savings','male single',co applicant,'life insurance',none,for free,high qualif/self emp/mgmt,none,no,28,4583,1,1,19,3,1,'no checking',<1,1
761,existing paid,other,100<=X<500,female div/dep/mar,guarantor,real estate,bank,own,'high qualif/self emp/mgmt',none,yes,48,2629,4,3,65,1,1,no checking,'1<=X<4',1
762,delayed previously,education,'no known savings',male mar/wid,'co applicant',life insurance,bank,own,'unemp/unskilled non res',yes,yes,21,4712,2,3,33,2,1,'>=200',4<=X<7,1
763,'no credits/all paid',education,500<=X<1000,male single,'co applicant','life insurance',none,for free,'unskilled resident',none,yes,48,1943,4,3,47,2,1,'no checking',4<=X<7,1
764,'existing paid',domestic appliance,'no known savings','male single','co applicant',real estate,bank,for free,high qualif/self emp/mgmt,none,no,47,6758,4,2,46,4,2,'0<=X<200','<1',1
765,'all paid',new car,no known savings,female div/dep/mar,'co applicant',car,stores,'for free','high qualif/self emp/mgmt',none,yes,28,1961,1,4,50,4,1,0<=X<200,'4<=X<7',1
766,critical/other existing credit,retraining,500<=X<1000,male mar/wid,guarantor,real estate,none,rent,unemp/unskilled non res,none,no,15,2779,2,4,38,3,1,'<0',<1,1
767,'all paid','used car','100<=X<500','female div/dep/mar','co applicant',car,stores,'for free','unemp/unskilled non res',yes,yes,60,1940,4,2,56,2,2,>=200,unemployed,1
768,'delayed previously',repairs,no known savings,female div/dep/mar,guarantor,'real estate',none,'for free',skilled,none,no,5,1901,2,1,34,1,1,'>=200','>=7',1
769,'critical/other existing credit',domestic appliance,'100<=X<500','male div/sep',guarantor,'no known property',bank,rent,unskilled resident,none,no,18,8858,2,3,32,4,1,'0<=X<200','<1',1
770,all paid,'used car','no known savings','male single','co applicant','no known property',bank,rent,unemp/unskilled non res,yes,no,26,12749,1,4,36,1,2,'>=200','1<=X<4',1
771,'existing paid',radio/tv,no known savings,female div/dep/mar,guarantor,'no known property',none,rent,'high qualif/self emp/mgmt',none,yes,15,2212,1,4,57,4,1,no checking,unemployed,1
772,critical/other existing credit,business,<100,'male single',none,'no known property',stores,rent,unskilled resident,none,yes,12,2327,2,4,47,2,2,'<0','>=7',1
773,critical/other existing credit,'domestic appliance',>=1000,'female div/dep/mar',guarantor,car,stores,for free,'high qualif/self emp/mgmt',none,yes,8,6458,2,1,52,1,1,>=200,'1<=X<4',1
774,existing paid,'domestic appliance','100<=X<500',male single,none,life insurance,bank,'for free',skilled,yes,yes,36,841,1,2,58,4,2,'<0','4<=X<7',1
775,'all paid','new car',500<=X<1000,male mar/wid,co applicant,'no known property',stores,'for free',high qualif/self emp/mgmt,none,yes,11,392,3,4,57,4,2,>=200,4<=X<7,1
776,critical/other existing credit,repairs,500<=X<1000,female div/dep/mar,none,'no known property',bank,'for free','unemp/unskilled non res',yes,yes,20,2223,3,2,51,4,1,>=200,'>=7',1
777,critical/other existing credit,new car,'500<=X<1000','male div/sep',none,car,none,for free,high qualif/self emp/mgmt,yes,no,18,5711,4,1,55,1,1,'no checking','4<=X<7',1
778,'critical/other existing credit',retraining,'no known savings','female div/dep/mar',co applicant,'life insurance',stores,own,'unskilled resident',yes,no,15,1381,4,4,19,3,1,no checking,<1,1
779,'all paid',business,'<100',male single,none,'no known property',none,'for free',skilled,none,yes,12,4308,2,1,67,3,1,'>=200',>=7,1
780,'critical/other existing credit',education,'500<=X<1000',male div/sep,'co applicant',life insurance,none,for free,unskilled resident,yes,yes,54,3573,1,2,57,1,1,'no checking',1<=X<4,1
781,'delayed previously',used car,'<100',male mar/wid,'co applicant',real estate,none,for free,'high qualif/self emp/mgmt',none,no,8,5848,1,3,27,4,2,'0<=X<200',<1,1
782,'all paid',domestic appliance,'>=1000','male single',co applicant,no known property,stores,own,unemp/unskilled non res,none,no,16,6850,1,3,75,2,2,'no checking','1<=X<4',1
783,existing paid,'new car','100<=X<500','female div/dep/mar',guarantor,'real estate',none,for free,'unskilled resident',yes,yes,33,1659,3,3,41,2,2,>=200,1<=X<4,1
784,all paid,'domestic appliance',100<=X<500,male div/sep,'co applicant','real estate',none,rent,'unskilled resident',none,yes,28,1453,3,1,41,1,1,>=200,'1<=X<4',1
785,'all paid',domestic appliance,<100,female div/dep/mar,co applicant,car,bank,'for free',unskilled resident,none,yes,45,2442,2,2,70,2,1,'no checking',1<=X<4,1
