id,credit_history,purpose,savings_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker,gender,status,duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,checking_status,employment,class
236,all paid,other,'>=1000',co applicant,'real estate',none,rent,skilled,yes,no,'male,div/dep/mar',38<x<55,276<x<4813,x<1,1<x<2,19<x<33,2<x<3,x>1,0<=X<200,'>=7',1
237,delayed previously,'new car','500<=X<1000','co applicant',no known property,stores,'for free','unskilled resident',none,yes,'male,div/dep/mar,4<x<21,276<x<4813,2<x<3,2<x<3,33<x<47,x>3,x>1,<0,'>=7',0
238,delayed previously,business,'<100',none,life insurance,stores,for free,unskilled resident,yes,yes,female,div/dep/mar,4<x<21,276<x<4813,x<1,x<1,x>61,1<x<2,x>1,'<0','<1',1
239,existing paid,new car,500<=X<1000,co applicant,life insurance,none,rent,'unemp/unskilled non res',none,yes,male,single',4<x<21,4813<x<9350,2<x<3,2<x<3,47<x<61,1<x<2,x>1,no checking,'4<=X<7',1
240,'delayed previously','new car',100<=X<500,'co applicant',no known property,bank,for free,skilled,none,yes,female,div/sep,21<x<38,276<x<4813,x<1,x<1,x>61,x>3,x<1,'>=200','<1',0
241,'critical/other existing credit',education,'no known savings',none,'real estate',bank,for free,'unskilled resident',yes,yes,female,div/dep/mar,4<x<21,276<x<4813,x>3,1<x<2,33<x<47,x>3,x>1,'0<=X<200',1<=X<4,1
242,'all paid',other,no known savings,'co applicant',no known property,none,for free,unskilled resident,none,no,female,mar/wid,21<x<38,276<x<4813,2<x<3,2<x<3,33<x<47,x<1,x>1,>=200,>=7,1
243,existing paid,'domestic appliance','100<=X<500',co applicant,'no known property',none,own,'unskilled resident',none,yes,female,div/sep,38<x<55,276<x<4813,x<1,2<x<3,33<x<47,x>3,x>1,>=200,'1<=X<4',0
244,existing paid,domestic appliance,no known savings,co applicant,'life insurance',bank,for free,'unskilled resident',yes,no,'female,div/dep/mar',4<x<21,276<x<4813,x>3,x>3,x>61,1<x<2,x<1,'>=200',>=7,1
245,critical/other existing credit,retraining,'>=1000',co applicant,'no known property',none,own,unemp/unskilled non res,none,no,female,mar/wid',4<x<21,276<x<4813,x>3,x<1,x>61,x>3,x>1,>=200,1<=X<4,1
246,all paid,domestic appliance,'500<=X<1000',guarantor,no known property,bank,for free,'unskilled resident',yes,no,female,div/sep',4<x<21,276<x<4813,2<x<3,2<x<3,19<x<33,2<x<3,x>1,'>=200',1<=X<4,0
247,'no credits/all paid',new car,'500<=X<1000','co applicant',car,bank,rent,unemp/unskilled non res,none,yes,male,div/dep/mar,21<x<38,9350<x<13887,2<x<3,x>3,x>61,x<1,x<1,'no checking',4<=X<7,0
248,critical/other existing credit,domestic appliance,no known savings,guarantor,no known property,none,own,unskilled resident,yes,no,male,mar/wid',4<x<21,276<x<4813,2<x<3,1<x<2,19<x<33,2<x<3,x>1,0<=X<200,'<1',1
249,delayed previously,'used car','>=1000','co applicant',life insurance,none,for free,unskilled resident,yes,no,male,single',4<x<21,4813<x<9350,x>3,x>3,33<x<47,2<x<3,x<1,'0<=X<200',<1,0
250,existing paid,'new car',no known savings,guarantor,'real estate',none,'for free',skilled,yes,yes,male,mar/wid,4<x<21,276<x<4813,2<x<3,2<x<3,47<x<61,1<x<2,x<1,'>=200',1<=X<4,0
251,'critical/other existing credit',education,500<=X<1000,'co applicant',life insurance,stores,rent,skilled,none,no,male,single,4<x<21,276<x<4813,x>3,2<x<3,x>61,2<x<3,x>1,0<=X<200,'>=7',1
252,critical/other existing credit,retraining,no known savings,none,car,bank,own,'high qualif/self emp/mgmt',none,yes,male,div/dep/mar',x>55,276<x<4813,x<1,x<1,33<x<47,x>3,x>1,>=200,'>=7',1
253,no credits/all paid,used car,'100<=X<500',none,'life insurance',none,rent,high qualif/self emp/mgmt,yes,no,'female,mar/wid,21<x<38,276<x<4813,1<x<2,x<1,19<x<33,x>3,x>1,0<=X<200,unemployed,1
254,delayed previously,domestic appliance,'no known savings','co applicant',no known property,stores,for free,'unskilled resident',none,yes,'male,mar/wid,38<x<55,276<x<4813,x<1,x<1,47<x<61,x>3,x<1,0<=X<200,'<1',0
255,'no credits/all paid',domestic appliance,<100,'co applicant',car,bank,'for free',high qualif/self emp/mgmt,yes,no,'female,div/dep/mar',21<x<38,276<x<4813,x>3,x<1,x>61,x>3,x>1,'>=200',4<=X<7,1
256,'delayed previously',education,'no known savings',none,no known property,bank,'for free','unemp/unskilled non res',yes,no,'male,div/dep/mar,4<x<21,4813<x<9350,1<x<2,x<1,33<x<47,2<x<3,x<1,no checking,'<1',1
257,no credits/all paid,repairs,<100,guarantor,no known property,stores,own,high qualif/self emp/mgmt,yes,no,'female,div/dep/mar',x>55,276<x<4813,x>3,2<x<3,19<x<33,1<x<2,x<1,no checking,'1<=X<4',1
258,existing paid,furniture/equipment,>=1000,guarantor,life insurance,stores,for free,high qualif/self emp/mgmt,none,yes,female,div/sep',4<x<21,9350<x<13887,1<x<2,x>3,33<x<47,2<x<3,x>1,no checking,4<=X<7,1
259,'existing paid',other,100<=X<500,'co applicant','real estate',none,rent,'unskilled resident',yes,yes,male,div/dep/mar',21<x<38,4813<x<9350,x<1,x<1,19<x<33,x<1,x<1,0<=X<200,'>=7',0
260,'delayed previously',radio/tv,'<100',guarantor,'no known property',bank,for free,unemp/unskilled non res,none,yes,'female,div/sep',x>55,276<x<4813,2<x<3,2<x<3,33<x<47,x>3,x>1,'0<=X<200','>=7',1
261,'all paid',used car,'500<=X<1000','co applicant','life insurance',bank,'for free',skilled,none,yes,'female,mar/wid,4<x<21,276<x<4813,x>3,1<x<2,47<x<61,1<x<2,x>1,'no checking',unemployed,1
262,'existing paid','new car',500<=X<1000,'co applicant',life insurance,stores,rent,unskilled resident,none,no,male,single,x>55,276<x<4813,2<x<3,x>3,33<x<47,x<1,x>1,'<0','>=7',1
263,all paid,'domestic appliance',no known savings,'co applicant',real estate,none,for free,unskilled resident,yes,yes,male,single',4<x<21,276<x<4813,2<x<3,x>3,x>61,1<x<2,x<1,no checking,1<=X<4,1
264,'no credits/all paid',radio/tv,'<100',co applicant,life insurance,none,for free,'unskilled resident',yes,no,'female,mar/wid',21<x<38,276<x<4813,x<1,2<x<3,x>61,x>3,x<1,'0<=X<200','1<=X<4',1
265,'delayed previously',business,100<=X<500,none,life insurance,none,own,'unskilled resident',yes,no,'female,div/dep/mar',x<4,276<x<4813,x>3,x<1,x>61,x>3,x>1,'>=200',unemployed,1
266,'critical/other existing credit',education,'100<=X<500',co applicant,'no known property',none,own,unskilled resident,none,yes,'female,mar/wid,4<x<21,x>13887,x>3,x<1,33<x<47,x<1,x<1,>=200,'1<=X<4',0
267,critical/other existing credit,retraining,'500<=X<1000',none,life insurance,bank,for free,'unskilled resident',none,no,'male,div/dep/mar,38<x<55,4813<x<9350,2<x<3,x<1,47<x<61,x>3,x>1,0<=X<200,'>=7',1
268,'no credits/all paid',furniture/equipment,'500<=X<1000','co applicant','real estate',none,for free,high qualif/self emp/mgmt,yes,no,'male,mar/wid',21<x<38,x>13887,2<x<3,x<1,47<x<61,x>3,x>1,0<=X<200,4<=X<7,0
269,no credits/all paid,used car,'100<=X<500',co applicant,'no known property',stores,own,unskilled resident,none,yes,'female,single',38<x<55,276<x<4813,1<x<2,2<x<3,47<x<61,x<1,x>1,'<0',>=7,1
270,critical/other existing credit,furniture/equipment,no known savings,none,'life insurance',none,'for free',skilled,yes,no,'female,mar/wid',x<4,276<x<4813,2<x<3,x>3,x>61,2<x<3,x>1,'>=200','>=7',1
271,critical/other existing credit,used car,<100,none,'life insurance',bank,'for free',unemp/unskilled non res,yes,yes,male,single',4<x<21,276<x<4813,1<x<2,2<x<3,19<x<33,2<x<3,x<1,<0,'4<=X<7',1
272,'critical/other existing credit',other,'<100','co applicant',life insurance,none,rent,'high qualif/self emp/mgmt',yes,no,male,div/sep',21<x<38,276<x<4813,x<1,2<x<3,47<x<61,1<x<2,x>1,'<0',<1,1
273,'all paid',education,'no known savings','co applicant',life insurance,none,rent,unskilled resident,none,yes,female,single',4<x<21,276<x<4813,x>3,x>3,33<x<47,x>3,x>1,0<=X<200,'4<=X<7',1
274,critical/other existing credit,'domestic appliance',500<=X<1000,co applicant,'no known property',stores,'for free',unemp/unskilled non res,yes,no,female,div/dep/mar,4<x<21,276<x<4813,1<x<2,2<x<3,19<x<33,x<1,x>1,'<0',>=7,1
275,'delayed previously',repairs,no known savings,none,no known property,none,'for free','unemp/unskilled non res',yes,no,male,single',21<x<38,276<x<4813,x<1,2<x<3,47<x<61,1<x<2,x<1,'0<=X<200','>=7',1
276,'no credits/all paid',business,'>=1000',none,car,bank,rent,high qualif/self emp/mgmt,none,no,male,div/sep',21<x<38,276<x<4813,1<x<2,x<1,19<x<33,x<1,x>1,'<0',1<=X<4,1
277,'delayed previously',retraining,<100,'co applicant','no known property',none,'for free','unskilled resident',none,yes,'female,div/sep',21<x<38,4813<x<9350,x>3,2<x<3,19<x<33,1<x<2,x<1,'>=200',<1,0
278,all paid,used car,'no known savings',guarantor,real estate,none,rent,unemp/unskilled non res,none,no,male,div/sep',4<x<21,4813<x<9350,2<x<3,2<x<3,33<x<47,1<x<2,x<1,'0<=X<200',<1,0
279,all paid,education,'<100',co applicant,car,stores,for free,high qualif/self emp/mgmt,none,no,'female,div/sep',4<x<21,276<x<4813,1<x<2,x<1,47<x<61,x<1,x>1,'no checking','4<=X<7',1
280,'delayed previously',repairs,'500<=X<1000',co applicant,'no known property',none,'for free','unemp/unskilled non res',yes,yes,'female,div/dep/mar',21<x<38,276<x<4813,1<x<2,x>3,33<x<47,x<1,x<1,0<=X<200,'1<=X<4',1
281,'existing paid',repairs,no known savings,'co applicant',car,none,for free,'unemp/unskilled non res',yes,yes,male,single,4<x<21,4813<x<9350,1<x<2,x<1,47<x<61,x>3,x>1,<0,unemployed,1
282,'existing paid','new car',no known savings,guarantor,life insurance,stores,own,'high qualif/self emp/mgmt',none,yes,female,div/dep/mar,21<x<38,276<x<4813,1<x<2,1<x<2,33<x<47,2<x<3,x<1,<0,'>=7',1
283,delayed previously,other,'<100',guarantor,car,stores,for free,skilled,yes,no,female,div/dep/mar,38<x<55,276<x<4813,x<1,2<x<3,47<x<61,x>3,x>1,'>=200','1<=X<4',1
284,all paid,'new car','100<=X<500',guarantor,no known property,bank,rent,skilled,yes,yes,'female,single,4<x<21,276<x<4813,1<x<2,2<x<3,x>61,x>3,x>1,'0<=X<200',1<=X<4,1
285,existing paid,'domestic appliance',no known savings,'co applicant',car,none,'for free','unskilled resident',none,yes,female,single',4<x<21,276<x<4813,1<x<2,x<1,33<x<47,x>3,x<1,'0<=X<200','>=7',1
286,'critical/other existing credit','new car',<100,none,'no known property',none,rent,'unskilled resident',none,yes,'male,single',21<x<38,276<x<4813,1<x<2,x<1,47<x<61,2<x<3,x>1,>=200,1<=X<4,1
287,'no credits/all paid','new car','>=1000','co applicant','real estate',bank,'for free',high qualif/self emp/mgmt,none,yes,'male,div/dep/mar',21<x<38,276<x<4813,x<1,2<x<3,47<x<61,x>3,x>1,'no checking','<1',0
288,delayed previously,domestic appliance,'no known savings',co applicant,life insurance,bank,'for free','unskilled resident',yes,no,'male,div/dep/mar',38<x<55,276<x<4813,x<1,x<1,33<x<47,2<x<3,x<1,'0<=X<200','1<=X<4',1
289,'critical/other existing credit',repairs,no known savings,co applicant,real estate,bank,for free,skilled,yes,no,male,div/dep/mar,x>55,276<x<4813,2<x<3,x<1,47<x<61,x>3,x<1,'0<=X<200','<1',1
290,existing paid,domestic appliance,'100<=X<500',none,life insurance,stores,rent,unskilled resident,yes,yes,male,div/sep,x>55,4813<x<9350,x>3,x>3,47<x<61,2<x<3,x>1,0<=X<200,4<=X<7,0
291,'all paid',business,<100,co applicant,'no known property',bank,'for free','unemp/unskilled non res',yes,no,female,div/sep',38<x<55,276<x<4813,x>3,x>3,x>61,x>3,x<1,>=200,'<1',0
292,'no credits/all paid',radio/tv,'<100',guarantor,car,stores,for free,'high qualif/self emp/mgmt',yes,yes,male,div/dep/mar',4<x<21,276<x<4813,2<x<3,x<1,33<x<47,x<1,x>1,no checking,>=7,1
293,all paid,'used car',no known savings,guarantor,life insurance,none,rent,unemp/unskilled non res,none,yes,'male,mar/wid',4<x<21,276<x<4813,x>3,1<x<2,33<x<47,1<x<2,x<1,>=200,<1,1
294,'delayed previously',domestic appliance,>=1000,guarantor,'no known property',none,own,high qualif/self emp/mgmt,yes,no,'male,div/dep/mar,21<x<38,276<x<4813,2<x<3,2<x<3,19<x<33,x<1,x>1,<0,'>=7',1
295,delayed previously,'domestic appliance',500<=X<1000,co applicant,car,bank,own,'unemp/unskilled non res',none,yes,female,single',38<x<55,276<x<4813,1<x<2,1<x<2,47<x<61,x<1,x<1,'no checking',<1,0
296,'no credits/all paid','new car',<100,none,real estate,bank,'for free',skilled,none,yes,female,single',38<x<55,276<x<4813,2<x<3,x>3,x>61,x>3,x>1,<0,'1<=X<4',1
297,'existing paid',used car,'500<=X<1000','co applicant',real estate,bank,for free,'high qualif/self emp/mgmt',yes,no,male,single',38<x<55,4813<x<9350,1<x<2,x>3,47<x<61,2<x<3,x>1,'>=200','1<=X<4',1
298,existing paid,domestic appliance,>=1000,guarantor,'life insurance',none,for free,'unemp/unskilled non res',none,no,male,div/dep/mar',4<x<21,276<x<4813,x<1,x<1,33<x<47,2<x<3,x>1,'>=200','4<=X<7',1
299,critical/other existing credit,domestic appliance,<100,co applicant,'no known property',none,own,high qualif/self emp/mgmt,none,no,female,div/dep/mar,4<x<21,276<x<4813,x>3,1<x<2,47<x<61,x>3,x<1,'>=200','1<=X<4',0
300,'no credits/all paid',retraining,'>=1000','co applicant','real estate',none,rent,unemp/unskilled non res,yes,no,'male,mar/wid',4<x<21,276<x<4813,2<x<3,1<x<2,19<x<33,x<1,x<1,no checking,'1<=X<4',1
301,existing paid,retraining,500<=X<1000,guarantor,no known property,stores,'for free',high qualif/self emp/mgmt,yes,yes,female,div/dep/mar',4<x<21,276<x<4813,2<x<3,x<1,x>61,x>3,x>1,'<0',1<=X<4,1
302,'no credits/all paid',other,'>=1000',none,'no known property',stores,'for free',skilled,none,no,'female,div/dep/mar,4<x<21,276<x<4813,1<x<2,x<1,47<x<61,1<x<2,x>1,'>=200',unemployed,1
303,'delayed previously',domestic appliance,'>=1000',none,car,bank,own,'high qualif/self emp/mgmt',none,no,male,div/dep/mar',21<x<38,276<x<4813,x<1,1<x<2,19<x<33,x<1,x<1,'0<=X<200',<1,0
304,'critical/other existing credit',domestic appliance,100<=X<500,'co applicant','no known property',stores,for free,unemp/unskilled non res,yes,yes,'male,single',38<x<55,276<x<4813,2<x<3,x>3,19<x<33,x<1,x>1,'>=200',4<=X<7,1
305,'all paid',domestic appliance,'100<=X<500',guarantor,real estate,bank,rent,'unemp/unskilled non res',yes,no,male,single,21<x<38,276<x<4813,1<x<2,x<1,47<x<61,x<1,x>1,0<=X<200,>=7,1
306,'delayed previously',education,no known savings,'co applicant',life insurance,bank,'for free','high qualif/self emp/mgmt',none,no,female,div/sep,38<x<55,276<x<4813,x>3,2<x<3,19<x<33,1<x<2,x>1,no checking,4<=X<7,1
307,'existing paid',radio/tv,100<=X<500,guarantor,'no known property',bank,for free,'unskilled resident',yes,yes,male,single,x>55,4813<x<9350,1<x<2,x<1,47<x<61,1<x<2,x<1,'>=200','1<=X<4',0
308,delayed previously,retraining,'100<=X<500',co applicant,no known property,none,rent,'unskilled resident',none,no,'male,div/sep',4<x<21,276<x<4813,2<x<3,1<x<2,33<x<47,2<x<3,x<1,<0,>=7,1
309,'delayed previously','new car','500<=X<1000',guarantor,car,stores,'for free','high qualif/self emp/mgmt',none,no,female,single,38<x<55,276<x<4813,x<1,1<x<2,47<x<61,2<x<3,x>1,>=200,<1,1
310,all paid,used car,'500<=X<1000','co applicant',real estate,bank,for free,skilled,none,no,'male,div/sep',4<x<21,276<x<4813,x<1,x<1,33<x<47,2<x<3,x<1,'<0',1<=X<4,1
311,critical/other existing credit,furniture/equipment,>=1000,guarantor,'life insurance',none,own,'high qualif/self emp/mgmt',yes,no,female,div/sep',21<x<38,276<x<4813,2<x<3,x>3,47<x<61,x<1,x<1,'no checking','>=7',1
312,no credits/all paid,domestic appliance,'100<=X<500',guarantor,car,none,rent,'unskilled resident',none,no,male,single',38<x<55,276<x<4813,1<x<2,2<x<3,x>61,1<x<2,x>1,'no checking',4<=X<7,0
313,no credits/all paid,business,'100<=X<500','co applicant','life insurance',stores,'for free',unskilled resident,yes,yes,'male,mar/wid',4<x<21,4813<x<9350,1<x<2,x<1,19<x<33,x>3,x>1,no checking,>=7,0
314,critical/other existing credit,domestic appliance,500<=X<1000,co applicant,'no known property',stores,own,'unskilled resident',yes,yes,'female,single,4<x<21,276<x<4813,1<x<2,1<x<2,47<x<61,2<x<3,x<1,no checking,<1,1
315,no credits/all paid,other,'>=1000','co applicant','life insurance',bank,own,'high qualif/self emp/mgmt',yes,yes,'female,single,21<x<38,276<x<4813,2<x<3,2<x<3,33<x<47,1<x<2,x<1,0<=X<200,4<=X<7,0
316,existing paid,repairs,'100<=X<500','co applicant','no known property',bank,for free,unemp/unskilled non res,yes,yes,'female,div/dep/mar,4<x<21,276<x<4813,1<x<2,2<x<3,19<x<33,1<x<2,x>1,'0<=X<200',4<=X<7,0
317,'existing paid','used car','no known savings','co applicant',real estate,bank,'for free',unskilled resident,none,yes,'female,mar/wid,38<x<55,276<x<4813,x<1,2<x<3,x>61,2<x<3,x>1,'>=200',4<=X<7,1
318,'no credits/all paid',new car,'100<=X<500',co applicant,real estate,stores,rent,high qualif/self emp/mgmt,none,no,female,div/sep',21<x<38,276<x<4813,x<1,1<x<2,19<x<33,x>3,x<1,>=200,1<=X<4,0
319,'delayed previously',radio/tv,'100<=X<500','co applicant',no known property,none,own,skilled,yes,yes,'female,single',4<x<21,9350<x<13887,x<1,x<1,47<x<61,2<x<3,x<1,'<0','1<=X<4',1
320,'existing paid',furniture/equipment,'>=1000','co applicant',real estate,stores,'for free','unemp/unskilled non res',none,yes,female,div/sep',4<x<21,276<x<4813,2<x<3,1<x<2,33<x<47,x>3,x>1,<0,1<=X<4,1
321,critical/other existing credit,new car,>=1000,co applicant,no known property,stores,rent,high qualif/self emp/mgmt,none,no,female,single,21<x<38,276<x<4813,x>3,1<x<2,x>61,1<x<2,x>1,<0,'>=7',1
322,no credits/all paid,'domestic appliance',500<=X<1000,'co applicant',no known property,none,'for free',unskilled resident,none,no,male,single,21<x<38,276<x<4813,x>3,x>3,x>61,2<x<3,x>1,<0,'<1',0
323,no credits/all paid,'domestic appliance',100<=X<500,'co applicant','life insurance',bank,'for free','unskilled resident',none,yes,male,div/dep/mar',38<x<55,4813<x<9350,x>3,x<1,19<x<33,1<x<2,x>1,>=200,1<=X<4,0
324,'all paid',other,no known savings,guarantor,no known property,bank,for free,skilled,yes,yes,'male,mar/wid,21<x<38,276<x<4813,x<1,x<1,19<x<33,1<x<2,x>1,>=200,'1<=X<4',1
325,critical/other existing credit,retraining,100<=X<500,co applicant,real estate,none,own,'unskilled resident',none,yes,female,single,4<x<21,276<x<4813,x<1,2<x<3,33<x<47,2<x<3,x>1,no checking,'4<=X<7',1
326,'all paid',education,'<100',co applicant,'life insurance',bank,for free,'unskilled resident',yes,no,female,div/dep/mar',21<x<38,276<x<4813,x<1,x>3,47<x<61,x<1,x>1,no checking,1<=X<4,1
327,'all paid',new car,'500<=X<1000','co applicant',real estate,none,rent,'unemp/unskilled non res',yes,no,female,mar/wid,38<x<55,276<x<4813,x<1,2<x<3,19<x<33,2<x<3,x>1,'<0',4<=X<7,1
328,critical/other existing credit,retraining,'100<=X<500',co applicant,real estate,none,'for free','unemp/unskilled non res',none,yes,'female,mar/wid,38<x<55,4813<x<9350,2<x<3,2<x<3,19<x<33,x<1,x<1,'<0','1<=X<4',0
329,no credits/all paid,domestic appliance,100<=X<500,'co applicant',no known property,none,rent,'unskilled resident',none,yes,female,single,38<x<55,276<x<4813,x<1,x<1,19<x<33,2<x<3,x<1,'>=200',4<=X<7,0
330,'no credits/all paid',used car,'500<=X<1000',none,life insurance,stores,own,'unemp/unskilled non res',none,yes,female,single,4<x<21,4813<x<9350,2<x<3,x<1,47<x<61,1<x<2,x<1,'0<=X<200','1<=X<4',1
331,delayed previously,retraining,'>=1000','co applicant','no known property',stores,'for free','high qualif/self emp/mgmt',yes,yes,'male,div/dep/mar',38<x<55,276<x<4813,1<x<2,x>3,33<x<47,x<1,x<1,>=200,'<1',0
332,'existing paid',education,500<=X<1000,co applicant,'real estate',bank,for free,high qualif/self emp/mgmt,yes,no,female,div/dep/mar',4<x<21,276<x<4813,1<x<2,x<1,x>61,x<1,x>1,'no checking',>=7,1
333,critical/other existing credit,retraining,'>=1000',none,no known property,none,for free,high qualif/self emp/mgmt,none,no,female,div/dep/mar,38<x<55,276<x<4813,x>3,2<x<3,33<x<47,2<x<3,x<1,'0<=X<200','>=7',0
334,delayed previously,'new car',no known savings,none,real estate,bank,own,'unskilled resident',none,no,female,single',21<x<38,276<x<4813,x<1,1<x<2,47<x<61,x>3,x>1,<0,>=7,1
335,all paid,retraining,500<=X<1000,co applicant,'no known property',bank,for free,skilled,yes,no,'male,single',38<x<55,276<x<4813,x<1,1<x<2,47<x<61,x<1,x>1,no checking,'1<=X<4',1
336,no credits/all paid,other,<100,guarantor,real estate,stores,for free,'high qualif/self emp/mgmt',yes,no,female,single,21<x<38,4813<x<9350,x<1,x<1,19<x<33,2<x<3,x<1,<0,4<=X<7,1
337,'existing paid',used car,'<100',guarantor,'real estate',bank,rent,high qualif/self emp/mgmt,yes,yes,male,div/sep',21<x<38,276<x<4813,x<1,2<x<3,47<x<61,1<x<2,x>1,>=200,'1<=X<4',1
338,'critical/other existing credit','new car',100<=X<500,guarantor,'no known property',stores,'for free',skilled,none,no,female,single',4<x<21,276<x<4813,2<x<3,x>3,33<x<47,x>3,x<1,no checking,'<1',1
339,critical/other existing credit,'used car',100<=X<500,none,'life insurance',bank,rent,'unskilled resident',none,yes,female,div/dep/mar',4<x<21,276<x<4813,1<x<2,x>3,19<x<33,x>3,x>1,'<0','>=7',0
340,critical/other existing credit,repairs,500<=X<1000,none,car,stores,for free,high qualif/self emp/mgmt,yes,yes,'female,single,21<x<38,276<x<4813,2<x<3,x<1,19<x<33,x>3,x<1,<0,1<=X<4,1
341,all paid,retraining,no known savings,guarantor,life insurance,stores,own,'unskilled resident',none,yes,male,div/sep',38<x<55,4813<x<9350,2<x<3,x<1,33<x<47,x<1,x>1,>=200,'>=7',1
342,critical/other existing credit,domestic appliance,>=1000,co applicant,'life insurance',bank,rent,'unemp/unskilled non res',yes,no,female,mar/wid,38<x<55,276<x<4813,x<1,1<x<2,47<x<61,1<x<2,x<1,no checking,<1,1
343,'critical/other existing credit','domestic appliance','no known savings',guarantor,life insurance,bank,for free,'unemp/unskilled non res',none,yes,female,single,4<x<21,276<x<4813,x<1,1<x<2,19<x<33,x<1,x<1,0<=X<200,unemployed,1
344,all paid,'domestic appliance','500<=X<1000',co applicant,real estate,stores,rent,unemp/unskilled non res,none,yes,'female,mar/wid,4<x<21,276<x<4813,x>3,x<1,19<x<33,1<x<2,x<1,no checking,'>=7',1
345,'no credits/all paid',used car,<100,none,car,bank,own,'high qualif/self emp/mgmt',yes,yes,female,div/sep',38<x<55,276<x<4813,1<x<2,1<x<2,33<x<47,1<x<2,x<1,>=200,unemployed,1
346,all paid,used car,500<=X<1000,'co applicant',life insurance,bank,'for free','unskilled resident',none,yes,female,div/sep',38<x<55,276<x<4813,1<x<2,x>3,19<x<33,x>3,x<1,'0<=X<200',unemployed,0
347,no credits/all paid,'used car','no known savings','co applicant',no known property,none,rent,unemp/unskilled non res,yes,no,'male,single',4<x<21,276<x<4813,x>3,x<1,47<x<61,x<1,x>1,'no checking','4<=X<7',1
348,no credits/all paid,used car,<100,none,car,stores,'for free',skilled,yes,yes,'female,div/dep/mar',4<x<21,276<x<4813,x>3,x>3,47<x<61,x>3,x<1,0<=X<200,>=7,1
349,critical/other existing credit,radio/tv,'>=1000',co applicant,no known property,bank,own,high qualif/self emp/mgmt,none,yes,'female,single',4<x<21,276<x<4813,x>3,x<1,33<x<47,1<x<2,x<1,'<0','4<=X<7',1
350,critical/other existing credit,radio/tv,'100<=X<500','co applicant',real estate,stores,'for free',unskilled resident,yes,yes,'female,single,x<4,276<x<4813,1<x<2,x>3,x>61,2<x<3,x>1,>=200,>=7,1
351,existing paid,retraining,<100,co applicant,'no known property',bank,'for free',unemp/unskilled non res,yes,yes,'male,mar/wid',x>55,9350<x<13887,x>3,2<x<3,19<x<33,x>3,x<1,0<=X<200,'<1',0
352,'existing paid','domestic appliance',100<=X<500,co applicant,'real estate',bank,rent,high qualif/self emp/mgmt,none,yes,'male,mar/wid',21<x<38,276<x<4813,x<1,2<x<3,19<x<33,x>3,x<1,'<0','>=7',1
353,'critical/other existing credit',radio/tv,500<=X<1000,none,'life insurance',bank,'for free','unskilled resident',none,no,'male,single',4<x<21,4813<x<9350,1<x<2,x>3,x>61,x>3,x>1,'<0',>=7,1
354,delayed previously,used car,500<=X<1000,co applicant,car,bank,for free,'unemp/unskilled non res',yes,no,'female,div/sep,4<x<21,276<x<4813,x<1,x<1,47<x<61,x<1,x>1,no checking,'>=7',1
355,delayed previously,furniture/equipment,'500<=X<1000','co applicant','real estate',bank,for free,unskilled resident,none,yes,female,div/dep/mar,38<x<55,276<x<4813,x<1,x<1,19<x<33,2<x<3,x>1,'<0','4<=X<7',0
356,'existing paid',other,'<100',none,real estate,none,rent,high qualif/self emp/mgmt,none,yes,'male,div/sep,38<x<55,276<x<4813,x>3,1<x<2,47<x<61,2<x<3,x<1,'0<=X<200',unemployed,0
357,existing paid,'domestic appliance',no known savings,'co applicant',life insurance,none,'for free',unemp/unskilled non res,none,yes,'female,div/dep/mar,4<x<21,276<x<4813,x>3,1<x<2,47<x<61,x<1,x>1,0<=X<200,<1,0
358,all paid,domestic appliance,'>=1000',none,car,bank,rent,skilled,none,no,'male,div/sep,4<x<21,276<x<4813,x>3,x>3,x>61,x>3,x<1,0<=X<200,unemployed,0
359,'all paid',education,'100<=X<500','co applicant','life insurance',none,'for free','unemp/unskilled non res',yes,yes,'male,single,38<x<55,276<x<4813,x<1,2<x<3,19<x<33,2<x<3,x>1,>=200,'>=7',1
360,'existing paid',retraining,no known savings,'co applicant',life insurance,bank,'for free',skilled,none,yes,female,div/dep/mar',21<x<38,276<x<4813,2<x<3,x<1,47<x<61,x>3,x<1,no checking,'<1',1
361,delayed previously,other,'100<=X<500',guarantor,'no known property',stores,for free,unskilled resident,none,no,'female,div/sep',21<x<38,276<x<4813,x>3,1<x<2,47<x<61,x>3,x>1,0<=X<200,<1,1
362,'no credits/all paid',business,'>=1000',guarantor,'life insurance',stores,for free,unskilled resident,yes,no,'male,mar/wid',4<x<21,276<x<4813,x<1,x<1,19<x<33,2<x<3,x>1,0<=X<200,1<=X<4,1
363,no credits/all paid,'used car',500<=X<1000,'co applicant',life insurance,bank,'for free',unskilled resident,none,yes,'male,single,4<x<21,276<x<4813,x<1,x>3,19<x<33,2<x<3,x>1,'0<=X<200',4<=X<7,1
364,'all paid',furniture/equipment,'100<=X<500','co applicant',real estate,stores,for free,'unemp/unskilled non res',yes,no,male,mar/wid,38<x<55,276<x<4813,x<1,x<1,x>61,x<1,x<1,'0<=X<200',unemployed,1
365,'all paid',repairs,>=1000,co applicant,'life insurance',none,rent,'high qualif/self emp/mgmt',none,yes,male,div/dep/mar',38<x<55,276<x<4813,2<x<3,x<1,x>61,x<1,x<1,'<0','>=7',1
