id,job,marital,education,default,housing,loan,contact,month,day_of_week,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,nr.employed,age,duration,campaign,pdays,previous,euribor3m,class
133,blue-collar,divorced,illiterate,no,yes,yes,telephone,may,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,x<1,x<0,1<x<3,x>3.634,no
134,entrepreneur,single,basic.4y,no,yes,no,telephone,jul,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,1<x<14,x<0,1<x<3,0.634<x<1.634,no
135,entrepreneur,divorced,professional.course,no,no,no,cellular,oct,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,0<x<1229,x<1,x<0,0<x<1,0.634<x<1.634,no
136,self-employed,married,high.school,no,yes,yes,telephone,jul,fri,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,1<x<14,x<0,3<x<5,x>3.634,no
137,self-employed,divorced,professional.course,no,yes,yes,telephone,jul,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,1229<x<2459,1<x<14,0<x<249,0<x<1,0.634<x<1.634,no
138,blue-collar,divorced,university.degree,no,no,yes,cellular,may,fri,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,1229<x<2459,x<1,x<0,1<x<3,0.634<x<1.634,no
139,technician,divorced,high.school,no,no,no,cellular,sep,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,1<x<14,x<0,x<0,1.634<x<2.634,no
140,blue-collar,divorced,basic.4y,no,yes,yes,telephone,nov,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,x<0,x<1,0<x<249,1<x<3,1.634<x<2.634,no
141,housemaid,single,basic.6y,no,no,no,cellular,may,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,x<1,x<0,0<x<1,0.634<x<1.634,no
142,management,married,basic.9y,no,no,no,cellular,dec,mon,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,1<x<14,x>749,0<x<1,1.634<x<2.634,no
143,services,married,professional.course,no,yes,no,telephone,nov,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,1229<x<2459,1<x<14,x<0,x<0,x>3.634,no
144,technician,divorced,high.school,no,yes,no,cellular,sep,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,x<1,x<0,0<x<1,x>3.634,no
145,blue-collar,divorced,professional.course,no,no,yes,telephone,aug,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,1229<x<2459,1<x<14,0<x<249,1<x<3,x>3.634,no
146,self-employed,single,basic.6y,no,yes,no,telephone,jun,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,0<x<1229,1<x<14,x>749,x<0,0.634<x<1.634,no
147,admin.,married,basic.9y,no,no,no,cellular,dec,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,2459<x<3688,1<x<14,0<x<249,3<x<5,1.634<x<2.634,no
148,services,single,basic.6y,no,no,yes,cellular,apr,mon,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,1229<x<2459,x<1,x>749,x<0,x>3.634,no
149,management,single,basic.4y,no,yes,no,cellular,aug,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,x<1,x<0,x<0,1.634<x<2.634,no
150,unemployed,married,basic.4y,no,yes,yes,telephone,nov,mon,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,1<x<14,x>749,0<x<1,x>3.634,no
151,entrepreneur,single,professional.course,no,yes,yes,telephone,may,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,1229<x<2459,1<x<14,0<x<249,0<x<1,0.634<x<1.634,no
152,retired,single,professional.course,no,yes,yes,cellular,jul,mon,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,1<x<14,0<x<249,0<x<1,x>3.634,no
153,blue-collar,divorced,illiterate,no,yes,yes,cellular,jun,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,x<1,x>749,x<0,0.634<x<1.634,no
154,admin.,married,professional.course,no,no,no,telephone,mar,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,x<1,0<x<249,x<0,0.634<x<1.634,no
155,entrepreneur,single,basic.4y,no,no,no,telephone,apr,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,0<x<1229,1<x<14,0<x<249,x<0,1.634<x<2.634,no
156,student,single,basic.6y,no,no,no,cellular,nov,tue,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,x<0,x<1,x<0,0<x<1,x>3.634,no
157,entrepreneur,married,basic.4y,no,no,no,cellular,nov,mon,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,2459<x<3688,1<x<14,x<0,3<x<5,1.634<x<2.634,no
158,blue-collar,single,high.school,no,no,no,telephone,jul,tue,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,0<x<1229,x<1,x<0,x<0,1.634<x<2.634,no
159,services,divorced,university.degree,no,no,no,cellular,aug,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,1229<x<2459,1<x<14,0<x<249,3<x<5,0.634<x<1.634,no
160,services,single,basic.6y,no,yes,no,cellular,jun,fri,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,0<x<1229,x<1,x<0,3<x<5,x>3.634,no
161,self-employed,single,professional.course,no,yes,no,cellular,may,tue,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,0<x<1229,x<1,x<0,3<x<5,x>3.634,no
162,unemployed,single,basic.9y,no,no,no,cellular,aug,wed,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,1229<x<2459,x<1,0<x<249,x<0,1.634<x<2.634,no
163,admin.,divorced,illiterate,no,yes,yes,cellular,jun,tue,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,1229<x<2459,1<x<14,0<x<249,0<x<1,1.634<x<2.634,no
164,student,single,basic.6y,no,no,no,cellular,aug,mon,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,1<x<14,x>749,x<0,0.634<x<1.634,no
165,student,single,professional.course,no,yes,no,cellular,oct,fri,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,2459<x<3688,x<1,0<x<249,1<x<3,0.634<x<1.634,no
166,blue-collar,divorced,basic.6y,no,no,yes,cellular,sep,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,x<1,x>749,1<x<3,x>3.634,no
167,services,single,basic.9y,no,no,yes,telephone,aug,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,x<0,1<x<14,0<x<249,3<x<5,1.634<x<2.634,no
168,admin.,married,basic.9y,no,yes,no,telephone,nov,mon,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,x<0,x<1,x<0,3<x<5,1.634<x<2.634,no
169,self-employed,divorced,high.school,no,yes,no,cellular,aug,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,x<0,1<x<14,0<x<249,0<x<1,0.634<x<1.634,no
170,retired,single,basic.9y,no,yes,no,telephone,jul,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,x<1,x>749,1<x<3,x>3.634,yes
171,retired,single,basic.6y,no,no,no,telephone,aug,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,1229<x<2459,x<1,0<x<249,0<x<1,0.634<x<1.634,no
172,self-employed,married,basic.4y,no,no,no,cellular,dec,tue,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,x<0,x<1,0<x<249,1<x<3,0.634<x<1.634,no
173,student,married,basic.4y,no,no,no,cellular,mar,wed,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,1229<x<2459,x<1,0<x<249,0<x<1,x>3.634,no
174,housemaid,divorced,basic.4y,no,no,yes,telephone,sep,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,2459<x<3688,1<x<14,x<0,1<x<3,1.634<x<2.634,no
175,services,single,basic.4y,no,no,yes,cellular,dec,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,0<x<1229,1<x<14,0<x<249,1<x<3,0.634<x<1.634,no
176,technician,married,university.degree,no,no,no,telephone,oct,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,2459<x<3688,1<x<14,x>749,x<0,x>3.634,no
177,entrepreneur,single,basic.4y,no,yes,no,telephone,jul,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,1<x<14,x<0,3<x<5,1.634<x<2.634,no
178,unemployed,single,basic.6y,no,yes,yes,telephone,sep,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,2459<x<3688,1<x<14,x>749,x<0,1.634<x<2.634,no
179,admin.,single,basic.4y,no,yes,yes,telephone,oct,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,x<1,0<x<249,0<x<1,x>3.634,no
180,self-employed,married,professional.course,no,yes,yes,cellular,jul,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,x<1,x<0,3<x<5,x>3.634,yes
181,student,married,illiterate,no,no,yes,telephone,sep,tue,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,0<x<1229,x<1,0<x<249,3<x<5,1.634<x<2.634,no
182,services,divorced,basic.9y,no,yes,no,cellular,oct,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,x<0,x<1,0<x<249,3<x<5,x>3.634,no
183,technician,single,basic.9y,no,no,no,telephone,aug,mon,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,1229<x<2459,1<x<14,0<x<249,x<0,x>3.634,no
184,admin.,divorced,illiterate,no,no,no,telephone,apr,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,x<0,x<1,x<0,3<x<5,0.634<x<1.634,no
185,blue-collar,married,professional.course,no,yes,no,cellular,sep,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,1<x<14,0<x<249,0<x<1,x>3.634,no
186,retired,divorced,university.degree,no,no,yes,cellular,jul,wed,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,0<x<1229,x<1,0<x<249,x<0,x>3.634,no
187,student,married,university.degree,no,no,yes,cellular,dec,wed,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,2459<x<3688,1<x<14,x<0,0<x<1,0.634<x<1.634,no
188,housemaid,single,university.degree,no,no,yes,telephone,may,wed,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,0<x<1229,1<x<14,x<0,x<0,0.634<x<1.634,no
189,admin.,married,basic.9y,no,no,yes,cellular,oct,mon,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,x<1,x<0,0<x<1,1.634<x<2.634,no
190,self-employed,single,illiterate,no,yes,yes,cellular,nov,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,x<1,x>749,x<0,x>3.634,no
191,technician,divorced,professional.course,no,no,yes,telephone,jun,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,0<x<1229,x<1,0<x<249,x<0,1.634<x<2.634,no
192,blue-collar,divorced,basic.6y,no,no,no,cellular,jul,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,x<0,1<x<14,x>749,x<0,x>3.634,no
193,retired,married,basic.9y,no,yes,no,cellular,aug,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,1<x<14,x>749,1<x<3,1.634<x<2.634,yes
194,housemaid,single,basic.4y,no,yes,no,cellular,apr,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,x<1,0<x<249,1<x<3,x>3.634,no
195,management,divorced,university.degree,no,yes,yes,telephone,aug,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,1229<x<2459,x<1,x<0,0<x<1,0.634<x<1.634,no
196,management,single,basic.9y,no,no,yes,cellular,sep,tue,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,1229<x<2459,1<x<14,x<0,1<x<3,0.634<x<1.634,no
197,student,married,university.degree,no,no,no,cellular,jul,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,1<x<14,x>749,0<x<1,0.634<x<1.634,no
198,housemaid,divorced,basic.6y,no,yes,yes,cellular,jul,mon,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,2459<x<3688,1<x<14,x<0,0<x<1,1.634<x<2.634,no
199,services,single,basic.4y,no,yes,no,cellular,oct,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,0<x<1229,1<x<14,x<0,1<x<3,0.634<x<1.634,no
200,retired,married,high.school,no,yes,no,cellular,apr,wed,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,1<x<14,x<0,x<0,x>3.634,no
201,housemaid,married,illiterate,no,no,yes,cellular,jul,mon,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,x<0,x<1,0<x<249,x<0,x>3.634,no
202,management,married,basic.4y,no,yes,yes,telephone,dec,wed,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,0<x<1229,1<x<14,x<0,3<x<5,x>3.634,no
203,unemployed,divorced,professional.course,no,no,yes,telephone,aug,wed,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,x<0,1<x<14,0<x<249,0<x<1,x>3.634,no
204,blue-collar,divorced,university.degree,no,yes,no,cellular,nov,fri,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,0<x<1229,x<1,x>749,0<x<1,0.634<x<1.634,no
205,technician,divorced,basic.6y,no,no,no,telephone,dec,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,x<0,x<1,x>749,3<x<5,1.634<x<2.634,no
206,management,married,professional.course,no,no,yes,cellular,mar,mon,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,1<x<14,0<x<249,0<x<1,1.634<x<2.634,no
207,self-employed,married,basic.6y,no,no,no,cellular,apr,wed,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,0<x<1229,x<1,0<x<249,x<0,1.634<x<2.634,no
208,blue-collar,married,illiterate,no,no,no,telephone,nov,wed,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,1229<x<2459,1<x<14,0<x<249,1<x<3,1.634<x<2.634,no
209,technician,married,basic.4y,no,no,yes,telephone,apr,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,2459<x<3688,1<x<14,0<x<249,x<0,x>3.634,no
210,blue-collar,single,professional.course,no,yes,yes,telephone,aug,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,x<1,0<x<249,0<x<1,1.634<x<2.634,no
211,technician,divorced,basic.4y,no,yes,yes,cellular,apr,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,1229<x<2459,x<1,x<0,0<x<1,1.634<x<2.634,no
212,unemployed,single,basic.6y,no,no,no,telephone,jun,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,1229<x<2459,1<x<14,x>749,1<x<3,x>3.634,no
213,management,married,high.school,no,yes,no,telephone,jun,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,1229<x<2459,1<x<14,x<0,1<x<3,x>3.634,no
214,management,married,university.degree,no,yes,no,cellular,nov,mon,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,0<x<1229,1<x<14,x<0,1<x<3,1.634<x<2.634,no
215,management,divorced,illiterate,no,yes,no,cellular,jul,tue,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,x<1,x<0,1<x<3,1.634<x<2.634,no
216,housemaid,single,high.school,no,yes,yes,telephone,jun,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,x<1,x>749,0<x<1,0.634<x<1.634,yes
217,retired,divorced,basic.4y,no,yes,no,telephone,jun,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,0<x<1229,1<x<14,x>749,3<x<5,1.634<x<2.634,no
218,blue-collar,single,basic.6y,no,yes,no,cellular,jul,wed,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,x<1,0<x<249,x<0,x>3.634,no
219,student,divorced,illiterate,no,yes,no,cellular,sep,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,x<1,0<x<249,3<x<5,x>3.634,no
220,housemaid,married,professional.course,no,no,yes,cellular,jun,mon,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,1<x<14,x>749,0<x<1,0.634<x<1.634,no
221,entrepreneur,single,professional.course,no,no,yes,telephone,mar,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,x<0,x<1,x<0,0<x<1,1.634<x<2.634,no
222,entrepreneur,single,illiterate,no,no,yes,cellular,mar,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,2459<x<3688,x<1,x<0,3<x<5,x>3.634,no
223,retired,single,basic.4y,no,no,yes,telephone,apr,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,1<x<14,x>749,0<x<1,x>3.634,no
224,technician,single,basic.9y,no,yes,no,telephone,dec,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,x<0,x<1,0<x<249,1<x<3,0.634<x<1.634,no
225,admin.,single,university.degree,no,no,yes,telephone,mar,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,x<0,x<1,0<x<249,1<x<3,x>3.634,no
226,services,married,professional.course,no,no,yes,telephone,sep,mon,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,1229<x<2459,1<x<14,x<0,3<x<5,0.634<x<1.634,no
227,self-employed,married,high.school,no,yes,no,telephone,dec,mon,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,x<1,0<x<249,3<x<5,x>3.634,yes
228,entrepreneur,married,high.school,no,yes,yes,cellular,may,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,x<1,x<0,1<x<3,0.634<x<1.634,no
229,technician,married,basic.4y,no,yes,yes,telephone,sep,tue,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,1<x<14,0<x<249,0<x<1,0.634<x<1.634,no
230,entrepreneur,single,basic.9y,no,yes,no,telephone,mar,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,1229<x<2459,1<x<14,x<0,0<x<1,x>3.634,no
231,blue-collar,married,university.degree,no,yes,yes,cellular,aug,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,1229<x<2459,1<x<14,0<x<249,x<0,0.634<x<1.634,no
232,housemaid,divorced,basic.9y,no,no,yes,cellular,apr,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,x<0,x<1,x>749,0<x<1,1.634<x<2.634,no
233,blue-collar,divorced,university.degree,no,no,yes,cellular,nov,fri,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,0<x<1229,1<x<14,0<x<249,3<x<5,x>3.634,no
234,housemaid,married,high.school,no,no,yes,telephone,nov,wed,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,x<1,x>749,1<x<3,x>3.634,no
235,entrepreneur,single,basic.4y,no,yes,no,telephone,aug,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,0<x<1229,x<1,x<0,0<x<1,x>3.634,no
236,self-employed,single,professional.course,no,yes,no,telephone,oct,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,0<x<1229,1<x<14,x<0,0<x<1,0.634<x<1.634,no
237,housemaid,married,basic.4y,no,yes,yes,cellular,oct,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,x<1,x>749,0<x<1,1.634<x<2.634,no
238,student,married,university.degree,no,yes,yes,cellular,jul,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,x<1,0<x<249,1<x<3,1.634<x<2.634,yes
239,services,single,professional.course,no,yes,yes,cellular,apr,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,x<1,0<x<249,1<x<3,x>3.634,no
240,self-employed,married,basic.6y,no,no,yes,telephone,may,mon,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,0<x<1229,1<x<14,0<x<249,0<x<1,x>3.634,no
241,unemployed,divorced,basic.4y,no,yes,yes,telephone,may,wed,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,1229<x<2459,x<1,x>749,1<x<3,x>3.634,no
242,self-employed,married,basic.4y,no,no,yes,cellular,mar,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,1229<x<2459,x<1,x>749,1<x<3,1.634<x<2.634,no
243,self-employed,single,high.school,no,yes,no,telephone,nov,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,2459<x<3688,1<x<14,0<x<249,3<x<5,0.634<x<1.634,no
244,housemaid,divorced,basic.6y,no,no,no,telephone,sep,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,1229<x<2459,1<x<14,x<0,1<x<3,x>3.634,no
245,self-employed,divorced,university.degree,no,yes,no,cellular,jul,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,1229<x<2459,1<x<14,x<0,0<x<1,0.634<x<1.634,no
246,technician,single,professional.course,no,no,yes,cellular,aug,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,1229<x<2459,x<1,0<x<249,1<x<3,0.634<x<1.634,no
247,blue-collar,divorced,university.degree,no,yes,yes,telephone,mar,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,1<x<14,0<x<249,0<x<1,1.634<x<2.634,yes
248,blue-collar,divorced,basic.6y,no,yes,yes,telephone,aug,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,x<1,x<0,3<x<5,x>3.634,no
249,management,married,illiterate,no,no,yes,cellular,oct,wed,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,1229<x<2459,1<x<14,x<0,1<x<3,0.634<x<1.634,no
250,entrepreneur,divorced,basic.9y,no,no,yes,cellular,jul,mon,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,1<x<14,0<x<249,1<x<3,x>3.634,no
251,student,single,high.school,no,yes,no,cellular,sep,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,1229<x<2459,x<1,x<0,x<0,x>3.634,no
252,blue-collar,single,illiterate,no,no,no,cellular,nov,wed,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,x<0,x<1,0<x<249,3<x<5,x>3.634,no
253,unemployed,divorced,basic.9y,no,yes,yes,cellular,mar,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,1229<x<2459,1<x<14,0<x<249,3<x<5,0.634<x<1.634,no
254,self-employed,single,basic.4y,no,no,no,telephone,jul,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,1<x<14,x>749,3<x<5,0.634<x<1.634,yes
255,housemaid,single,illiterate,no,yes,yes,telephone,jul,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,0<x<1229,1<x<14,x>749,0<x<1,0.634<x<1.634,no
256,management,married,university.degree,no,yes,no,cellular,oct,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,x<1,0<x<249,1<x<3,1.634<x<2.634,no
257,self-employed,married,university.degree,no,yes,no,cellular,may,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,x<1,x>749,3<x<5,0.634<x<1.634,no
258,unemployed,married,basic.6y,no,yes,yes,telephone,jul,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,x<1,x<0,x<0,x>3.634,no
259,technician,divorced,illiterate,no,yes,no,cellular,apr,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,0<x<1229,x<1,x<0,3<x<5,1.634<x<2.634,no
260,unemployed,married,basic.4y,no,yes,no,telephone,jun,wed,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,1229<x<2459,x<1,0<x<249,1<x<3,x>3.634,no
261,retired,single,illiterate,no,yes,no,telephone,nov,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,0<x<1229,1<x<14,x<0,1<x<3,1.634<x<2.634,no
262,retired,divorced,basic.4y,no,no,no,telephone,sep,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,1229<x<2459,1<x<14,x>749,x<0,x>3.634,no
263,self-employed,married,basic.4y,no,yes,yes,cellular,nov,tue,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,1<x<14,x>749,x<0,0.634<x<1.634,no
264,admin.,single,professional.course,no,no,no,cellular,jul,tue,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,1<x<14,x<0,1<x<3,x>3.634,no
265,self-employed,married,illiterate,no,yes,yes,telephone,aug,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,1229<x<2459,1<x<14,0<x<249,1<x<3,0.634<x<1.634,no
