id,job,marital,education,default,housing,loan,contact,month,day_of_week,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,nr.employed,age,duration,campaign,pdays,previous,euribor3m,class
133,self-employed,divorced,basic.4y,no,no,no,telephone,apr,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,1229<x<2459,1<x<14,x>749,1<x<3,0.634<x<1.634,no
134,technician,single,university.degree,no,yes,no,telephone,jun,fri,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,1<x<14,x>749,x<0,0.634<x<1.634,no
135,admin.,married,university.degree,no,no,no,telephone,may,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,1<x<14,x>749,3<x<5,x>3.634,no
136,unemployed,married,basic.6y,no,no,yes,telephone,apr,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,1229<x<2459,1<x<14,x>749,x<0,x>3.634,no
137,self-employed,married,high.school,no,no,no,cellular,oct,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,2459<x<3688,1<x<14,x>749,1<x<3,x>3.634,no
138,entrepreneur,single,basic.4y,no,no,no,telephone,jul,wed,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,1<x<14,x>749,0<x<1,0.634<x<1.634,no
139,retired,divorced,professional.course,no,no,no,cellular,aug,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,1<x<14,x<0,x<0,0.634<x<1.634,yes
140,technician,divorced,basic.9y,no,yes,yes,cellular,nov,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,1<x<14,x>749,3<x<5,x>3.634,no
141,housemaid,single,university.degree,no,no,yes,cellular,aug,wed,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,x<1,0<x<249,0<x<1,x>3.634,no
142,student,married,high.school,no,no,no,telephone,jun,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,x<0,1<x<14,0<x<249,3<x<5,0.634<x<1.634,yes
143,housemaid,single,university.degree,no,yes,yes,cellular,aug,fri,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,1<x<14,0<x<249,x<0,x>3.634,no
144,self-employed,single,university.degree,no,yes,yes,telephone,may,mon,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,x<1,0<x<249,0<x<1,x>3.634,no
145,management,married,basic.6y,no,yes,yes,cellular,oct,mon,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,x<0,1<x<14,0<x<249,3<x<5,x>3.634,no
146,entrepreneur,divorced,basic.9y,no,no,no,telephone,aug,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,0<x<1229,1<x<14,0<x<249,x<0,x>3.634,no
147,blue-collar,single,high.school,no,yes,no,telephone,dec,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,0<x<1229,x<1,x<0,x<0,1.634<x<2.634,yes
148,housemaid,married,basic.4y,no,yes,yes,cellular,oct,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,1<x<14,x>749,3<x<5,x>3.634,no
149,services,married,professional.course,no,yes,no,telephone,dec,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,1<x<14,x<0,1<x<3,x>3.634,no
150,self-employed,married,professional.course,no,no,no,cellular,jun,mon,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,0<x<1229,x<1,x>749,0<x<1,1.634<x<2.634,no
151,technician,divorced,illiterate,no,no,no,cellular,sep,wed,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,1<x<14,0<x<249,0<x<1,x>3.634,no
152,technician,married,basic.4y,no,yes,no,cellular,aug,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,0<x<1229,1<x<14,0<x<249,1<x<3,1.634<x<2.634,yes
153,retired,divorced,illiterate,no,yes,yes,cellular,jul,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,x<0,x<1,x>749,3<x<5,0.634<x<1.634,yes
154,blue-collar,married,high.school,no,yes,yes,cellular,jul,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,x<1,x<0,x<0,1.634<x<2.634,yes
155,services,divorced,professional.course,no,no,yes,cellular,dec,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,x<1,x<0,x<0,1.634<x<2.634,yes
156,services,single,basic.6y,no,yes,no,cellular,sep,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,x<1,x<0,0<x<1,x>3.634,yes
157,entrepreneur,divorced,basic.6y,no,yes,yes,telephone,sep,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,0<x<1229,1<x<14,0<x<249,x<0,1.634<x<2.634,no
158,unemployed,married,basic.6y,no,no,yes,telephone,jun,mon,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,2459<x<3688,x<1,x<0,3<x<5,x>3.634,no
159,housemaid,married,basic.6y,no,no,no,cellular,sep,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,1<x<14,0<x<249,x<0,x>3.634,no
160,services,divorced,university.degree,no,yes,no,telephone,mar,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,1229<x<2459,1<x<14,x>749,3<x<5,x>3.634,no
161,blue-collar,single,professional.course,no,yes,no,cellular,sep,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,x<1,0<x<249,x<0,1.634<x<2.634,yes
162,management,single,professional.course,no,no,yes,telephone,sep,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,1<x<14,x<0,0<x<1,1.634<x<2.634,yes
163,management,married,high.school,no,yes,no,telephone,may,tue,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,2459<x<3688,x<1,x<0,1<x<3,0.634<x<1.634,yes
164,blue-collar,married,professional.course,no,no,yes,cellular,sep,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,0<x<1229,x<1,x>749,0<x<1,0.634<x<1.634,no
165,entrepreneur,single,basic.9y,no,yes,yes,cellular,mar,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,1<x<14,0<x<249,1<x<3,0.634<x<1.634,yes
166,retired,single,high.school,no,yes,yes,telephone,jul,fri,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,1229<x<2459,1<x<14,x<0,0<x<1,0.634<x<1.634,yes
167,blue-collar,single,high.school,no,yes,no,cellular,jun,wed,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,x<0,x<1,x<0,0<x<1,1.634<x<2.634,yes
168,unemployed,divorced,illiterate,no,yes,yes,cellular,sep,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,x<1,x>749,0<x<1,1.634<x<2.634,no
169,technician,married,professional.course,no,yes,no,telephone,jul,mon,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,2459<x<3688,x<1,x<0,x<0,x>3.634,no
170,technician,divorced,basic.6y,no,yes,no,telephone,sep,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,x<0,1<x<14,0<x<249,3<x<5,x>3.634,no
171,technician,single,illiterate,no,yes,yes,telephone,oct,mon,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,0<x<1229,x<1,x>749,3<x<5,0.634<x<1.634,no
172,retired,single,high.school,no,yes,yes,telephone,dec,wed,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,x<1,x>749,0<x<1,0.634<x<1.634,no
173,retired,married,illiterate,no,no,no,telephone,sep,mon,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,1<x<14,x>749,x<0,0.634<x<1.634,no
174,services,single,basic.9y,no,no,no,telephone,dec,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,1<x<14,0<x<249,x<0,x>3.634,no
175,retired,married,basic.6y,no,yes,no,cellular,aug,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,1229<x<2459,x<1,x<0,1<x<3,1.634<x<2.634,yes
176,self-employed,single,professional.course,no,no,yes,telephone,mar,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,1229<x<2459,1<x<14,x<0,1<x<3,1.634<x<2.634,no
177,housemaid,married,basic.9y,no,no,yes,cellular,mar,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,2459<x<3688,1<x<14,x<0,x<0,1.634<x<2.634,yes
178,unemployed,single,basic.4y,no,yes,yes,cellular,dec,mon,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,2459<x<3688,1<x<14,0<x<249,0<x<1,0.634<x<1.634,yes
179,admin.,married,basic.9y,no,yes,no,cellular,apr,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,0<x<1229,1<x<14,x>749,x<0,1.634<x<2.634,no
180,student,divorced,professional.course,no,no,no,cellular,mar,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,x<0,1<x<14,x>749,0<x<1,x>3.634,no
181,technician,married,illiterate,no,no,no,cellular,sep,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,1<x<14,x>749,1<x<3,0.634<x<1.634,yes
182,self-employed,single,basic.6y,no,yes,yes,cellular,sep,wed,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,x<1,0<x<249,0<x<1,0.634<x<1.634,yes
183,management,married,university.degree,no,yes,no,telephone,apr,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,1229<x<2459,x<1,x>749,0<x<1,x>3.634,no
184,unemployed,married,basic.4y,no,no,no,cellular,sep,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,x<1,0<x<249,0<x<1,0.634<x<1.634,yes
185,housemaid,divorced,high.school,no,no,no,cellular,may,fri,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,x<1,x<0,3<x<5,x>3.634,no
186,blue-collar,divorced,basic.6y,no,no,yes,cellular,mar,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,x<0,x<1,x<0,0<x<1,x>3.634,no
187,admin.,single,professional.course,no,no,no,cellular,oct,mon,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,x<1,x>749,1<x<3,1.634<x<2.634,yes
188,student,married,professional.course,no,no,no,cellular,jul,mon,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,1229<x<2459,x<1,x<0,1<x<3,1.634<x<2.634,yes
189,self-employed,married,high.school,no,no,no,cellular,aug,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,0<x<1229,1<x<14,0<x<249,x<0,1.634<x<2.634,yes
190,entrepreneur,single,illiterate,no,no,yes,telephone,aug,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,x<0,x<1,x<0,0<x<1,x>3.634,no
191,housemaid,married,professional.course,no,yes,no,telephone,dec,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,x<0,1<x<14,x>749,1<x<3,x>3.634,no
192,student,single,professional.course,no,no,no,cellular,dec,wed,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,0<x<1229,1<x<14,0<x<249,0<x<1,0.634<x<1.634,yes
193,self-employed,married,university.degree,no,no,no,telephone,apr,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,0<x<1229,1<x<14,x>749,x<0,1.634<x<2.634,no
194,blue-collar,married,professional.course,no,no,yes,telephone,aug,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,0<x<1229,x<1,x>749,0<x<1,1.634<x<2.634,no
195,services,divorced,basic.6y,no,yes,yes,telephone,jul,mon,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,1229<x<2459,1<x<14,0<x<249,x<0,0.634<x<1.634,yes
196,housemaid,single,professional.course,no,yes,no,telephone,may,wed,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,x<1,x>749,3<x<5,x>3.634,no
197,student,divorced,professional.course,no,yes,yes,cellular,jun,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,2459<x<3688,x<1,x>749,1<x<3,x>3.634,no
198,admin.,married,basic.6y,no,yes,yes,telephone,aug,wed,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,x<0,x<1,x<0,x<0,x>3.634,no
199,self-employed,married,university.degree,no,no,no,telephone,aug,fri,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,1<x<14,x>749,x<0,1.634<x<2.634,no
200,admin.,single,basic.6y,no,yes,no,cellular,jul,wed,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,1<x<14,x<0,0<x<1,0.634<x<1.634,yes
201,self-employed,married,professional.course,no,no,yes,telephone,sep,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,2459<x<3688,x<1,0<x<249,3<x<5,1.634<x<2.634,yes
202,retired,married,basic.9y,no,yes,yes,cellular,jul,mon,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,0<x<1229,x<1,0<x<249,0<x<1,x>3.634,no
203,housemaid,divorced,professional.course,no,yes,no,telephone,may,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,0<x<1229,x<1,0<x<249,3<x<5,x>3.634,no
204,retired,divorced,high.school,no,yes,yes,cellular,oct,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,1229<x<2459,x<1,x>749,x<0,0.634<x<1.634,no
205,housemaid,single,high.school,no,no,no,telephone,aug,wed,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,1<x<14,x>749,x<0,0.634<x<1.634,yes
206,blue-collar,divorced,university.degree,no,no,yes,telephone,may,mon,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,2459<x<3688,x<1,0<x<249,3<x<5,1.634<x<2.634,no
207,admin.,divorced,professional.course,no,yes,no,cellular,mar,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,x<0,x<1,x<0,1<x<3,0.634<x<1.634,yes
208,blue-collar,married,university.degree,no,no,yes,telephone,dec,mon,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,0<x<1229,1<x<14,0<x<249,x<0,0.634<x<1.634,no
209,management,married,illiterate,no,yes,no,cellular,jul,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,x<1,0<x<249,0<x<1,1.634<x<2.634,yes
210,housemaid,married,basic.9y,no,no,yes,telephone,dec,tue,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,x<0,1<x<14,x<0,1<x<3,0.634<x<1.634,no
211,student,single,professional.course,no,yes,no,cellular,nov,mon,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,x<0,1<x<14,0<x<249,x<0,x>3.634,yes
212,entrepreneur,single,basic.6y,no,no,no,cellular,apr,thu,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,x<1,x<0,0<x<1,x>3.634,no
213,entrepreneur,married,high.school,no,yes,yes,telephone,jun,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,x<1,x>749,3<x<5,1.634<x<2.634,no
214,management,married,basic.4y,no,no,yes,cellular,jun,tue,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,1229<x<2459,x<1,0<x<249,3<x<5,0.634<x<1.634,yes
215,student,divorced,basic.4y,no,yes,yes,telephone,sep,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,0<x<1229,1<x<14,x<0,1<x<3,1.634<x<2.634,no
216,self-employed,divorced,illiterate,no,yes,no,cellular,aug,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,x<0,x<1,0<x<249,x<0,1.634<x<2.634,yes
217,housemaid,divorced,basic.4y,no,no,yes,cellular,sep,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,1229<x<2459,x<1,x>749,1<x<3,x>3.634,no
218,blue-collar,single,basic.6y,no,yes,yes,telephone,jun,tue,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,x<0,1<x<14,0<x<249,3<x<5,1.634<x<2.634,no
219,self-employed,married,high.school,no,no,no,cellular,nov,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,x<0,1<x<14,0<x<249,3<x<5,1.634<x<2.634,yes
220,entrepreneur,divorced,basic.6y,no,no,yes,cellular,may,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,1<x<14,0<x<249,x<0,x>3.634,no
221,technician,married,illiterate,no,no,no,telephone,dec,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,x<1,x<0,x<0,1.634<x<2.634,no
222,blue-collar,single,basic.4y,no,yes,yes,telephone,aug,mon,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,2459<x<3688,x<1,x>749,3<x<5,1.634<x<2.634,no
223,unemployed,married,basic.6y,no,yes,yes,telephone,jul,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,2459<x<3688,x<1,0<x<249,1<x<3,0.634<x<1.634,yes
224,entrepreneur,divorced,professional.course,no,no,no,telephone,mar,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,2459<x<3688,1<x<14,x<0,1<x<3,0.634<x<1.634,yes
225,retired,single,illiterate,no,yes,no,telephone,dec,tue,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,1229<x<2459,1<x<14,x<0,3<x<5,0.634<x<1.634,yes
226,admin.,single,basic.6y,no,no,no,telephone,jul,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,x<0,1<x<14,0<x<249,x<0,x>3.634,no
227,self-employed,divorced,university.degree,no,no,yes,telephone,apr,mon,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,1<x<14,x>749,1<x<3,x>3.634,no
228,student,divorced,university.degree,no,yes,yes,telephone,may,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,1<x<14,x<0,3<x<5,x>3.634,no
229,student,divorced,university.degree,no,yes,no,telephone,jul,mon,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,x<0,x<1,x<0,0<x<1,0.634<x<1.634,yes
230,self-employed,divorced,university.degree,no,no,no,cellular,sep,mon,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,0<x<1229,1<x<14,0<x<249,0<x<1,1.634<x<2.634,no
231,management,single,professional.course,no,yes,no,telephone,jul,mon,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,2459<x<3688,x<1,x<0,3<x<5,1.634<x<2.634,yes
232,blue-collar,divorced,illiterate,no,no,no,telephone,nov,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,x<0,x<1,x>749,3<x<5,x>3.634,no
233,blue-collar,married,illiterate,no,no,yes,telephone,dec,mon,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,x<0,x<1,x<0,x<0,1.634<x<2.634,yes
234,retired,married,basic.4y,no,no,no,telephone,jul,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,0<x<1229,x<1,x<0,1<x<3,0.634<x<1.634,yes
235,management,married,basic.4y,no,no,yes,telephone,mar,wed,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,1229<x<2459,1<x<14,x<0,3<x<5,1.634<x<2.634,no
236,admin.,single,high.school,no,no,yes,cellular,oct,wed,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,0<x<1229,x<1,0<x<249,x<0,1.634<x<2.634,yes
237,unemployed,married,university.degree,no,yes,yes,telephone,nov,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,x<1,x>749,0<x<1,0.634<x<1.634,no
238,retired,married,basic.4y,no,no,no,telephone,mar,mon,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,0<x<1229,1<x<14,0<x<249,3<x<5,0.634<x<1.634,yes
239,services,divorced,basic.4y,no,yes,yes,telephone,may,thu,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,1229<x<2459,x<1,x>749,0<x<1,1.634<x<2.634,no
240,entrepreneur,single,university.degree,no,yes,yes,cellular,jul,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,0<x<1229,1<x<14,x>749,x<0,0.634<x<1.634,no
241,retired,single,illiterate,no,no,yes,cellular,jul,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,2459<x<3688,1<x<14,0<x<249,x<0,1.634<x<2.634,yes
242,unemployed,single,illiterate,no,no,no,cellular,sep,fri,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,1229<x<2459,1<x<14,x<0,1<x<3,x>3.634,no
243,management,married,basic.4y,no,yes,yes,telephone,dec,wed,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,1<x<14,x<0,3<x<5,0.634<x<1.634,yes
244,technician,single,basic.4y,no,no,yes,telephone,dec,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,1<x<14,x<0,x<0,0.634<x<1.634,yes
245,technician,divorced,basic.4y,no,no,yes,telephone,aug,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,x<0,x<1,x>749,1<x<3,1.634<x<2.634,no
246,management,married,illiterate,no,no,yes,telephone,nov,fri,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,1<x<14,0<x<249,3<x<5,0.634<x<1.634,no
247,self-employed,single,basic.4y,no,no,no,cellular,nov,fri,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,2459<x<3688,1<x<14,0<x<249,3<x<5,0.634<x<1.634,no
248,admin.,divorced,basic.9y,no,no,no,telephone,mar,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,1229<x<2459,1<x<14,x<0,0<x<1,x>3.634,no
249,self-employed,married,basic.4y,no,no,yes,telephone,mar,fri,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,0<x<1229,x<1,0<x<249,1<x<3,x>3.634,no
250,services,divorced,high.school,no,no,no,cellular,apr,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,1229<x<2459,x<1,0<x<249,0<x<1,1.634<x<2.634,yes
251,admin.,single,basic.4y,no,no,no,telephone,oct,wed,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,1<x<14,x<0,0<x<1,0.634<x<1.634,no
252,blue-collar,single,basic.6y,no,yes,yes,cellular,nov,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,1229<x<2459,x<1,x>749,3<x<5,1.634<x<2.634,no
253,entrepreneur,divorced,basic.6y,no,no,no,telephone,may,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,2459<x<3688,x<1,0<x<249,3<x<5,0.634<x<1.634,no
254,services,divorced,basic.4y,no,no,yes,telephone,aug,tue,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,x<1,x<0,3<x<5,1.634<x<2.634,yes
255,management,married,university.degree,no,yes,yes,cellular,sep,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,1229<x<2459,1<x<14,0<x<249,3<x<5,0.634<x<1.634,no
256,blue-collar,divorced,high.school,no,no,yes,cellular,apr,fri,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,2459<x<3688,1<x<14,0<x<249,3<x<5,0.634<x<1.634,yes
257,management,divorced,university.degree,no,yes,no,telephone,nov,mon,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,x<0,1<x<14,0<x<249,3<x<5,1.634<x<2.634,no
258,housemaid,married,professional.course,no,no,yes,telephone,nov,wed,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,x<1,0<x<249,3<x<5,x>3.634,no
259,housemaid,married,basic.9y,no,no,yes,cellular,dec,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,x<1,x<0,1<x<3,1.634<x<2.634,yes
260,self-employed,single,professional.course,no,yes,yes,telephone,oct,thu,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,x>77,x<0,1<x<14,x<0,0<x<1,1.634<x<2.634,yes
261,services,married,basic.9y,no,no,no,cellular,apr,fri,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,x<0,x<1,0<x<249,3<x<5,x>3.634,no
262,housemaid,married,basic.4y,no,yes,no,cellular,mar,mon,success,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,0<x<1229,1<x<14,0<x<249,1<x<3,0.634<x<1.634,yes
263,student,married,basic.9y,no,yes,no,cellular,dec,mon,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,57<x<77,2459<x<3688,1<x<14,x<0,x<0,0.634<x<1.634,yes
264,student,divorced,professional.course,no,no,no,cellular,jul,tue,nonexistent,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,37<x<57,2459<x<3688,x<1,x<0,3<x<5,0.634<x<1.634,yes
265,blue-collar,divorced,professional.course,no,no,yes,telephone,jun,mon,failure,x<-3.4,x<92.20100000000001,x<-50.8,x<4963.6,17<x<37,x<0,x<1,0<x<249,1<x<3,1.634<x<2.634,no
