id,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30_59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60_89DaysPastDueNotWorse,NumberOfDependents,class
191,0.0<x<12677.0,x>77,0<x<24,x<0.0,0.0<x<752187.0,29<x<43,x<0,x<0,x<0,x<0.0,NO
192,0.0<x<12677.0,25<x<51,x<0,x<0.0,x<0.0,x>43,0<x<24,x<0,x<0,5.0<x<10.0,NO
193,0.0<x<12677.0,x>77,0<x<24,15276.0<x<30553.0,x<0.0,x<0,0<x<24,0<x<13,0<x<24,0.0<x<5.0,YES
194,0.0<x<12677.0,51<x<77,0<x<24,x<0.0,x<0.0,x<0,x<0,x<0,0<x<24,0.0<x<5.0,YES
195,0.0<x<12677.0,0<x<25,x<0,0.0<x<15276.0,0.0<x<752187.0,x>43,x<0,x<0,0<x<24,0.0<x<5.0,NO
196,x<0.0,51<x<77,x<0,x<0.0,0.0<x<752187.0,0<x<14,x<0,13<x<27,x<0,x<0.0,NO
197,x<0.0,0<x<25,x<0,15276.0<x<30553.0,x<0.0,14<x<29,0<x<24,13<x<27,0<x<24,5.0<x<10.0,YES
198,0.0<x<12677.0,25<x<51,x<0,x<0.0,x<0.0,x>43,x<0,0<x<13,0<x<24,x<0.0,NO
199,0.0<x<12677.0,x>77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,14<x<29,x<0,x<0,x<0,0.0<x<5.0,NO
200,x<0.0,x>77,0<x<24,x<0.0,x<0.0,0<x<14,x<0,13<x<27,x<0,5.0<x<10.0,NO
201,x<0.0,51<x<77,0<x<24,x<0.0,x<0.0,x<0,x<0,13<x<27,x<0,x<0.0,NO
202,0.0<x<12677.0,x>77,x<0,15276.0<x<30553.0,x<0.0,14<x<29,x<0,x<0,0<x<24,5.0<x<10.0,NO
203,x<0.0,x>77,x<0,0.0<x<15276.0,x<0.0,x>43,0<x<24,x<0,x<0,5.0<x<10.0,NO
204,x<0.0,25<x<51,x<0,x<0.0,x<0.0,14<x<29,0<x<24,13<x<27,0<x<24,0.0<x<5.0,YES
205,x<0.0,25<x<51,0<x<24,x<0.0,x<0.0,0<x<14,x<0,13<x<27,x<0,x<0.0,NO
206,x<0.0,x>77,x<0,x<0.0,x<0.0,x<0,x<0,x<0,x<0,x<0.0,NO
207,0.0<x<12677.0,0<x<25,x<0,x<0.0,0.0<x<752187.0,x<0,x<0,0<x<13,x<0,5.0<x<10.0,NO
208,x<0.0,x>77,x<0,x<0.0,0.0<x<752187.0,x<0,0<x<24,x<0,x<0,0.0<x<5.0,NO
209,x<0.0,51<x<77,x<0,x<0.0,x<0.0,0<x<14,0<x<24,0<x<13,0<x<24,5.0<x<10.0,YES
210,0.0<x<12677.0,25<x<51,x<0,15276.0<x<30553.0,0.0<x<752187.0,29<x<43,x<0,x<0,0<x<24,x<0.0,NO
211,x<0.0,0<x<25,x<0,x<0.0,0.0<x<752187.0,x<0,x<0,13<x<27,x<0,5.0<x<10.0,NO
212,0.0<x<12677.0,51<x<77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,14<x<29,x<0,13<x<27,0<x<24,0.0<x<5.0,YES
213,0.0<x<12677.0,x>77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,x<0,0<x<24,0<x<13,0<x<24,0.0<x<5.0,YES
214,0.0<x<12677.0,0<x<25,0<x<24,15276.0<x<30553.0,x<0.0,29<x<43,x<0,13<x<27,x<0,x<0.0,NO
215,x<0.0,51<x<77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,0<x<14,x<0,13<x<27,x<0,0.0<x<5.0,NO
216,x<0.0,x>77,0<x<24,x<0.0,x<0.0,14<x<29,x<0,13<x<27,x<0,x<0.0,NO
217,0.0<x<12677.0,25<x<51,0<x<24,x<0.0,0.0<x<752187.0,x>43,x<0,13<x<27,0<x<24,x<0.0,NO
218,0.0<x<12677.0,x>77,0<x<24,0.0<x<15276.0,x<0.0,x<0,x<0,0<x<13,x<0,x<0.0,NO
219,0.0<x<12677.0,25<x<51,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,0<x<14,0<x<24,0<x<13,0<x<24,5.0<x<10.0,YES
220,x<0.0,51<x<77,x<0,x<0.0,0.0<x<752187.0,29<x<43,x<0,x<0,x<0,5.0<x<10.0,NO
221,x<0.0,51<x<77,0<x<24,x<0.0,x<0.0,x>43,x<0,0<x<13,0<x<24,5.0<x<10.0,YES
222,x<0.0,0<x<25,0<x<24,15276.0<x<30553.0,x<0.0,29<x<43,x<0,13<x<27,x<0,5.0<x<10.0,NO
223,x<0.0,25<x<51,0<x<24,x<0.0,0.0<x<752187.0,29<x<43,x<0,13<x<27,x<0,5.0<x<10.0,NO
224,0.0<x<12677.0,x>77,x<0,15276.0<x<30553.0,x<0.0,14<x<29,0<x<24,x<0,0<x<24,0.0<x<5.0,NO
225,x<0.0,51<x<77,x<0,x<0.0,x<0.0,14<x<29,0<x<24,x<0,0<x<24,0.0<x<5.0,YES
226,x<0.0,25<x<51,x<0,15276.0<x<30553.0,x<0.0,x<0,x<0,x<0,0<x<24,5.0<x<10.0,NO
227,x<0.0,25<x<51,0<x<24,0.0<x<15276.0,x<0.0,0<x<14,0<x<24,x<0,0<x<24,5.0<x<10.0,YES
228,x<0.0,25<x<51,x<0,15276.0<x<30553.0,x<0.0,14<x<29,0<x<24,0<x<13,x<0,5.0<x<10.0,NO
229,0.0<x<12677.0,51<x<77,0<x<24,15276.0<x<30553.0,x<0.0,29<x<43,x<0,0<x<13,x<0,x<0.0,NO
230,x<0.0,x>77,x<0,15276.0<x<30553.0,0.0<x<752187.0,29<x<43,x<0,0<x<13,x<0,5.0<x<10.0,NO
231,0.0<x<12677.0,25<x<51,x<0,x<0.0,x<0.0,0<x<14,0<x<24,x<0,x<0,0.0<x<5.0,NO
232,x<0.0,0<x<25,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,14<x<29,x<0,x<0,x<0,0.0<x<5.0,NO
233,0.0<x<12677.0,0<x<25,0<x<24,x<0.0,x<0.0,0<x<14,0<x<24,x<0,x<0,x<0.0,NO
234,0.0<x<12677.0,51<x<77,x<0,x<0.0,0.0<x<752187.0,14<x<29,x<0,13<x<27,x<0,x<0.0,NO
235,0.0<x<12677.0,0<x<25,x<0,15276.0<x<30553.0,0.0<x<752187.0,x>43,0<x<24,13<x<27,x<0,0.0<x<5.0,NO
236,x<0.0,51<x<77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,29<x<43,x<0,13<x<27,x<0,0.0<x<5.0,NO
237,x<0.0,0<x<25,0<x<24,15276.0<x<30553.0,x<0.0,14<x<29,x<0,0<x<13,x<0,x<0.0,NO
238,x<0.0,x>77,0<x<24,x<0.0,x<0.0,14<x<29,x<0,0<x<13,0<x<24,0.0<x<5.0,NO
239,0.0<x<12677.0,25<x<51,x<0,x<0.0,0.0<x<752187.0,14<x<29,x<0,0<x<13,0<x<24,0.0<x<5.0,NO
240,x<0.0,25<x<51,0<x<24,0.0<x<15276.0,x<0.0,x<0,x<0,0<x<13,x<0,x<0.0,NO
241,x<0.0,0<x<25,0<x<24,0.0<x<15276.0,0.0<x<752187.0,29<x<43,0<x<24,x<0,x<0,5.0<x<10.0,NO
242,x<0.0,51<x<77,0<x<24,15276.0<x<30553.0,x<0.0,x<0,x<0,x<0,0<x<24,x<0.0,YES
243,0.0<x<12677.0,x>77,x<0,x<0.0,0.0<x<752187.0,29<x<43,0<x<24,x<0,x<0,5.0<x<10.0,NO
244,x<0.0,x>77,0<x<24,x<0.0,0.0<x<752187.0,0<x<14,x<0,x<0,x<0,5.0<x<10.0,NO
245,0.0<x<12677.0,51<x<77,x<0,15276.0<x<30553.0,0.0<x<752187.0,x<0,x<0,13<x<27,0<x<24,0.0<x<5.0,NO
246,x<0.0,0<x<25,x<0,15276.0<x<30553.0,x<0.0,x<0,0<x<24,x<0,x<0,5.0<x<10.0,NO
247,0.0<x<12677.0,25<x<51,x<0,15276.0<x<30553.0,x<0.0,0<x<14,x<0,13<x<27,0<x<24,0.0<x<5.0,NO
248,0.0<x<12677.0,25<x<51,0<x<24,0.0<x<15276.0,x<0.0,29<x<43,x<0,0<x<13,0<x<24,0.0<x<5.0,YES
249,0.0<x<12677.0,0<x<25,x<0,0.0<x<15276.0,x<0.0,0<x<14,x<0,0<x<13,x<0,x<0.0,NO
250,x<0.0,25<x<51,x<0,0.0<x<15276.0,x<0.0,x<0,x<0,0<x<13,x<0,5.0<x<10.0,NO
251,0.0<x<12677.0,0<x<25,0<x<24,x<0.0,x<0.0,0<x<14,x<0,0<x<13,x<0,0.0<x<5.0,NO
252,0.0<x<12677.0,25<x<51,x<0,x<0.0,0.0<x<752187.0,0<x<14,0<x<24,13<x<27,x<0,0.0<x<5.0,NO
253,0.0<x<12677.0,51<x<77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,14<x<29,x<0,x<0,0<x<24,0.0<x<5.0,YES
254,0.0<x<12677.0,x>77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,x>43,0<x<24,13<x<27,x<0,x<0.0,NO
255,0.0<x<12677.0,0<x<25,0<x<24,x<0.0,0.0<x<752187.0,x>43,x<0,0<x<13,x<0,x<0.0,NO
256,x<0.0,25<x<51,x<0,15276.0<x<30553.0,x<0.0,x<0,x<0,x<0,x<0,0.0<x<5.0,NO
257,0.0<x<12677.0,25<x<51,x<0,x<0.0,x<0.0,x<0,x<0,13<x<27,x<0,0.0<x<5.0,NO
258,x<0.0,25<x<51,x<0,0.0<x<15276.0,x<0.0,14<x<29,x<0,0<x<13,0<x<24,x<0.0,NO
259,x<0.0,x>77,x<0,0.0<x<15276.0,x<0.0,14<x<29,0<x<24,0<x<13,x<0,5.0<x<10.0,NO
260,x<0.0,51<x<77,x<0,0.0<x<15276.0,x<0.0,x>43,0<x<24,x<0,x<0,x<0.0,NO
261,0.0<x<12677.0,25<x<51,0<x<24,x<0.0,x<0.0,29<x<43,x<0,0<x<13,0<x<24,0.0<x<5.0,YES
262,x<0.0,25<x<51,x<0,x<0.0,0.0<x<752187.0,0<x<14,0<x<24,0<x<13,0<x<24,5.0<x<10.0,YES
263,0.0<x<12677.0,x>77,x<0,0.0<x<15276.0,0.0<x<752187.0,0<x<14,x<0,0<x<13,x<0,5.0<x<10.0,NO
264,0.0<x<12677.0,x>77,x<0,x<0.0,x<0.0,x<0,0<x<24,13<x<27,x<0,5.0<x<10.0,NO
265,x<0.0,25<x<51,x<0,15276.0<x<30553.0,x<0.0,x<0,x<0,13<x<27,x<0,0.0<x<5.0,NO
266,x<0.0,25<x<51,x<0,15276.0<x<30553.0,x<0.0,14<x<29,0<x<24,x<0,0<x<24,5.0<x<10.0,YES
267,x<0.0,x>77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,x<0,x<0,13<x<27,0<x<24,x<0.0,NO
268,0.0<x<12677.0,x>77,0<x<24,x<0.0,0.0<x<752187.0,14<x<29,x<0,0<x<13,0<x<24,5.0<x<10.0,NO
269,0.0<x<12677.0,51<x<77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,0<x<14,x<0,0<x<13,0<x<24,x<0.0,NO
270,0.0<x<12677.0,25<x<51,0<x<24,0.0<x<15276.0,x<0.0,x<0,x<0,x<0,x<0,0.0<x<5.0,NO
271,0.0<x<12677.0,0<x<25,0<x<24,0.0<x<15276.0,0.0<x<752187.0,0<x<14,x<0,0<x<13,0<x<24,0.0<x<5.0,YES
272,0.0<x<12677.0,x>77,x<0,x<0.0,x<0.0,14<x<29,0<x<24,13<x<27,x<0,0.0<x<5.0,NO
273,0.0<x<12677.0,25<x<51,0<x<24,x<0.0,x<0.0,x>43,0<x<24,x<0,x<0,5.0<x<10.0,NO
274,x<0.0,x>77,x<0,0.0<x<15276.0,x<0.0,0<x<14,0<x<24,0<x<13,x<0,x<0.0,NO
275,x<0.0,51<x<77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,14<x<29,0<x<24,0<x<13,x<0,x<0.0,NO
276,0.0<x<12677.0,x>77,x<0,0.0<x<15276.0,0.0<x<752187.0,14<x<29,0<x<24,0<x<13,0<x<24,5.0<x<10.0,YES
277,x<0.0,51<x<77,x<0,x<0.0,0.0<x<752187.0,x<0,0<x<24,x<0,x<0,x<0.0,NO
278,0.0<x<12677.0,0<x<25,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,x<0,0<x<24,13<x<27,x<0,x<0.0,NO
279,0.0<x<12677.0,x>77,x<0,x<0.0,x<0.0,29<x<43,0<x<24,0<x<13,0<x<24,x<0.0,NO
280,0.0<x<12677.0,x>77,x<0,15276.0<x<30553.0,0.0<x<752187.0,x<0,x<0,0<x<13,x<0,x<0.0,NO
281,0.0<x<12677.0,0<x<25,0<x<24,0.0<x<15276.0,x<0.0,29<x<43,x<0,13<x<27,0<x<24,5.0<x<10.0,YES
282,x<0.0,51<x<77,0<x<24,x<0.0,x<0.0,14<x<29,0<x<24,13<x<27,0<x<24,x<0.0,YES
283,0.0<x<12677.0,x>77,0<x<24,x<0.0,x<0.0,x>43,0<x<24,13<x<27,x<0,5.0<x<10.0,NO
284,0.0<x<12677.0,0<x<25,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,0<x<14,0<x<24,13<x<27,x<0,5.0<x<10.0,NO
285,x<0.0,x>77,x<0,x<0.0,x<0.0,0<x<14,x<0,x<0,x<0,0.0<x<5.0,NO
286,x<0.0,x>77,x<0,x<0.0,x<0.0,0<x<14,x<0,0<x<13,0<x<24,5.0<x<10.0,NO
287,x<0.0,25<x<51,0<x<24,x<0.0,x<0.0,0<x<14,0<x<24,13<x<27,x<0,x<0.0,NO
288,0.0<x<12677.0,0<x<25,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,14<x<29,x<0,x<0,x<0,5.0<x<10.0,NO
289,0.0<x<12677.0,0<x<25,x<0,15276.0<x<30553.0,0.0<x<752187.0,x<0,0<x<24,0<x<13,x<0,x<0.0,NO
290,x<0.0,x>77,x<0,15276.0<x<30553.0,x<0.0,29<x<43,x<0,13<x<27,0<x<24,x<0.0,NO
291,0.0<x<12677.0,51<x<77,x<0,x<0.0,0.0<x<752187.0,0<x<14,0<x<24,0<x<13,x<0,0.0<x<5.0,NO
292,x<0.0,0<x<25,0<x<24,x<0.0,x<0.0,29<x<43,0<x<24,13<x<27,x<0,x<0.0,NO
293,0.0<x<12677.0,x>77,x<0,0.0<x<15276.0,x<0.0,14<x<29,x<0,x<0,x<0,5.0<x<10.0,NO
294,x<0.0,51<x<77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,29<x<43,0<x<24,0<x<13,0<x<24,x<0.0,YES
295,x<0.0,x>77,x<0,x<0.0,0.0<x<752187.0,x<0,0<x<24,0<x<13,0<x<24,x<0.0,NO
296,x<0.0,51<x<77,x<0,0.0<x<15276.0,x<0.0,x<0,x<0,0<x<13,x<0,x<0.0,NO
297,0.0<x<12677.0,25<x<51,0<x<24,x<0.0,0.0<x<752187.0,29<x<43,0<x<24,x<0,x<0,x<0.0,NO
298,x<0.0,51<x<77,0<x<24,0.0<x<15276.0,x<0.0,x<0,x<0,13<x<27,x<0,5.0<x<10.0,NO
299,0.0<x<12677.0,51<x<77,x<0,0.0<x<15276.0,x<0.0,x>43,x<0,x<0,0<x<24,0.0<x<5.0,NO
300,x<0.0,x>77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,0<x<14,0<x<24,x<0,0<x<24,x<0.0,YES
301,x<0.0,0<x<25,0<x<24,15276.0<x<30553.0,x<0.0,29<x<43,0<x<24,0<x<13,0<x<24,5.0<x<10.0,YES
302,0.0<x<12677.0,51<x<77,x<0,15276.0<x<30553.0,x<0.0,x<0,0<x<24,13<x<27,0<x<24,x<0.0,NO
303,0.0<x<12677.0,25<x<51,0<x<24,0.0<x<15276.0,0.0<x<752187.0,0<x<14,0<x<24,x<0,0<x<24,x<0.0,YES
304,0.0<x<12677.0,51<x<77,0<x<24,0.0<x<15276.0,x<0.0,29<x<43,0<x<24,x<0,x<0,x<0.0,NO
305,0.0<x<12677.0,0<x<25,x<0,0.0<x<15276.0,x<0.0,x>43,0<x<24,0<x<13,0<x<24,0.0<x<5.0,YES
306,x<0.0,x>77,0<x<24,15276.0<x<30553.0,x<0.0,0<x<14,0<x<24,13<x<27,0<x<24,x<0.0,NO
307,x<0.0,25<x<51,0<x<24,0.0<x<15276.0,0.0<x<752187.0,x<0,x<0,13<x<27,0<x<24,5.0<x<10.0,YES
308,0.0<x<12677.0,25<x<51,0<x<24,x<0.0,x<0.0,0<x<14,0<x<24,0<x<13,x<0,5.0<x<10.0,NO
309,x<0.0,25<x<51,0<x<24,0.0<x<15276.0,0.0<x<752187.0,x>43,x<0,0<x<13,x<0,5.0<x<10.0,NO
310,0.0<x<12677.0,25<x<51,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,0<x<14,x<0,13<x<27,0<x<24,x<0.0,NO
311,0.0<x<12677.0,25<x<51,x<0,x<0.0,0.0<x<752187.0,29<x<43,0<x<24,x<0,x<0,5.0<x<10.0,NO
312,x<0.0,x>77,0<x<24,x<0.0,x<0.0,14<x<29,x<0,13<x<27,x<0,0.0<x<5.0,NO
313,0.0<x<12677.0,x>77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,14<x<29,x<0,0<x<13,0<x<24,0.0<x<5.0,NO
314,0.0<x<12677.0,25<x<51,0<x<24,0.0<x<15276.0,x<0.0,14<x<29,0<x<24,x<0,0<x<24,0.0<x<5.0,YES
315,x<0.0,25<x<51,0<x<24,x<0.0,x<0.0,0<x<14,x<0,13<x<27,0<x<24,5.0<x<10.0,YES
316,0.0<x<12677.0,51<x<77,x<0,x<0.0,0.0<x<752187.0,x<0,x<0,13<x<27,x<0,5.0<x<10.0,NO
317,0.0<x<12677.0,51<x<77,x<0,0.0<x<15276.0,0.0<x<752187.0,29<x<43,0<x<24,0<x<13,x<0,x<0.0,NO
318,0.0<x<12677.0,25<x<51,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,29<x<43,0<x<24,0<x<13,x<0,0.0<x<5.0,NO
319,0.0<x<12677.0,51<x<77,0<x<24,x<0.0,0.0<x<752187.0,0<x<14,x<0,0<x<13,0<x<24,x<0.0,NO
320,x<0.0,x>77,x<0,15276.0<x<30553.0,x<0.0,14<x<29,x<0,x<0,x<0,5.0<x<10.0,NO
321,x<0.0,25<x<51,x<0,0.0<x<15276.0,x<0.0,14<x<29,0<x<24,x<0,0<x<24,x<0.0,YES
322,0.0<x<12677.0,0<x<25,x<0,0.0<x<15276.0,x<0.0,14<x<29,0<x<24,0<x<13,0<x<24,x<0.0,NO
323,x<0.0,25<x<51,0<x<24,15276.0<x<30553.0,x<0.0,x>43,x<0,0<x<13,x<0,5.0<x<10.0,NO
324,x<0.0,0<x<25,x<0,15276.0<x<30553.0,0.0<x<752187.0,x>43,0<x<24,x<0,x<0,x<0.0,NO
325,0.0<x<12677.0,x>77,0<x<24,15276.0<x<30553.0,x<0.0,0<x<14,0<x<24,x<0,0<x<24,0.0<x<5.0,YES
326,x<0.0,x>77,0<x<24,0.0<x<15276.0,x<0.0,29<x<43,x<0,13<x<27,0<x<24,x<0.0,NO
327,x<0.0,0<x<25,x<0,15276.0<x<30553.0,x<0.0,0<x<14,0<x<24,x<0,x<0,0.0<x<5.0,NO
328,0.0<x<12677.0,25<x<51,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,x>43,x<0,13<x<27,x<0,5.0<x<10.0,NO
329,0.0<x<12677.0,x>77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,x>43,0<x<24,x<0,0<x<24,5.0<x<10.0,YES
330,x<0.0,x>77,x<0,x<0.0,x<0.0,x<0,0<x<24,0<x<13,0<x<24,5.0<x<10.0,NO
331,x<0.0,25<x<51,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,x<0,x<0,13<x<27,x<0,0.0<x<5.0,NO
332,x<0.0,x>77,0<x<24,x<0.0,0.0<x<752187.0,x<0,x<0,13<x<27,x<0,x<0.0,NO
333,x<0.0,51<x<77,x<0,x<0.0,0.0<x<752187.0,29<x<43,x<0,x<0,x<0,0.0<x<5.0,NO
334,x<0.0,0<x<25,0<x<24,0.0<x<15276.0,0.0<x<752187.0,x>43,0<x<24,13<x<27,0<x<24,x<0.0,YES
335,x<0.0,x>77,0<x<24,x<0.0,0.0<x<752187.0,14<x<29,x<0,13<x<27,x<0,x<0.0,NO
336,x<0.0,x>77,0<x<24,x<0.0,0.0<x<752187.0,x<0,0<x<24,x<0,0<x<24,0.0<x<5.0,YES
337,0.0<x<12677.0,25<x<51,x<0,x<0.0,x<0.0,0<x<14,x<0,0<x<13,0<x<24,0.0<x<5.0,NO
338,0.0<x<12677.0,25<x<51,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,29<x<43,0<x<24,13<x<27,0<x<24,0.0<x<5.0,YES
339,x<0.0,25<x<51,0<x<24,15276.0<x<30553.0,x<0.0,x>43,x<0,13<x<27,x<0,5.0<x<10.0,NO
340,x<0.0,51<x<77,x<0,15276.0<x<30553.0,0.0<x<752187.0,x<0,x<0,0<x<13,x<0,5.0<x<10.0,NO
341,0.0<x<12677.0,0<x<25,x<0,15276.0<x<30553.0,0.0<x<752187.0,x>43,x<0,0<x<13,x<0,0.0<x<5.0,NO
342,0.0<x<12677.0,x>77,0<x<24,x<0.0,x<0.0,14<x<29,0<x<24,13<x<27,0<x<24,x<0.0,NO
343,x<0.0,0<x<25,x<0,0.0<x<15276.0,x<0.0,14<x<29,x<0,13<x<27,0<x<24,5.0<x<10.0,YES
344,0.0<x<12677.0,25<x<51,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,x<0,0<x<24,x<0,0<x<24,5.0<x<10.0,YES
345,0.0<x<12677.0,x>77,x<0,x<0.0,0.0<x<752187.0,x<0,0<x<24,x<0,0<x<24,x<0.0,NO
346,x<0.0,0<x<25,0<x<24,0.0<x<15276.0,0.0<x<752187.0,0<x<14,0<x<24,x<0,0<x<24,x<0.0,YES
347,x<0.0,0<x<25,x<0,15276.0<x<30553.0,x<0.0,0<x<14,0<x<24,13<x<27,x<0,5.0<x<10.0,NO
348,x<0.0,25<x<51,x<0,0.0<x<15276.0,0.0<x<752187.0,14<x<29,x<0,13<x<27,0<x<24,0.0<x<5.0,YES
349,0.0<x<12677.0,0<x<25,0<x<24,0.0<x<15276.0,0.0<x<752187.0,14<x<29,x<0,13<x<27,x<0,x<0.0,NO
350,x<0.0,51<x<77,0<x<24,x<0.0,0.0<x<752187.0,x<0,0<x<24,x<0,x<0,5.0<x<10.0,NO
351,0.0<x<12677.0,x>77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,0<x<14,x<0,0<x<13,0<x<24,0.0<x<5.0,NO
352,x<0.0,x>77,x<0,x<0.0,0.0<x<752187.0,x<0,0<x<24,x<0,0<x<24,5.0<x<10.0,NO
353,x<0.0,51<x<77,0<x<24,x<0.0,0.0<x<752187.0,0<x<14,x<0,13<x<27,0<x<24,5.0<x<10.0,YES
354,x<0.0,x>77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,x>43,x<0,0<x<13,x<0,5.0<x<10.0,NO
355,x<0.0,x>77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,29<x<43,x<0,13<x<27,0<x<24,5.0<x<10.0,NO
356,x<0.0,25<x<51,x<0,0.0<x<15276.0,0.0<x<752187.0,14<x<29,x<0,0<x<13,x<0,0.0<x<5.0,NO
357,0.0<x<12677.0,0<x<25,x<0,15276.0<x<30553.0,0.0<x<752187.0,0<x<14,x<0,13<x<27,0<x<24,0.0<x<5.0,NO
358,x<0.0,25<x<51,x<0,x<0.0,0.0<x<752187.0,29<x<43,x<0,13<x<27,0<x<24,5.0<x<10.0,YES
359,x<0.0,25<x<51,x<0,15276.0<x<30553.0,x<0.0,0<x<14,x<0,13<x<27,x<0,5.0<x<10.0,NO
360,x<0.0,x>77,0<x<24,0.0<x<15276.0,x<0.0,0<x<14,0<x<24,0<x<13,x<0,x<0.0,NO
361,x<0.0,0<x<25,0<x<24,x<0.0,x<0.0,x>43,x<0,x<0,0<x<24,x<0.0,NO
362,x<0.0,51<x<77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,x<0,x<0,x<0,x<0,5.0<x<10.0,NO
363,x<0.0,51<x<77,0<x<24,15276.0<x<30553.0,0.0<x<752187.0,x<0,0<x<24,0<x<13,0<x<24,0.0<x<5.0,YES
364,x<0.0,51<x<77,x<0,15276.0<x<30553.0,x<0.0,x>43,x<0,13<x<27,x<0,0.0<x<5.0,NO
365,0.0<x<12677.0,x>77,x<0,x<0.0,x<0.0,0<x<14,0<x<24,13<x<27,x<0,x<0.0,NO
366,0.0<x<12677.0,x>77,x<0,x<0.0,0.0<x<752187.0,0<x<14,0<x<24,0<x<13,x<0,x<0.0,NO
367,x<0.0,0<x<25,x<0,15276.0<x<30553.0,x<0.0,0<x<14,0<x<24,13<x<27,x<0,0.0<x<5.0,NO
368,0.0<x<12677.0,x>77,x<0,x<0.0,x<0.0,x>43,x<0,0<x<13,x<0,5.0<x<10.0,NO
369,x<0.0,51<x<77,x<0,15276.0<x<30553.0,0.0<x<752187.0,29<x<43,0<x<24,x<0,x<0,x<0.0,NO
370,0.0<x<12677.0,51<x<77,x<0,0.0<x<15276.0,x<0.0,0<x<14,0<x<24,0<x<13,0<x<24,5.0<x<10.0,YES
371,0.0<x<12677.0,25<x<51,0<x<24,15276.0<x<30553.0,x<0.0,x<0,x<0,x<0,x<0,x<0.0,NO
372,x<0.0,51<x<77,0<x<24,15276.0<x<30553.0,x<0.0,29<x<43,x<0,0<x<13,x<0,5.0<x<10.0,NO
373,x<0.0,x>77,0<x<24,15276.0<x<30553.0,x<0.0,14<x<29,x<0,0<x<13,0<x<24,0.0<x<5.0,NO
374,0.0<x<12677.0,0<x<25,x<0,0.0<x<15276.0,0.0<x<752187.0,x<0,0<x<24,0<x<13,0<x<24,5.0<x<10.0,YES
375,x<0.0,51<x<77,x<0,x<0.0,x<0.0,0<x<14,x<0,13<x<27,0<x<24,0.0<x<5.0,NO
376,x<0.0,25<x<51,x<0,0.0<x<15276.0,0.0<x<752187.0,x<0,0<x<24,0<x<13,0<x<24,x<0.0,YES
377,0.0<x<12677.0,51<x<77,x<0,x<0.0,0.0<x<752187.0,29<x<43,0<x<24,0<x<13,x<0,5.0<x<10.0,NO
378,x<0.0,51<x<77,x<0,15276.0<x<30553.0,0.0<x<752187.0,29<x<43,0<x<24,x<0,x<0,0.0<x<5.0,NO
379,x<0.0,25<x<51,0<x<24,x<0.0,x<0.0,x>43,0<x<24,x<0,0<x<24,5.0<x<10.0,YES
380,x<0.0,25<x<51,0<x<24,x<0.0,0.0<x<752187.0,14<x<29,x<0,13<x<27,0<x<24,x<0.0,NO
381,0.0<x<12677.0,x>77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,x<0,x<0,13<x<27,x<0,0.0<x<5.0,NO
382,0.0<x<12677.0,25<x<51,0<x<24,15276.0<x<30553.0,x<0.0,0<x<14,0<x<24,13<x<27,0<x<24,5.0<x<10.0,YES
383,x<0.0,x>77,0<x<24,x<0.0,0.0<x<752187.0,29<x<43,0<x<24,0<x<13,x<0,x<0.0,NO
384,x<0.0,x>77,0<x<24,0.0<x<15276.0,0.0<x<752187.0,x<0,0<x<24,0<x<13,0<x<24,0.0<x<5.0,YES
385,x<0.0,0<x<25,0<x<24,x<0.0,x<0.0,x<0,x<0,13<x<27,x<0,x<0.0,NO
