id,workclass,education,relationship,race,sex,native_country,age,fnlwgt,education_num,hours_per_week,class
219, Private, Prof_school, Unmarried, Other, Male, Italy,35<x<53,21174<x<274186,1<x<4,1<x<25,LOW
220, Local_gov, Doctorate, Husband, Amer_Indian_Eskimo, Female, Italy,35<x<53,21174<x<274186,x>12,1<x<25,LOW
221, State_gov, 9th, Husband, Other, Male, Honduras,35<x<53,21174<x<274186,8<x<12,50<x<74,LOW
222, Private, Doctorate, Wife, Other, Female, Taiwan,53<x<71,21174<x<274186,x>12,x<25,LOW
223, Federal_gov, Masters, Unmarried, Other, Female, Haiti,53<x<71,21174<x<274186,4<x<8,25<x<50,LOW
224, Self_emp_inc, HS_grad, Wife, Other, Male, United_States,35<x<53,21174<x<274186,4<x<8,1<x<25,LOW
225, State_gov, 9th, Other_relative, White, Male, Columbia,17<x<35,21174<x<274186,4<x<8,1<x<25,LOW
226, Federal_gov, 10th, Unmarried, Black, Male, China,35<x<53,274186<x<527198,x>12,1<x<25,LOW
227, Self_emp_inc, 9th, Own_child, White, Male, Cuba,17<x<35,21174<x<274186,8<x<12,1<x<25,LOW
228, Private, 12th, Husband, Black, Male, Japan,35<x<53,21174<x<274186,8<x<12,25<x<50,LOW
229, Self_emp_inc, 12th, Wife, Amer_Indian_Eskimo, Female, Japan,x>71,21174<x<274186,1<x<4,25<x<50,LOW
230, Federal_gov, Prof_school, Other_relative, Asian_Pac_Islander, Male, Honduras,53<x<71,21174<x<274186,8<x<12,1<x<25,LOW
231, Self_emp_not_inc, Masters, Not_in_family, Black, Male, Canada,35<x<53,274186<x<527198,4<x<8,1<x<25,LOW
232, Federal_gov, 9th, Wife, Amer_Indian_Eskimo, Male, Portugal,x>71,21174<x<274186,8<x<12,1<x<25,LOW
233, Self_emp_not_inc, Masters, Husband, Other, Female, United_States,17<x<35,21174<x<274186,x<4,25<x<50,LOW
234, Self_emp_not_inc, 10th, Other_relative, Amer_Indian_Eskimo, Female, Columbia,35<x<53,274186<x<527198,4<x<8,25<x<50,LOW
235, Private, 11th, Own_child, Asian_Pac_Islander, Male, Columbia,x>71,274186<x<527198,4<x<8,x>74,LOW
236, Private, 10th, Not_in_family, Amer_Indian_Eskimo, Female, Italy,35<x<53,21174<x<274186,1<x<4,x<25,LOW
237, State_gov, 10th, Other_relative, White, Female, Thailand,35<x<53,21174<x<274186,1<x<4,25<x<50,LOW
238, Federal_gov, 5th_6th, Own_child, Amer_Indian_Eskimo, Male, Yugoslavia,53<x<71,21174<x<274186,1<x<4,1<x<25,LOW
239, Private, HS_grad, Husband, Amer_Indian_Eskimo, Male, Columbia,x<35,21174<x<274186,1<x<4,25<x<50,LOW
240, State_gov, 5th_6th, Unmarried, Asian_Pac_Islander, Male, Jamaica,53<x<71,21174<x<274186,4<x<8,25<x<50,LOW
241, Self_emp_inc, Bachelors, Not_in_family, Amer_Indian_Eskimo, Female, Poland,35<x<53,21174<x<274186,4<x<8,25<x<50,LOW
242, Federal_gov, 7th_8th, Other_relative, Amer_Indian_Eskimo, Female, France,53<x<71,21174<x<274186,8<x<12,50<x<74,LOW
243, Federal_gov, Masters, Other_relative, White, Male, Mexico,17<x<35,21174<x<274186,4<x<8,25<x<50,LOW
244, State_gov, Assoc_acdm, Own_child, Amer_Indian_Eskimo, Male, Poland,x>71,21174<x<274186,8<x<12,1<x<25,LOW
245, Private, Doctorate, Not_in_family, Other, Female, Canada,53<x<71,21174<x<274186,4<x<8,1<x<25,LOW
246, Private, 11th, Not_in_family, Other, Male, United_States,53<x<71,527198<x<780210,x>12,1<x<25,LOW
247, Self_emp_inc, Doctorate, Husband, Asian_Pac_Islander, Male, South,x>71,21174<x<274186,4<x<8,25<x<50,HIGH
248, Local_gov, 7th_8th, Other_relative, Amer_Indian_Eskimo, Male, Cuba,35<x<53,274186<x<527198,8<x<12,50<x<74,LOW
249, State_gov, 5th_6th, Husband, Black, Male, Honduras,53<x<71,21174<x<274186,x>12,25<x<50,HIGH
250, Federal_gov, Preschool, Not_in_family, Amer_Indian_Eskimo, Male, Laos,35<x<53,21174<x<274186,8<x<12,1<x<25,LOW
251, Federal_gov, 5th_6th, Own_child, Asian_Pac_Islander, Male, Yugoslavia,35<x<53,21174<x<274186,x>12,1<x<25,LOW
252, Self_emp_not_inc, Doctorate, Other_relative, White, Female, Mexico,17<x<35,21174<x<274186,x>12,1<x<25,LOW
253, Local_gov, 7th_8th, Unmarried, Asian_Pac_Islander, Male, El_Salvador,35<x<53,274186<x<527198,4<x<8,1<x<25,LOW
254, Local_gov, 11th, Wife, Amer_Indian_Eskimo, Male, Iran,35<x<53,274186<x<527198,x>12,25<x<50,LOW
255, Self_emp_inc, Some_college, Wife, Asian_Pac_Islander, Male, El_Salvador,35<x<53,21174<x<274186,8<x<12,25<x<50,LOW
256, Self_emp_not_inc, 11th, Husband, Asian_Pac_Islander, Female, Columbia,x>71,21174<x<274186,8<x<12,25<x<50,LOW
257, Local_gov, 5th_6th, Own_child, Black, Male, Haiti,53<x<71,274186<x<527198,1<x<4,1<x<25,LOW
258, Self_emp_inc, 10th, Unmarried, White, Female, Italy,53<x<71,21174<x<274186,1<x<4,x>74,LOW
259, Self_emp_not_inc, 11th, Other_relative, White, Male, Dominican_Republic,x>71,21174<x<274186,4<x<8,50<x<74,LOW
260, Local_gov, 10th, Wife, Asian_Pac_Islander, Female, Haiti,17<x<35,21174<x<274186,8<x<12,25<x<50,LOW
261, Private, HS_grad, Own_child, White, Female, Cambodia,17<x<35,21174<x<274186,4<x<8,1<x<25,LOW
262, State_gov, Preschool, Other_relative, Asian_Pac_Islander, Female, United_States,17<x<35,21174<x<274186,8<x<12,25<x<50,LOW
263, Federal_gov, 7th_8th, Other_relative, Black, Male, China,x>71,21174<x<274186,4<x<8,1<x<25,LOW
264, Private, 11th, Own_child, Asian_Pac_Islander, Female, Italy,35<x<53,21174<x<274186,4<x<8,25<x<50,LOW
265, Federal_gov, Preschool, Other_relative, Other, Male, South,35<x<53,274186<x<527198,1<x<4,25<x<50,LOW
266, Local_gov, 9th, Wife, Other, Male, Iran,53<x<71,21174<x<274186,x>12,25<x<50,LOW
267, Self_emp_inc, Preschool, Wife, Black, Male, Cambodia,17<x<35,21174<x<274186,4<x<8,50<x<74,LOW
268, Federal_gov, HS_grad, Not_in_family, Other, Female, England,53<x<71,21174<x<274186,8<x<12,25<x<50,LOW
269, State_gov, 5th_6th, Other_relative, Asian_Pac_Islander, Female, England,17<x<35,21174<x<274186,1<x<4,1<x<25,LOW
270, State_gov, Preschool, Own_child, Asian_Pac_Islander, Male, Columbia,53<x<71,21174<x<274186,x>12,25<x<50,LOW
271, Self_emp_inc, 7th_8th, Not_in_family, Black, Male, Mexico,17<x<35,21174<x<274186,x>12,1<x<25,LOW
272, Self_emp_inc, 12th, Wife, White, Male, Portugal,x>71,21174<x<274186,1<x<4,1<x<25,HIGH
273, Private, Masters, Wife, Other, Male, Yugoslavia,35<x<53,21174<x<274186,x>12,25<x<50,LOW
274, Local_gov, Bachelors, Unmarried, Other, Male, Puerto_Rico,17<x<35,21174<x<274186,8<x<12,25<x<50,LOW
275, Self_emp_inc, 11th, Husband, Black, Female, Philippines,17<x<35,21174<x<274186,8<x<12,25<x<50,LOW
276, Self_emp_not_inc, 9th, Husband, Amer_Indian_Eskimo, Female, Ecuador,53<x<71,21174<x<274186,4<x<8,1<x<25,LOW
277, Self_emp_not_inc, Doctorate, Unmarried, Other, Male, Ecuador,53<x<71,21174<x<274186,4<x<8,1<x<25,LOW
278, Federal_gov, Some_college, Unmarried, Amer_Indian_Eskimo, Female, Haiti,17<x<35,21174<x<274186,x>12,1<x<25,LOW
279, Self_emp_inc, 5th_6th, Husband, Black, Female, China,x>71,274186<x<527198,1<x<4,50<x<74,LOW
280, Local_gov, 7th_8th, Not_in_family, Black, Male, Mexico,x>71,21174<x<274186,8<x<12,1<x<25,LOW
281, Private, 7th_8th, Not_in_family, Amer_Indian_Eskimo, Female, United_States,17<x<35,274186<x<527198,x>12,x>74,LOW
282, Self_emp_inc, Prof_school, Own_child, Black, Male, Columbia,x>71,274186<x<527198,1<x<4,1<x<25,LOW
283, Local_gov, 11th, Unmarried, Amer_Indian_Eskimo, Female, United_States,17<x<35,21174<x<274186,8<x<12,x>74,LOW
284, Self_emp_not_inc, Bachelors, Unmarried, Amer_Indian_Eskimo, Female, Taiwan,x>71,274186<x<527198,x>12,25<x<50,LOW
285, Self_emp_inc, 1st_4th, Not_in_family, Amer_Indian_Eskimo, Female, South,17<x<35,21174<x<274186,1<x<4,25<x<50,LOW
286, Local_gov, 11th, Own_child, Other, Female, Iran,17<x<35,21174<x<274186,x>12,50<x<74,LOW
287, Self_emp_not_inc, Some_college, Not_in_family, White, Female, Haiti,35<x<53,21174<x<274186,4<x<8,50<x<74,LOW
288, Federal_gov, 5th_6th, Own_child, Amer_Indian_Eskimo, Female, Canada,53<x<71,274186<x<527198,x<4,1<x<25,LOW
289, Local_gov, 5th_6th, Own_child, Asian_Pac_Islander, Male, Italy,17<x<35,21174<x<274186,1<x<4,50<x<74,LOW
290, Private, Masters, Not_in_family, Asian_Pac_Islander, Female, Cuba,17<x<35,21174<x<274186,4<x<8,25<x<50,LOW
291, Self_emp_inc, Prof_school, Wife, Other, Female, El_Salvador,35<x<53,21174<x<274186,8<x<12,x>74,LOW
292, Local_gov, Masters, Not_in_family, Black, Female, China,35<x<53,21174<x<274186,4<x<8,25<x<50,LOW
293, Local_gov, Some_college, Wife, Amer_Indian_Eskimo, Male, Portugal,x<35,21174<x<274186,8<x<12,25<x<50,LOW
294, Self_emp_not_inc, Masters, Husband, Amer_Indian_Eskimo, Male, Taiwan,17<x<35,21174<x<274186,1<x<4,1<x<25,LOW
295, Private, 5th_6th, Other_relative, Other, Female, South,35<x<53,21174<x<274186,4<x<8,1<x<25,LOW
296, Private, Preschool, Unmarried, Asian_Pac_Islander, Male, El_Salvador,35<x<53,21174<x<274186,x<4,25<x<50,LOW
297, Private, 12th, Not_in_family, Other, Male, Columbia,35<x<53,21174<x<274186,1<x<4,25<x<50,LOW
298, Self_emp_inc, Preschool, Unmarried, Other, Male, Yugoslavia,x>71,21174<x<274186,x<4,1<x<25,LOW
299, Federal_gov, 1st_4th, Wife, Amer_Indian_Eskimo, Male, Jamaica,53<x<71,274186<x<527198,x>12,25<x<50,LOW
300, Federal_gov, Assoc_acdm, Other_relative, Black, Male, Honduras,17<x<35,21174<x<274186,x>12,1<x<25,LOW
301, Self_emp_not_inc, 1st_4th, Wife, Black, Male, France,35<x<53,21174<x<274186,4<x<8,1<x<25,LOW
302, State_gov, 9th, Husband, White, Female, Portugal,x<35,21174<x<274186,8<x<12,x>74,LOW
303, Local_gov, Doctorate, Other_relative, Other, Female, Dominican_Republic,53<x<71,21174<x<274186,8<x<12,1<x<25,LOW
304, Self_emp_not_inc, Doctorate, Wife, Other, Female, Poland,35<x<53,21174<x<274186,8<x<12,25<x<50,HIGH
305, State_gov, Doctorate, Other_relative, Other, Male, Taiwan,35<x<53,274186<x<527198,8<x<12,1<x<25,LOW
306, Local_gov, Assoc_voc, Husband, Other, Female, Japan,17<x<35,21174<x<274186,8<x<12,25<x<50,LOW
307, State_gov, HS_grad, Own_child, Black, Female, China,53<x<71,21174<x<274186,4<x<8,25<x<50,LOW
308, Self_emp_inc, Assoc_voc, Unmarried, Amer_Indian_Eskimo, Male, Japan,53<x<71,21174<x<274186,8<x<12,1<x<25,LOW
309, Self_emp_not_inc, 1st_4th, Own_child, Asian_Pac_Islander, Female, Cambodia,35<x<53,274186<x<527198,4<x<8,50<x<74,LOW
310, Federal_gov, 1st_4th, Other_relative, White, Male, Mexico,35<x<53,21174<x<274186,x<4,25<x<50,LOW
311, Private, 10th, Not_in_family, Black, Female, Cambodia,53<x<71,21174<x<274186,8<x<12,x>74,LOW
312, Local_gov, 9th, Wife, Other, Female, United_States,17<x<35,21174<x<274186,1<x<4,1<x<25,LOW
313, Local_gov, HS_grad, Other_relative, Asian_Pac_Islander, Female, Laos,x>71,21174<x<274186,8<x<12,25<x<50,LOW
314, Self_emp_inc, Prof_school, Unmarried, Black, Male, United_States,53<x<71,21174<x<274186,8<x<12,50<x<74,LOW
315, Self_emp_not_inc, Some_college, Wife, Black, Male, Portugal,x>71,21174<x<274186,4<x<8,1<x<25,LOW
316, State_gov, 5th_6th, Unmarried, Amer_Indian_Eskimo, Female, China,35<x<53,21174<x<274186,x>12,25<x<50,LOW
317, Private, Preschool, Husband, White, Female, Columbia,53<x<71,21174<x<274186,x>12,x>74,HIGH
318, Self_emp_inc, 10th, Unmarried, Asian_Pac_Islander, Female, Germany,35<x<53,21174<x<274186,x>12,25<x<50,LOW
319, Self_emp_inc, Some_college, Wife, White, Male, Taiwan,35<x<53,274186<x<527198,8<x<12,50<x<74,HIGH
320, Local_gov, Preschool, Not_in_family, White, Female, Italy,x>71,21174<x<274186,x>12,1<x<25,LOW
321, Federal_gov, Doctorate, Not_in_family, White, Female, Italy,35<x<53,274186<x<527198,x>12,x>74,HIGH
322, State_gov, Assoc_acdm, Own_child, Asian_Pac_Islander, Female, El_Salvador,17<x<35,21174<x<274186,x>12,1<x<25,LOW
323, Self_emp_not_inc, Prof_school, Other_relative, White, Female, Thailand,53<x<71,21174<x<274186,x>12,1<x<25,LOW
324, Federal_gov, 7th_8th, Other_relative, Asian_Pac_Islander, Female, Jamaica,17<x<35,21174<x<274186,x>12,50<x<74,LOW
325, State_gov, 1st_4th, Unmarried, Black, Male, Thailand,53<x<71,274186<x<527198,x>12,25<x<50,LOW
326, Private, 5th_6th, Wife, White, Male, Haiti,53<x<71,21174<x<274186,1<x<4,25<x<50,LOW
327, Local_gov, Some_college, Husband, Asian_Pac_Islander, Male, Thailand,x>71,21174<x<274186,8<x<12,x>74,HIGH
328, Federal_gov, Preschool, Other_relative, Black, Female, Haiti,35<x<53,21174<x<274186,1<x<4,25<x<50,LOW
329, Private, 9th, Husband, Black, Female, Cuba,35<x<53,21174<x<274186,1<x<4,1<x<25,LOW
330, Private, 9th, Husband, Asian_Pac_Islander, Female, Honduras,17<x<35,21174<x<274186,x<4,1<x<25,LOW
331, Federal_gov, Some_college, Wife, White, Male, Canada,53<x<71,21174<x<274186,4<x<8,25<x<50,LOW
332, Private, 7th_8th, Other_relative, Black, Male, France,53<x<71,274186<x<527198,8<x<12,50<x<74,LOW
333, Federal_gov, Doctorate, Own_child, Black, Female, Dominican_Republic,17<x<35,21174<x<274186,4<x<8,25<x<50,LOW
334, Federal_gov, HS_grad, Other_relative, White, Male, China,x>71,21174<x<274186,4<x<8,1<x<25,LOW
335, Local_gov, Prof_school, Wife, Black, Female, South,35<x<53,21174<x<274186,8<x<12,1<x<25,LOW
336, Federal_gov, Assoc_voc, Wife, Black, Female, Taiwan,53<x<71,21174<x<274186,x>12,x>74,HIGH
337, Private, Prof_school, Other_relative, Asian_Pac_Islander, Male, Puerto_Rico,x>71,21174<x<274186,4<x<8,1<x<25,LOW
338, Local_gov, Bachelors, Husband, Asian_Pac_Islander, Male, Thailand,17<x<35,21174<x<274186,x>12,50<x<74,HIGH
339, Federal_gov, 11th, Husband, Asian_Pac_Islander, Male, South,53<x<71,21174<x<274186,x>12,1<x<25,LOW
340, Private, 7th_8th, Other_relative, Asian_Pac_Islander, Female, Yugoslavia,53<x<71,21174<x<274186,x>12,50<x<74,LOW
341, Federal_gov, 5th_6th, Other_relative, Asian_Pac_Islander, Male, India,35<x<53,21174<x<274186,4<x<8,50<x<74,LOW
342, State_gov, Assoc_acdm, Own_child, Asian_Pac_Islander, Female, Iran,x>71,21174<x<274186,x>12,25<x<50,LOW
343, Federal_gov, Masters, Husband, Amer_Indian_Eskimo, Male, South,17<x<35,21174<x<274186,4<x<8,50<x<74,LOW
344, Self_emp_not_inc, HS_grad, Other_relative, Asian_Pac_Islander, Female, Haiti,17<x<35,21174<x<274186,x>12,25<x<50,LOW
345, Federal_gov, Masters, Not_in_family, Black, Male, Cuba,53<x<71,21174<x<274186,8<x<12,50<x<74,LOW
346, State_gov, Masters, Wife, White, Male, South,35<x<53,21174<x<274186,4<x<8,1<x<25,LOW
347, Private, Doctorate, Not_in_family, Black, Male, South,17<x<35,274186<x<527198,8<x<12,25<x<50,LOW
348, Private, 11th, Other_relative, White, Female, Taiwan,35<x<53,21174<x<274186,4<x<8,25<x<50,LOW
349, Self_emp_inc, 12th, Not_in_family, Black, Female, China,17<x<35,274186<x<527198,x>12,25<x<50,LOW
350, Federal_gov, Bachelors, Own_child, Other, Female, Philippines,17<x<35,21174<x<274186,1<x<4,25<x<50,LOW
351, Self_emp_not_inc, Assoc_voc, Own_child, Amer_Indian_Eskimo, Male, South,35<x<53,274186<x<527198,4<x<8,1<x<25,LOW
352, Private, 9th, Other_relative, White, Male, Iran,35<x<53,21174<x<274186,x<4,1<x<25,LOW
353, Local_gov, 9th, Not_in_family, Black, Male, Canada,35<x<53,274186<x<527198,x<4,1<x<25,LOW
354, Local_gov, HS_grad, Other_relative, Asian_Pac_Islander, Male, Philippines,35<x<53,274186<x<527198,x>12,50<x<74,LOW
355, Self_emp_not_inc, Masters, Husband, White, Male, Laos,35<x<53,21174<x<274186,1<x<4,1<x<25,LOW
356, State_gov, 5th_6th, Not_in_family, Asian_Pac_Islander, Female, Guatemala,35<x<53,21174<x<274186,4<x<8,1<x<25,LOW
357, Self_emp_not_inc, Assoc_acdm, Own_child, Black, Male, Germany,53<x<71,274186<x<527198,8<x<12,25<x<50,LOW
358, Self_emp_inc, Prof_school, Wife, Black, Male, Puerto_Rico,35<x<53,21174<x<274186,x>12,1<x<25,LOW
359, Local_gov, Bachelors, Unmarried, Black, Male, El_Salvador,53<x<71,274186<x<527198,4<x<8,50<x<74,LOW
360, State_gov, 7th_8th, Not_in_family, White, Female, Cambodia,17<x<35,21174<x<274186,8<x<12,1<x<25,LOW
361, Federal_gov, Prof_school, Own_child, Amer_Indian_Eskimo, Female, Poland,53<x<71,21174<x<274186,x>12,25<x<50,HIGH
362, State_gov, Some_college, Wife, Asian_Pac_Islander, Male, Germany,35<x<53,21174<x<274186,8<x<12,50<x<74,LOW
363, Private, Preschool, Husband, Other, Female, Philippines,17<x<35,21174<x<274186,x<4,x>74,LOW
364, Private, 5th_6th, Other_relative, Asian_Pac_Islander, Female, Philippines,35<x<53,21174<x<274186,x>12,1<x<25,LOW
365, State_gov, 5th_6th, Unmarried, White, Female, Ecuador,35<x<53,21174<x<274186,x<4,50<x<74,LOW
366, Private, 12th, Wife, Asian_Pac_Islander, Female, Italy,17<x<35,21174<x<274186,4<x<8,1<x<25,LOW
367, State_gov, 12th, Other_relative, Black, Male, Canada,35<x<53,21174<x<274186,4<x<8,25<x<50,LOW
368, Federal_gov, 1st_4th, Not_in_family, Black, Male, El_Salvador,35<x<53,21174<x<274186,4<x<8,x>74,LOW
369, State_gov, 1st_4th, Other_relative, Other, Female, Columbia,35<x<53,274186<x<527198,4<x<8,1<x<25,LOW
370, Federal_gov, Some_college, Other_relative, Amer_Indian_Eskimo, Female, Cuba,17<x<35,21174<x<274186,4<x<8,50<x<74,LOW
371, Private, 9th, Unmarried, Other, Female, Ecuador,35<x<53,274186<x<527198,1<x<4,25<x<50,LOW
372, Self_emp_not_inc, Preschool, Wife, Asian_Pac_Islander, Male, Yugoslavia,17<x<35,21174<x<274186,8<x<12,25<x<50,LOW
373, Self_emp_not_inc, Doctorate, Other_relative, White, Female, Germany,53<x<71,21174<x<274186,1<x<4,25<x<50,LOW
374, Federal_gov, 11th, Other_relative, Black, Female, Laos,53<x<71,21174<x<274186,x>12,25<x<50,LOW
375, Local_gov, Some_college, Not_in_family, Other, Male, India,53<x<71,21174<x<274186,x<4,1<x<25,LOW
376, Private, 1st_4th, Unmarried, Black, Female, South,x>71,21174<x<274186,4<x<8,50<x<74,LOW
377, Local_gov, Masters, Other_relative, Black, Female, United_States,x>71,21174<x<274186,x>12,x>74,LOW
378, Self_emp_not_inc, Preschool, Own_child, Asian_Pac_Islander, Female, India,17<x<35,21174<x<274186,4<x<8,1<x<25,LOW
379, Private, Bachelors, Unmarried, Amer_Indian_Eskimo, Male, Thailand,35<x<53,274186<x<527198,4<x<8,x<25,LOW
380, Federal_gov, Masters, Other_relative, Black, Female, Ecuador,17<x<35,21174<x<274186,x>12,50<x<74,LOW
381, State_gov, Some_college, Own_child, Black, Female, Germany,35<x<53,21174<x<274186,8<x<12,25<x<50,LOW
382, State_gov, 1st_4th, Unmarried, Amer_Indian_Eskimo, Male, Honduras,x>71,21174<x<274186,x>12,25<x<50,LOW
383, State_gov, HS_grad, Own_child, Other, Male, Columbia,53<x<71,274186<x<527198,4<x<8,x>74,LOW
384, Self_emp_inc, Preschool, Husband, White, Female, Dominican_Republic,x>71,21174<x<274186,x<4,25<x<50,LOW
385, Local_gov, 11th, Not_in_family, White, Female, South,53<x<71,21174<x<274186,1<x<4,1<x<25,LOW
386, Self_emp_not_inc, 12th, Not_in_family, Amer_Indian_Eskimo, Female, China,x<35,274186<x<527198,4<x<8,1<x<25,LOW
387, Local_gov, 12th, Not_in_family, Amer_Indian_Eskimo, Male, Puerto_Rico,35<x<53,21174<x<274186,1<x<4,50<x<74,LOW
388, Self_emp_not_inc, Masters, Unmarried, White, Female, Thailand,17<x<35,21174<x<274186,x>12,25<x<50,LOW
389, Local_gov, 7th_8th, Husband, Black, Male, Yugoslavia,x>71,21174<x<274186,8<x<12,25<x<50,LOW
390, State_gov, Masters, Wife, Other, Female, Ecuador,17<x<35,21174<x<274186,8<x<12,25<x<50,LOW
391, Local_gov, HS_grad, Not_in_family, Amer_Indian_Eskimo, Female, Columbia,53<x<71,21174<x<274186,x>12,25<x<50,LOW
392, Self_emp_not_inc, 11th, Own_child, Other, Male, Haiti,53<x<71,274186<x<527198,x>12,50<x<74,LOW
393, Self_emp_not_inc, 9th, Own_child, White, Female, Honduras,17<x<35,21174<x<274186,4<x<8,50<x<74,LOW
394, Private, Assoc_acdm, Not_in_family, Asian_Pac_Islander, Female, Yugoslavia,17<x<35,21174<x<274186,4<x<8,25<x<50,LOW
395, State_gov, 7th_8th, Own_child, Other, Male, Poland,17<x<35,274186<x<527198,4<x<8,x>74,LOW
396, Self_emp_not_inc, 12th, Other_relative, Other, Male, Germany,35<x<53,21174<x<274186,x>12,25<x<50,LOW
397, Self_emp_not_inc, Assoc_voc, Other_relative, White, Female, Portugal,35<x<53,21174<x<274186,1<x<4,1<x<25,LOW
398, Federal_gov, 12th, Not_in_family, Amer_Indian_Eskimo, Male, Philippines,17<x<35,21174<x<274186,8<x<12,25<x<50,LOW
399, State_gov, 10th, Husband, Amer_Indian_Eskimo, Female, Portugal,53<x<71,21174<x<274186,1<x<4,25<x<50,LOW
400, Self_emp_inc, 9th, Husband, Asian_Pac_Islander, Female, Jamaica,53<x<71,21174<x<274186,x>12,25<x<50,HIGH
401, Federal_gov, Masters, Wife, White, Female, Taiwan,17<x<35,21174<x<274186,8<x<12,50<x<74,LOW
402, State_gov, Assoc_acdm, Own_child, White, Male, Jamaica,53<x<71,21174<x<274186,x>12,1<x<25,LOW
403, Federal_gov, 12th, Not_in_family, Black, Female, Puerto_Rico,17<x<35,21174<x<274186,1<x<4,25<x<50,LOW
404, Federal_gov, 9th, Husband, Asian_Pac_Islander, Female, Mexico,17<x<35,21174<x<274186,4<x<8,25<x<50,LOW
405, Self_emp_not_inc, Prof_school, Other_relative, Black, Female, Portugal,35<x<53,21174<x<274186,x>12,x<25,LOW
406, Federal_gov, Prof_school, Not_in_family, White, Female, El_Salvador,53<x<71,21174<x<274186,1<x<4,25<x<50,LOW
407, Federal_gov, Bachelors, Wife, Amer_Indian_Eskimo, Male, South,17<x<35,21174<x<274186,x>12,1<x<25,LOW
408, Self_emp_not_inc, Assoc_voc, Unmarried, Black, Female, Haiti,53<x<71,21174<x<274186,x>12,25<x<50,LOW
409, Self_emp_inc, Masters, Other_relative, Other, Female, Poland,x>71,21174<x<274186,x<4,25<x<50,LOW
410, Federal_gov, 5th_6th, Wife, Other, Female, Poland,x>71,21174<x<274186,1<x<4,1<x<25,LOW
411, Federal_gov, Preschool, Own_child, Other, Female, Philippines,35<x<53,274186<x<527198,4<x<8,1<x<25,LOW
412, Private, Bachelors, Other_relative, White, Male, England,53<x<71,21174<x<274186,4<x<8,1<x<25,LOW
413, State_gov, 11th, Other_relative, Amer_Indian_Eskimo, Male, Honduras,53<x<71,21174<x<274186,8<x<12,1<x<25,LOW
414, State_gov, Assoc_voc, Other_relative, Asian_Pac_Islander, Male, Mexico,17<x<35,21174<x<274186,4<x<8,25<x<50,LOW
415, State_gov, Some_college, Husband, Asian_Pac_Islander, Female, Thailand,35<x<53,21174<x<274186,8<x<12,25<x<50,HIGH
416, Self_emp_inc, Some_college, Own_child, Amer_Indian_Eskimo, Female, Iran,35<x<53,21174<x<274186,1<x<4,25<x<50,LOW
417, Federal_gov, Prof_school, Own_child, Asian_Pac_Islander, Female, Germany,x>71,21174<x<274186,4<x<8,50<x<74,LOW
418, Self_emp_not_inc, 12th, Husband, Amer_Indian_Eskimo, Female, China,53<x<71,21174<x<274186,4<x<8,1<x<25,LOW
419, Local_gov, Assoc_voc, Other_relative, White, Female, Columbia,17<x<35,21174<x<274186,x>12,50<x<74,LOW
420, Self_emp_inc, Bachelors, Husband, White, Male, Honduras,53<x<71,21174<x<274186,x>12,1<x<25,LOW
421, Self_emp_inc, 7th_8th, Husband, Black, Male, Canada,35<x<53,21174<x<274186,4<x<8,25<x<50,LOW
422, Private, 10th, Not_in_family, Amer_Indian_Eskimo, Male, Dominican_Republic,35<x<53,21174<x<274186,x>12,1<x<25,LOW
423, Private, Assoc_voc, Husband, White, Female, Thailand,53<x<71,21174<x<274186,4<x<8,25<x<50,LOW
424, State_gov, 11th, Husband, White, Female, France,35<x<53,21174<x<274186,x>12,1<x<25,LOW
425, Self_emp_inc, Assoc_voc, Wife, Amer_Indian_Eskimo, Male, Poland,35<x<53,21174<x<274186,4<x<8,1<x<25,LOW
426, Self_emp_inc, Bachelors, Other_relative, White, Female, Yugoslavia,53<x<71,21174<x<274186,4<x<8,x>74,LOW
427, Local_gov, 1st_4th, Not_in_family, Other, Male, Germany,x>71,21174<x<274186,8<x<12,25<x<50,LOW
428, Self_emp_inc, 11th, Other_relative, Other, Female, India,53<x<71,21174<x<274186,8<x<12,1<x<25,LOW
429, Federal_gov, Some_college, Own_child, Black, Male, Iran,x>71,21174<x<274186,x>12,1<x<25,LOW
430, Self_emp_inc, Some_college, Wife, Other, Male, Honduras,53<x<71,21174<x<274186,x>12,1<x<25,LOW
431, Federal_gov, 11th, Wife, Asian_Pac_Islander, Male, Yugoslavia,53<x<71,274186<x<527198,4<x<8,25<x<50,LOW
432, Self_emp_not_inc, Masters, Other_relative, Amer_Indian_Eskimo, Female, England,x>71,21174<x<274186,8<x<12,x<25,LOW
433, Private, Masters, Own_child, Black, Male, Portugal,53<x<71,21174<x<274186,8<x<12,25<x<50,LOW
434, Self_emp_inc, 7th_8th, Own_child, Asian_Pac_Islander, Male, South,53<x<71,21174<x<274186,x>12,x>74,LOW
435, Private, 7th_8th, Not_in_family, Black, Male, France,53<x<71,21174<x<274186,x>12,50<x<74,LOW
436, Federal_gov, 9th, Other_relative, White, Male, Canada,x>71,21174<x<274186,1<x<4,25<x<50,LOW
437, Local_gov, Some_college, Unmarried, White, Female, India,x>71,21174<x<274186,8<x<12,50<x<74,LOW
438, Self_emp_inc, Doctorate, Wife, Asian_Pac_Islander, Male, Germany,35<x<53,21174<x<274186,4<x<8,25<x<50,LOW
439, Self_emp_inc, Prof_school, Unmarried, Other, Male, Philippines,53<x<71,21174<x<274186,8<x<12,50<x<74,HIGH
