gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,raisedhands,VisITedResources,AnnouncementsView,Discussion,class
F,USA,SaudiArabia,MiddleSchool,G-11,C,Quran,S,Father,No,Good,Under-7,x>75,x>74,24<x<49,1<x<25,2
F,Palestine,SaudiArabia,HighSchool,G-10,C,IT,F,Mum,Yes,Good,Above-7,50<x<75,24<x<49,0<x<24,1<x<25,2
F,lebanon,Morocco,lowerlevel,G-08,A,History,S,Father,No,Bad,Above-7,x>75,49<x<74,x>73,1<x<25,2
F,Palestine,Iran,HighSchool,G-08,C,Geology,S,Mum,Yes,Bad,Under-7,x>75,x>74,x>73,25<x<50,0
F,USA,Syria,lowerlevel,G-10,C,Chemistry,S,Mum,Yes,Bad,Above-7,0<x<25,24<x<49,49<x<73,50<x<74,1
F,Tunis,Palestine,HighSchool,G-02,C,Biology,F,Mum,Yes,Bad,Above-7,0<x<25,0<x<24,24<x<49,25<x<50,1
M,lebanon,Iraq,MiddleSchool,G-10,B,Science,F,Father,Yes,Bad,Above-7,0<x<25,49<x<74,24<x<49,1<x<25,1
M,Tunis,lebanon,MiddleSchool,G-05,B,French,F,Mum,No,Bad,Under-7,0<x<25,0<x<24,49<x<73,x>74,2
M,KW,SaudiArabia,lowerlevel,G-06,C,History,S,Mum,Yes,Good,Above-7,0<x<25,24<x<49,24<x<49,50<x<74,1
M,USA,venzuela,HighSchool,G-09,A,French,F,Father,No,Bad,Above-7,0<x<25,24<x<49,24<x<49,x>74,2
F,Jordan,Morocco,lowerlevel,G-12,B,Geology,F,Father,Yes,Bad,Under-7,x>75,0<x<24,49<x<73,x>74,2
M,Tunis,lebanon,MiddleSchool,G-04,C,French,S,Mum,Yes,Bad,Under-7,50<x<75,49<x<74,0<x<24,25<x<50,0
M,KW,Morocco,lowerlevel,G-05,B,Chemistry,S,Mum,No,Good,Above-7,25<x<50,24<x<49,0<x<24,x>74,1
M,KW,SaudiArabia,HighSchool,G-11,B,French,F,Mum,Yes,Good,Under-7,0<x<25,49<x<74,x>73,25<x<50,2
M,lebanon,Egypt,MiddleSchool,G-06,B,Spanish,S,Father,No,Good,Above-7,25<x<50,x>74,0<x<24,50<x<74,2
M,Egypt,Morocco,HighSchool,G-10,B,Quran,F,Father,No,Bad,Under-7,0<x<25,49<x<74,x>73,x>74,2
F,Iran,venzuela,MiddleSchool,G-07,B,French,F,Mum,No,Good,Under-7,x>75,24<x<49,0<x<24,1<x<25,0
F,KW,Morocco,MiddleSchool,G-09,C,Science,S,Mum,No,Good,Above-7,25<x<50,0<x<24,0<x<24,25<x<50,2
F,venzuela,Palestine,lowerlevel,G-07,B,History,F,Father,Yes,Good,Under-7,50<x<75,x>74,x>73,1<x<25,2
F,KW,KuwaIT,HighSchool,G-09,A,IT,S,Mum,Yes,Bad,Above-7,0<x<25,24<x<49,0<x<24,x<1,1
M,Iraq,venzuela,lowerlevel,G-08,A,English,S,Mum,Yes,Good,Above-7,x>75,x>74,49<x<73,1<x<25,2
F,Jordan,Morocco,MiddleSchool,G-12,A,Biology,F,Mum,Yes,Bad,Above-7,50<x<75,0<x<24,24<x<49,50<x<74,1
M,Lybia,Syria,lowerlevel,G-04,B,Math,S,Father,Yes,Good,Above-7,0<x<25,24<x<49,49<x<73,1<x<25,2
M,venzuela,Lybia,HighSchool,G-02,A,Chemistry,F,Mum,No,Bad,Above-7,0<x<25,49<x<74,x>73,50<x<74,1
F,Iran,USA,HighSchool,G-12,A,Math,F,Mum,No,Good,Above-7,0<x<25,0<x<24,24<x<49,1<x<25,1
F,Iraq,KuwaIT,lowerlevel,G-10,A,History,F,Mum,Yes,Good,Under-7,50<x<75,49<x<74,0<x<24,1<x<25,0
M,USA,venzuela,lowerlevel,G-06,A,Arabic,F,Father,Yes,Good,Under-7,50<x<75,0<x<24,24<x<49,25<x<50,0
F,Lybia,Morocco,HighSchool,G-11,A,IT,S,Mum,No,Good,Under-7,0<x<25,24<x<49,49<x<73,1<x<25,2
F,SaudiArabia,venzuela,HighSchool,G-12,C,English,S,Mum,Yes,Bad,Under-7,0<x<25,x>74,0<x<24,x<1,2
M,Tunis,venzuela,lowerlevel,G-07,C,Science,F,Mum,No,Good,Under-7,0<x<25,49<x<74,24<x<49,25<x<50,2
M,Palestine,lebanon,HighSchool,G-07,A,Spanish,F,Father,No,Good,Above-7,50<x<75,x>74,49<x<73,25<x<50,2
M,Lybia,Morocco,HighSchool,G-04,A,Spanish,S,Mum,No,Good,Under-7,x>75,x>74,49<x<73,25<x<50,2
M,Palestine,Egypt,HighSchool,G-09,C,Math,F,Mum,No,Good,Under-7,0<x<25,x>74,24<x<49,x>74,2
F,Iraq,Syria,MiddleSchool,G-07,B,English,F,Father,Yes,Good,Above-7,x>75,49<x<74,0<x<24,50<x<74,2
M,KW,Morocco,lowerlevel,G-08,A,Quran,F,Mum,Yes,Good,Under-7,25<x<50,49<x<74,x>73,x>74,0
M,SaudiArabia,SaudiArabia,lowerlevel,G-09,A,Arabic,S,Mum,Yes,Good,Under-7,0<x<25,x>74,49<x<73,25<x<50,2
F,Iraq,USA,lowerlevel,G-07,A,Science,F,Mum,Yes,Bad,Under-7,x>75,24<x<49,24<x<49,1<x<25,2
M,Palestine,SaudiArabia,lowerlevel,G-06,B,French,S,Father,Yes,Good,Above-7,25<x<50,x>74,24<x<49,1<x<25,2
M,venzuela,Palestine,HighSchool,G-11,A,Arabic,F,Mum,No,Good,Above-7,x>75,x>74,24<x<49,x>74,1
M,Iran,Tunis,lowerlevel,G-04,C,Quran,S,Father,Yes,Good,Under-7,0<x<25,49<x<74,49<x<73,1<x<25,2
M,Palestine,KuwaIT,MiddleSchool,G-08,C,Science,S,Mum,No,Good,Above-7,50<x<75,49<x<74,0<x<24,25<x<50,2
F,SaudiArabia,Jordan,lowerlevel,G-02,A,Quran,S,Mum,Yes,Good,Under-7,25<x<50,24<x<49,24<x<49,x<1,0
M,Iran,Tunis,lowerlevel,G-10,B,Spanish,S,Mum,No,Good,Above-7,50<x<75,49<x<74,49<x<73,50<x<74,2
F,KW,Egypt,lowerlevel,G-12,A,History,F,Father,No,Bad,Above-7,50<x<75,x>74,49<x<73,25<x<50,2
M,Iraq,Jordan,HighSchool,G-02,C,English,S,Father,Yes,Bad,Above-7,50<x<75,x>74,x>73,25<x<50,2
F,Lybia,lebanon,HighSchool,G-07,B,Science,S,Father,No,Bad,Under-7,50<x<75,x>74,x>73,1<x<25,2
F,Lybia,USA,MiddleSchool,G-08,C,Math,F,Father,No,Bad,Above-7,50<x<75,49<x<74,x>73,x>74,2
M,USA,Lybia,MiddleSchool,G-06,A,Spanish,F,Father,No,Bad,Under-7,x>75,0<x<24,49<x<73,25<x<50,2
F,USA,SaudiArabia,HighSchool,G-09,A,Science,S,Mum,Yes,Bad,Above-7,x>75,x>74,0<x<24,1<x<25,2
F,Egypt,lebanon,HighSchool,G-08,B,English,S,Mum,No,Bad,Above-7,50<x<75,49<x<74,24<x<49,x>74,2
F,Morocco,Palestine,MiddleSchool,G-06,C,Math,S,Father,Yes,Good,Under-7,0<x<25,x>74,24<x<49,25<x<50,2
F,KW,venzuela,lowerlevel,G-12,C,Geology,S,Mum,No,Bad,Under-7,x>75,0<x<24,0<x<24,x>74,2
F,Jordan,Tunis,HighSchool,G-11,A,History,F,Father,No,Good,Under-7,50<x<75,x>74,0<x<24,x>74,2
F,KW,Morocco,lowerlevel,G-02,A,Geology,S,Father,No,Good,Above-7,50<x<75,x>74,x>73,x>74,2
F,Palestine,Iraq,lowerlevel,G-06,A,History,F,Mum,No,Good,Under-7,50<x<75,0<x<24,x>73,x>74,0
M,venzuela,Tunis,MiddleSchool,G-02,A,Arabic,F,Mum,Yes,Bad,Above-7,25<x<50,0<x<24,0<x<24,x>74,1
M,KW,Palestine,MiddleSchool,G-08,B,English,F,Mum,Yes,Bad,Under-7,25<x<50,24<x<49,0<x<24,1<x<25,0
M,USA,venzuela,lowerlevel,G-08,A,English,F,Mum,No,Good,Under-7,50<x<75,49<x<74,24<x<49,x>74,0
F,USA,Tunis,lowerlevel,G-08,C,Chemistry,S,Father,Yes,Good,Under-7,0<x<25,49<x<74,0<x<24,25<x<50,2
M,KW,Egypt,lowerlevel,G-07,A,Spanish,F,Mum,Yes,Good,Above-7,x>75,49<x<74,x>73,1<x<25,2
M,SaudiArabia,SaudiArabia,HighSchool,G-11,A,Math,F,Mum,No,Good,Above-7,25<x<50,24<x<49,0<x<24,50<x<74,2
M,USA,venzuela,HighSchool,G-09,C,Quran,F,Mum,Yes,Bad,Above-7,0<x<25,0<x<24,x>73,1<x<25,1
M,Lybia,lebanon,MiddleSchool,G-08,A,History,S,Father,Yes,Good,Under-7,50<x<75,24<x<49,0<x<24,x>74,2
F,Jordan,USA,MiddleSchool,G-04,C,Spanish,F,Father,Yes,Good,Under-7,x>75,x>74,0<x<24,25<x<50,2
M,Palestine,KuwaIT,lowerlevel,G-07,A,History,F,Mum,No,Good,Above-7,25<x<50,24<x<49,0<x<24,25<x<50,1
F,Iraq,Syria,MiddleSchool,G-05,A,French,F,Mum,No,Bad,Above-7,x>75,24<x<49,0<x<24,50<x<74,1
M,Jordan,lebanon,lowerlevel,G-11,A,IT,S,Mum,Yes,Good,Under-7,0<x<25,x<0,0<x<24,50<x<74,2
F,Iran,KuwaIT,HighSchool,G-02,C,History,S,Mum,No,Good,Above-7,25<x<50,49<x<74,0<x<24,50<x<74,2
F,Syria,Iran,lowerlevel,G-07,B,French,S,Mum,Yes,Good,Above-7,50<x<75,24<x<49,x>73,1<x<25,1
M,Jordan,Iraq,HighSchool,G-02,B,French,S,Father,Yes,Bad,Above-7,25<x<50,0<x<24,49<x<73,x>74,2
M,SaudiArabia,Jordan,lowerlevel,G-02,A,Spanish,S,Mum,No,Good,Above-7,x>75,x>74,24<x<49,50<x<74,2
M,Egypt,Iran,HighSchool,G-08,B,Math,S,Father,No,Good,Under-7,x>75,24<x<49,x>73,1<x<25,2
F,Lybia,Jordan,HighSchool,G-02,A,IT,S,Mum,No,Good,Above-7,50<x<75,x>74,x>73,x<1,2
F,Lybia,Morocco,HighSchool,G-05,A,IT,S,Father,No,Good,Under-7,x>75,0<x<24,49<x<73,50<x<74,2
M,Jordan,Iran,HighSchool,G-08,C,English,S,Father,No,Bad,Under-7,25<x<50,49<x<74,24<x<49,x<1,2
M,Iran,Morocco,MiddleSchool,G-06,B,Geology,S,Father,No,Good,Above-7,x>75,49<x<74,0<x<24,25<x<50,1
F,venzuela,Iraq,MiddleSchool,G-02,B,Arabic,S,Father,Yes,Bad,Under-7,25<x<50,49<x<74,0<x<24,x>74,2
M,Syria,KuwaIT,MiddleSchool,G-02,A,Geology,S,Father,Yes,Good,Under-7,0<x<25,24<x<49,49<x<73,x>74,2
M,Palestine,venzuela,lowerlevel,G-05,C,Chemistry,F,Mum,Yes,Bad,Under-7,0<x<25,0<x<24,24<x<49,25<x<50,2
F,Morocco,venzuela,lowerlevel,G-07,B,Science,F,Father,No,Bad,Above-7,x>75,0<x<24,0<x<24,x>74,2
M,venzuela,Iran,lowerlevel,G-06,B,History,S,Father,Yes,Good,Under-7,x>75,0<x<24,x>73,1<x<25,2
F,Iran,lebanon,MiddleSchool,G-06,A,History,S,Father,Yes,Good,Under-7,x>75,49<x<74,24<x<49,x>74,2
M,Syria,SaudiArabia,lowerlevel,G-08,C,English,S,Mum,Yes,Good,Under-7,0<x<25,24<x<49,0<x<24,25<x<50,2
F,Palestine,Tunis,MiddleSchool,G-08,A,English,S,Father,Yes,Bad,Above-7,0<x<25,24<x<49,24<x<49,1<x<25,2
M,Palestine,Iraq,MiddleSchool,G-04,A,Arabic,S,Mum,Yes,Bad,Under-7,0<x<25,x>74,0<x<24,1<x<25,0
M,Jordan,Syria,HighSchool,G-12,A,IT,F,Father,Yes,Bad,Under-7,x>75,49<x<74,x>73,25<x<50,0
M,Syria,Tunis,lowerlevel,G-08,B,French,S,Mum,Yes,Good,Above-7,25<x<50,x>74,x>73,50<x<74,2
M,lebanon,Iraq,HighSchool,G-08,B,English,S,Father,Yes,Good,Under-7,x>75,0<x<24,24<x<49,1<x<25,2
M,SaudiArabia,KuwaIT,lowerlevel,G-08,C,Geology,S,Father,Yes,Good,Under-7,x>75,24<x<49,49<x<73,1<x<25,2
M,Lybia,Tunis,MiddleSchool,G-04,B,History,S,Father,No,Good,Under-7,50<x<75,x>74,49<x<73,25<x<50,2
F,Egypt,Palestine,lowerlevel,G-09,C,IT,F,Mum,No,Bad,Under-7,25<x<50,49<x<74,24<x<49,50<x<74,2
M,Iran,Egypt,HighSchool,G-04,B,Science,S,Mum,No,Bad,Under-7,25<x<50,x>74,0<x<24,25<x<50,2
M,Iran,lebanon,MiddleSchool,G-02,A,Geology,F,Father,No,Bad,Under-7,50<x<75,49<x<74,x>73,25<x<50,2
F,Egypt,lebanon,lowerlevel,G-12,B,History,F,Mum,No,Good,Above-7,0<x<25,24<x<49,x>73,1<x<25,1
F,Palestine,Egypt,lowerlevel,G-11,B,French,F,Mum,No,Good,Above-7,25<x<50,24<x<49,24<x<49,x>74,1
F,Palestine,Iran,MiddleSchool,G-12,B,Math,S,Father,No,Bad,Above-7,x>75,x>74,x>73,50<x<74,0
M,Lybia,Iran,lowerlevel,G-09,A,French,F,Father,No,Good,Above-7,x>75,49<x<74,24<x<49,25<x<50,2
F,Palestine,Morocco,HighSchool,G-08,A,Spanish,S,Father,Yes,Bad,Above-7,0<x<25,x>74,x>73,25<x<50,2
M,USA,Egypt,lowerlevel,G-11,A,Chemistry,F,Father,Yes,Good,Above-7,0<x<25,24<x<49,49<x<73,25<x<50,1
F,Iraq,Tunis,HighSchool,G-05,B,Quran,F,Father,Yes,Good,Under-7,x>75,0<x<24,x>73,25<x<50,2
M,KW,Lybia,MiddleSchool,G-09,A,Science,S,Father,No,Bad,Above-7,0<x<25,24<x<49,0<x<24,25<x<50,1
F,USA,Morocco,MiddleSchool,G-07,C,Arabic,F,Mum,Yes,Good,Under-7,0<x<25,x>74,0<x<24,25<x<50,0
F,USA,Tunis,MiddleSchool,G-05,C,Science,F,Father,Yes,Good,Above-7,x>75,x>74,x>73,50<x<74,2
F,Morocco,Jordan,MiddleSchool,G-02,B,Arabic,F,Mum,No,Good,Under-7,0<x<25,49<x<74,24<x<49,50<x<74,0
M,Jordan,KuwaIT,MiddleSchool,G-07,B,Arabic,S,Father,No,Bad,Above-7,0<x<25,49<x<74,x>73,x>74,1
F,Iran,Palestine,HighSchool,G-09,B,Science,S,Mum,No,Bad,Under-7,x>75,x>74,24<x<49,x>74,0
M,Morocco,Morocco,HighSchool,G-12,A,Geology,F,Mum,No,Bad,Above-7,x>75,x>74,0<x<24,25<x<50,2
M,Palestine,Morocco,MiddleSchool,G-11,B,History,S,Mum,No,Good,Above-7,50<x<75,49<x<74,24<x<49,x>74,2
F,Syria,SaudiArabia,lowerlevel,G-11,A,Spanish,S,Father,No,Good,Under-7,25<x<50,0<x<24,x>73,x>74,2
F,lebanon,Iran,lowerlevel,G-06,B,English,F,Mum,Yes,Good,Above-7,0<x<25,0<x<24,49<x<73,x>74,1
M,lebanon,Lybia,HighSchool,G-09,A,Chemistry,F,Father,Yes,Bad,Under-7,x>75,x>74,0<x<24,25<x<50,0
F,Lybia,venzuela,HighSchool,G-04,C,Geology,S,Father,No,Good,Under-7,x>75,x>74,0<x<24,25<x<50,2
F,Egypt,SaudiArabia,lowerlevel,G-11,A,Arabic,F,Father,Yes,Good,Under-7,0<x<25,24<x<49,24<x<49,1<x<25,2
F,KW,Egypt,MiddleSchool,G-07,A,Biology,S,Mum,Yes,Good,Under-7,0<x<25,49<x<74,49<x<73,1<x<25,0
M,Tunis,Tunis,lowerlevel,G-11,A,Math,F,Mum,No,Good,Under-7,x>75,x>74,0<x<24,25<x<50,2
F,Palestine,Palestine,MiddleSchool,G-07,C,History,S,Mum,No,Good,Above-7,0<x<25,0<x<24,49<x<73,50<x<74,1
F,Iran,Lybia,MiddleSchool,G-12,A,Science,S,Father,Yes,Good,Above-7,25<x<50,0<x<24,24<x<49,x>74,2
M,Tunis,lebanon,lowerlevel,G-12,B,Biology,F,Father,No,Bad,Under-7,50<x<75,49<x<74,x>73,25<x<50,2
M,Palestine,Jordan,MiddleSchool,G-02,C,French,S,Father,No,Good,Under-7,x>75,0<x<24,24<x<49,1<x<25,2
M,venzuela,KuwaIT,HighSchool,G-05,A,French,F,Mum,Yes,Good,Above-7,50<x<75,x>74,49<x<73,x>74,2
F,Lybia,Egypt,MiddleSchool,G-06,A,French,S,Mum,Yes,Bad,Under-7,x>75,x>74,24<x<49,x>74,0
M,Iran,Iran,lowerlevel,G-08,A,Chemistry,F,Father,Yes,Bad,Above-7,50<x<75,24<x<49,x>73,50<x<74,1
M,Morocco,Syria,lowerlevel,G-05,B,Arabic,F,Mum,No,Bad,Above-7,0<x<25,0<x<24,49<x<73,50<x<74,1
F,venzuela,SaudiArabia,HighSchool,G-09,C,Science,F,Father,Yes,Good,Under-7,50<x<75,0<x<24,x>73,1<x<25,2
M,KW,Iraq,MiddleSchool,G-04,A,IT,S,Father,No,Bad,Above-7,0<x<25,x>74,24<x<49,x>74,2
M,Iraq,SaudiArabia,HighSchool,G-02,B,Quran,S,Mum,No,Bad,Under-7,25<x<50,x>74,24<x<49,1<x<25,2
F,venzuela,Morocco,HighSchool,G-12,B,Arabic,S,Mum,No,Good,Above-7,0<x<25,24<x<49,0<x<24,1<x<25,1
M,Egypt,Lybia,lowerlevel,G-08,C,Chemistry,S,Father,Yes,Bad,Above-7,x>75,x>74,24<x<49,x>74,2
F,venzuela,lebanon,HighSchool,G-11,A,English,S,Mum,No,Bad,Under-7,x>75,49<x<74,x>73,25<x<50,0
M,Syria,Jordan,HighSchool,G-05,B,English,S,Mum,No,Good,Under-7,0<x<25,x<0,0<x<24,1<x<25,0
M,Iraq,venzuela,HighSchool,G-04,C,Quran,F,Father,Yes,Good,Under-7,50<x<75,x>74,49<x<73,1<x<25,2
F,Palestine,Lybia,lowerlevel,G-05,B,History,S,Mum,No,Bad,Above-7,50<x<75,x>74,0<x<24,25<x<50,2
M,Iran,SaudiArabia,MiddleSchool,G-08,C,Chemistry,S,Father,No,Good,Under-7,x>75,49<x<74,x>73,25<x<50,2
F,KW,lebanon,HighSchool,G-05,A,IT,F,Father,No,Good,Above-7,50<x<75,x>74,49<x<73,1<x<25,2
F,SaudiArabia,Palestine,lowerlevel,G-06,B,Quran,F,Mum,Yes,Bad,Under-7,0<x<25,49<x<74,0<x<24,1<x<25,2
F,venzuela,venzuela,MiddleSchool,G-05,B,French,S,Father,Yes,Good,Above-7,0<x<25,49<x<74,0<x<24,1<x<25,1
F,Egypt,KuwaIT,lowerlevel,G-07,B,IT,F,Mum,Yes,Good,Above-7,0<x<25,x>74,24<x<49,50<x<74,2
M,Iran,lebanon,lowerlevel,G-05,C,Spanish,S,Mum,No,Good,Above-7,0<x<25,x>74,0<x<24,1<x<25,2
F,Iraq,USA,MiddleSchool,G-02,A,Geology,F,Father,Yes,Good,Above-7,x>75,0<x<24,24<x<49,50<x<74,2
M,Syria,venzuela,HighSchool,G-11,B,Quran,F,Father,No,Good,Above-7,50<x<75,0<x<24,24<x<49,x>74,2
M,Iraq,SaudiArabia,MiddleSchool,G-12,A,Spanish,S,Mum,Yes,Good,Above-7,0<x<25,x>74,24<x<49,1<x<25,2
M,Iran,Palestine,HighSchool,G-10,A,History,S,Father,Yes,Good,Under-7,25<x<50,0<x<24,0<x<24,1<x<25,2
M,Iran,KuwaIT,MiddleSchool,G-09,A,History,F,Mum,Yes,Bad,Above-7,0<x<25,24<x<49,49<x<73,x>74,1
M,venzuela,Morocco,MiddleSchool,G-02,C,Geology,F,Mum,Yes,Bad,Under-7,x>75,x>74,49<x<73,25<x<50,0
M,Iran,Iraq,HighSchool,G-08,A,Math,F,Mum,Yes,Bad,Under-7,x>75,24<x<49,0<x<24,50<x<74,0
M,Tunis,Palestine,HighSchool,G-02,C,History,F,Father,No,Good,Under-7,0<x<25,x>74,0<x<24,50<x<74,2
F,Morocco,Iraq,MiddleSchool,G-08,A,Biology,S,Father,Yes,Bad,Under-7,25<x<50,x>74,49<x<73,25<x<50,2
F,KW,SaudiArabia,HighSchool,G-07,C,IT,S,Father,Yes,Bad,Under-7,x>75,24<x<49,24<x<49,25<x<50,2
F,Morocco,SaudiArabia,lowerlevel,G-11,A,English,S,Father,No,Good,Under-7,0<x<25,49<x<74,49<x<73,x>74,2
F,Egypt,Egypt,lowerlevel,G-09,C,English,F,Father,No,Good,Above-7,25<x<50,24<x<49,x>73,x>74,2
M,Syria,Egypt,HighSchool,G-07,C,Geology,F,Father,Yes,Good,Under-7,50<x<75,49<x<74,x>73,50<x<74,2
F,Syria,Syria,lowerlevel,G-07,C,History,F,Father,No,Bad,Under-7,x>75,24<x<49,24<x<49,x>74,2
M,Morocco,Syria,HighSchool,G-10,A,Geology,F,Father,No,Good,Under-7,50<x<75,24<x<49,x>73,x>74,2
M,Syria,venzuela,lowerlevel,G-04,A,Science,F,Mum,Yes,Good,Above-7,0<x<25,x>74,49<x<73,25<x<50,2
M,Palestine,lebanon,HighSchool,G-07,C,Geology,S,Mum,Yes,Bad,Above-7,0<x<25,49<x<74,x>73,50<x<74,1
F,Lybia,Iran,lowerlevel,G-10,B,Science,F,Mum,Yes,Bad,Under-7,25<x<50,0<x<24,x>73,50<x<74,0
F,Palestine,KuwaIT,lowerlevel,G-05,A,IT,F,Father,Yes,Bad,Above-7,x>75,x>74,0<x<24,x>74,2
F,Palestine,venzuela,MiddleSchool,G-02,C,Arabic,F,Mum,Yes,Good,Under-7,x>75,49<x<74,49<x<73,50<x<74,0
M,Morocco,Iran,lowerlevel,G-12,B,Math,F,Mum,Yes,Good,Above-7,x>75,x>74,49<x<73,25<x<50,0
M,Iraq,SaudiArabia,MiddleSchool,G-12,A,English,F,Mum,Yes,Good,Under-7,50<x<75,24<x<49,x>73,50<x<74,0
F,Iran,lebanon,lowerlevel,G-09,C,Spanish,S,Mum,No,Bad,Under-7,25<x<50,x>74,0<x<24,50<x<74,0
F,Lybia,Tunis,HighSchool,G-04,C,Quran,S,Father,No,Good,Above-7,25<x<50,24<x<49,49<x<73,1<x<25,1
F,lebanon,Egypt,HighSchool,G-10,C,IT,F,Father,Yes,Bad,Above-7,0<x<25,0<x<24,24<x<49,25<x<50,1
M,Egypt,SaudiArabia,MiddleSchool,G-06,C,French,S,Mum,No,Good,Above-7,x>75,49<x<74,49<x<73,x>74,2
M,Syria,USA,MiddleSchool,G-07,A,Arabic,F,Mum,Yes,Bad,Under-7,x>75,0<x<24,24<x<49,1<x<25,0
M,Iraq,KuwaIT,lowerlevel,G-02,A,Spanish,F,Father,No,Bad,Under-7,x>75,0<x<24,49<x<73,x>74,2
F,Egypt,SaudiArabia,MiddleSchool,G-09,A,Arabic,F,Father,No,Bad,Under-7,50<x<75,x>74,49<x<73,25<x<50,2
M,KW,Lybia,MiddleSchool,G-04,A,Geology,F,Father,Yes,Good,Under-7,0<x<25,x>74,0<x<24,1<x<25,2
M,Palestine,Egypt,MiddleSchool,G-04,B,Math,F,Mum,No,Bad,Under-7,0<x<25,x>74,x>73,1<x<25,2
M,Egypt,lebanon,HighSchool,G-05,C,English,S,Mum,No,Good,Above-7,x>75,x>74,24<x<49,1<x<25,2
F,Lybia,Egypt,MiddleSchool,G-02,B,History,S,Mum,No,Bad,Under-7,25<x<50,x>74,0<x<24,50<x<74,0
F,SaudiArabia,Jordan,lowerlevel,G-07,B,Spanish,S,Mum,No,Good,Above-7,50<x<75,x>74,49<x<73,x>74,2
M,USA,lebanon,MiddleSchool,G-12,A,History,F,Father,Yes,Good,Under-7,50<x<75,x>74,x>73,1<x<25,2
M,Palestine,KuwaIT,HighSchool,G-04,A,Quran,S,Mum,Yes,Bad,Above-7,x>75,49<x<74,0<x<24,x<1,2
F,lebanon,lebanon,MiddleSchool,G-02,C,History,F,Mum,Yes,Bad,Under-7,x<0,0<x<24,x>73,25<x<50,2
M,Iraq,Jordan,HighSchool,G-05,A,Math,F,Father,No,Bad,Above-7,50<x<75,x>74,0<x<24,1<x<25,2
F,Lybia,Syria,HighSchool,G-11,C,French,S,Father,Yes,Good,Above-7,0<x<25,49<x<74,24<x<49,x>74,2
M,Tunis,lebanon,HighSchool,G-11,A,Quran,S,Mum,No,Bad,Above-7,0<x<25,24<x<49,24<x<49,1<x<25,1
F,Syria,Iraq,lowerlevel,G-05,A,French,F,Mum,Yes,Good,Under-7,50<x<75,x>74,24<x<49,x>74,0
M,Morocco,Iraq,MiddleSchool,G-12,B,Quran,F,Mum,No,Bad,Under-7,x>75,49<x<74,x>73,1<x<25,2
F,SaudiArabia,Lybia,lowerlevel,G-08,A,English,S,Father,No,Bad,Above-7,0<x<25,24<x<49,49<x<73,x>74,1
F,USA,Iraq,lowerlevel,G-11,B,Math,S,Mum,No,Bad,Above-7,0<x<25,24<x<49,49<x<73,50<x<74,1
F,Jordan,Lybia,lowerlevel,G-08,A,Spanish,S,Father,No,Bad,Above-7,0<x<25,49<x<74,x<0,25<x<50,1
M,Iraq,Jordan,HighSchool,G-02,A,IT,F,Father,No,Good,Under-7,x>75,49<x<74,49<x<73,25<x<50,2
M,Lybia,Tunis,lowerlevel,G-06,C,Quran,F,Mum,No,Good,Above-7,0<x<25,24<x<49,49<x<73,x>74,1
F,lebanon,Syria,MiddleSchool,G-09,A,Geology,S,Mum,Yes,Bad,Under-7,50<x<75,x<0,0<x<24,x>74,0
F,KW,lebanon,MiddleSchool,G-12,A,Spanish,F,Mum,No,Good,Under-7,50<x<75,24<x<49,24<x<49,x>74,0
M,Egypt,venzuela,HighSchool,G-04,A,Geology,F,Mum,Yes,Good,Above-7,0<x<25,0<x<24,24<x<49,x>74,1
F,USA,Lybia,HighSchool,G-02,B,Quran,S,Father,Yes,Good,Under-7,25<x<50,49<x<74,49<x<73,25<x<50,0
F,Iran,venzuela,HighSchool,G-07,C,Spanish,S,Mum,No,Bad,Above-7,x>75,x>74,49<x<73,25<x<50,2
F,USA,venzuela,HighSchool,G-09,B,Biology,F,Mum,Yes,Bad,Above-7,50<x<75,49<x<74,0<x<24,1<x<25,1
M,USA,venzuela,MiddleSchool,G-10,C,Arabic,S,Mum,No,Bad,Above-7,25<x<50,0<x<24,0<x<24,1<x<25,1
M,Palestine,Egypt,lowerlevel,G-04,C,Math,S,Mum,No,Good,Above-7,x>75,24<x<49,24<x<49,x>74,2
F,SaudiArabia,Palestine,MiddleSchool,G-12,C,IT,F,Father,No,Good,Under-7,50<x<75,24<x<49,24<x<49,1<x<25,2
F,USA,Iran,lowerlevel,G-06,C,History,F,Father,Yes,Bad,Above-7,25<x<50,49<x<74,x>73,x>74,2
F,Jordan,lebanon,MiddleSchool,G-02,C,Chemistry,S,Mum,Yes,Bad,Above-7,0<x<25,x>74,0<x<24,x>74,2
F,Syria,KuwaIT,MiddleSchool,G-08,B,Quran,F,Mum,Yes,Bad,Above-7,x>75,49<x<74,24<x<49,25<x<50,2
F,Morocco,Egypt,lowerlevel,G-06,C,Science,F,Mum,Yes,Good,Above-7,x>75,0<x<24,0<x<24,x>74,2
F,Tunis,Morocco,HighSchool,G-08,A,Science,F,Mum,Yes,Bad,Above-7,x>75,0<x<24,x<0,25<x<50,1
F,lebanon,Tunis,MiddleSchool,G-02,C,Biology,S,Father,Yes,Bad,Under-7,x>75,49<x<74,0<x<24,x>74,2
M,Lybia,Lybia,lowerlevel,G-11,C,Spanish,S,Mum,Yes,Bad,Under-7,0<x<25,x>74,49<x<73,25<x<50,2
