marriage,gender,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
single,M,no checking,4<x<21,existing paid,furniture/equipment,250<x<4793,500<=X<1000,1<=X<4,1,none,2,car,19<x<33,none,own,1,skilled,1,yes,yes,good
div/dep/mar,F,<0,4<x<21,existing paid,furniture/equipment,250<x<4793,<100,unemployed,4,none,2,car,19<x<33,none,own,1,skilled,1,none,yes,bad
div/dep/mar,F,0<=X<200,4<x<21,existing paid,furniture/equipment,250<x<4793,>=1000,<1,4,none,1,real estate,19<x<33,none,own,1,skilled,1,none,yes,good
div/dep/mar,F,no checking,21<x<38,existing paid,furniture/equipment,250<x<4793,<100,4<=X<7,2,none,4,life insurance,19<x<33,none,rent,1,skilled,1,yes,yes,good
div/sep,M,0<=X<200,21<x<38,critical/other existing credit,business,250<x<4793,<100,>=7,4,none,4,real estate,19<x<33,none,own,2,skilled,1,yes,yes,bad
single,M,<0,4<x<21,no credits/all paid,new car,250<x<4793,<100,>=7,4,none,3,car,19<x<33,none,rent,2,skilled,2,none,yes,bad
div/dep/mar,F,no checking,4<x<21,existing paid,furniture/equipment,250<x<4793,<100,1<=X<4,4,none,1,real estate,19<x<33,none,own,1,skilled,1,yes,yes,good
div/dep/mar,F,0<=X<200,21<x<38,delayed previously,furniture/equipment,250<x<4793,<100,unemployed,3,none,2,life insurance,33<x<47,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
single,M,0<=X<200,4<x<21,existing paid,radio/tv,250<x<4793,<100,1<=X<4,4,guarantor,2,real estate,19<x<33,none,own,1,skilled,1,none,no,good
single,M,<0,4<x<21,delayed previously,education,250<x<4793,<100,<1,2,none,1,life insurance,19<x<33,none,own,2,skilled,1,none,yes,bad
div/dep/mar,F,no checking,21<x<38,all paid,used car,4793<x<9337,no known savings,unemployed,4,none,1,real estate,47<x<61,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
div/sep,M,<0,4<x<21,existing paid,furniture/equipment,250<x<4793,<100,1<=X<4,2,none,1,car,33<x<47,none,own,1,skilled,1,none,yes,good
single,M,<0,4<x<21,critical/other existing credit,radio/tv,250<x<4793,500<=X<1000,>=7,4,none,4,car,47<x<61,none,own,2,skilled,1,none,yes,good
single,M,no checking,4<x<21,existing paid,radio/tv,250<x<4793,<100,4<=X<7,4,none,2,car,19<x<33,none,rent,2,high qualif/self emp/mgmt,2,yes,yes,good
single,M,<0,4<x<21,critical/other existing credit,new car,250<x<4793,<100,>=7,4,none,4,real estate,x>61,none,own,2,skilled,1,none,yes,good
div/sep,M,no checking,21<x<38,delayed previously,business,9337<x<13880,<100,<1,1,none,1,car,19<x<33,none,own,2,skilled,1,none,yes,bad
div/sep,M,0<=X<200,21<x<38,delayed previously,business,250<x<4793,<100,1<=X<4,2,none,2,real estate,19<x<33,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
single,M,<0,4<x<21,all paid,new car,250<x<4793,no known savings,1<=X<4,4,none,2,life insurance,33<x<47,none,own,2,unskilled resident,2,none,yes,bad
single,M,no checking,21<x<38,critical/other existing credit,furniture/equipment,250<x<4793,>=1000,1<=X<4,4,none,4,real estate,47<x<61,none,own,1,skilled,1,yes,yes,good
single,M,0<=X<200,4<x<21,critical/other existing credit,new car,250<x<4793,<100,>=7,4,none,4,car,33<x<47,bank,own,1,skilled,2,yes,yes,bad
single,M,no checking,4<x<21,critical/other existing credit,radio/tv,250<x<4793,<100,1<=X<4,4,none,2,life insurance,19<x<33,none,own,2,skilled,1,none,yes,good
div/dep/mar,F,0<=X<200,4<x<21,all paid,used car,4793<x<9337,<100,>=7,2,none,4,no known property,x>61,bank,for free,1,high qualif/self emp/mgmt,2,yes,yes,bad
single,M,0<=X<200,4<x<21,critical/other existing credit,new car,250<x<4793,<100,unemployed,2,none,3,car,x>61,none,for free,3,unemp/unskilled non res,1,yes,yes,good
mar/wid,M,<0,4<x<21,existing paid,radio/tv,250<x<4793,100<=X<500,4<=X<7,4,none,1,life insurance,19<x<33,none,own,1,skilled,1,none,yes,bad
div/dep/mar,F,0<=X<200,4<x<21,no credits/all paid,furniture/equipment,250<x<4793,<100,1<=X<4,1,none,4,car,19<x<33,bank,own,2,skilled,1,yes,yes,good
single,M,no checking,21<x<38,existing paid,business,250<x<4793,>=1000,1<=X<4,2,none,3,life insurance,47<x<61,none,own,3,high qualif/self emp/mgmt,1,yes,yes,bad
single,M,0<=X<200,38<x<55,no credits/all paid,business,250<x<4793,100<=X<500,4<=X<7,4,none,4,no known property,33<x<47,none,for free,1,unskilled resident,2,none,yes,bad
single,M,0<=X<200,21<x<38,existing paid,business,250<x<4793,<100,1<=X<4,4,none,2,car,33<x<47,none,own,1,skilled,2,yes,yes,bad
mar/wid,M,no checking,4<x<21,existing paid,radio/tv,250<x<4793,<100,4<=X<7,2,none,2,real estate,19<x<33,none,rent,1,skilled,1,none,yes,good
single,M,0<=X<200,38<x<55,existing paid,radio/tv,250<x<4793,100<=X<500,1<=X<4,4,guarantor,4,life insurance,19<x<33,none,rent,1,skilled,1,none,yes,bad
div/dep/mar,F,0<=X<200,4<x<21,critical/other existing credit,education,250<x<4793,<100,>=7,2,none,3,car,33<x<47,none,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
div/dep/mar,F,no checking,4<x<21,critical/other existing credit,radio/tv,250<x<4793,<100,1<=X<4,1,none,1,car,19<x<33,none,own,2,skilled,1,yes,yes,good
div/dep/mar,F,0<=X<200,4<x<21,existing paid,furniture/equipment,250<x<4793,100<=X<500,<1,4,none,4,car,19<x<33,bank,rent,4,skilled,1,none,yes,bad
single,M,0<=X<200,21<x<38,existing paid,used car,250<x<4793,no known savings,>=7,4,none,4,no known property,33<x<47,bank,for free,1,skilled,1,yes,yes,good
div/sep,M,0<=X<200,4<x<21,delayed previously,furniture/equipment,250<x<4793,<100,>=7,4,none,3,no known property,33<x<47,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
single,M,no checking,4<x<21,critical/other existing credit,education,250<x<4793,500<=X<1000,>=7,4,none,2,car,47<x<61,none,own,2,skilled,1,yes,yes,good
mar/wid,M,<0,4<x<21,existing paid,new car,250<x<4793,<100,1<=X<4,4,none,3,real estate,19<x<33,none,own,1,unskilled resident,1,none,yes,good
single,M,no checking,21<x<38,delayed previously,business,4793<x<9337,<100,4<=X<7,3,none,4,car,19<x<33,none,own,2,skilled,1,none,yes,good
mar/wid,M,<0,4<x<21,existing paid,retraining,250<x<4793,<100,4<=X<7,4,none,4,life insurance,19<x<33,none,rent,1,skilled,1,none,yes,bad
single,M,no checking,4<x<21,critical/other existing credit,new car,250<x<4793,<100,>=7,4,none,1,real estate,33<x<47,none,own,2,unskilled resident,2,none,yes,good
single,M,<0,21<x<38,critical/other existing credit,used car,9337<x<13880,<100,>=7,3,none,4,no known property,33<x<47,none,for free,3,high qualif/self emp/mgmt,2,yes,yes,good
single,M,no checking,4<x<21,critical/other existing credit,furniture/equipment,250<x<4793,<100,>=7,4,none,4,real estate,33<x<47,none,own,3,skilled,1,yes,yes,good
single,M,0<=X<200,4<x<21,critical/other existing credit,domestic appliance,250<x<4793,<100,4<=X<7,4,none,3,life insurance,19<x<33,none,own,1,skilled,1,none,yes,good
mar/wid,M,<0,21<x<38,existing paid,business,4793<x<9337,<100,1<=X<4,2,none,2,car,19<x<33,stores,own,1,unskilled resident,1,none,yes,good
single,M,no checking,4<x<21,existing paid,used car,250<x<4793,>=1000,4<=X<7,3,none,2,life insurance,47<x<61,none,own,1,skilled,1,none,no,good
single,M,no checking,4<x<21,critical/other existing credit,radio/tv,250<x<4793,no known savings,1<=X<4,1,none,2,real estate,19<x<33,none,own,2,skilled,2,none,yes,good
div/dep/mar,F,no checking,21<x<38,existing paid,radio/tv,250<x<4793,no known savings,>=7,2,none,4,real estate,33<x<47,none,own,1,unskilled resident,1,yes,yes,good
single,M,<0,21<x<38,no credits/all paid,business,4793<x<9337,<100,unemployed,2,none,4,life insurance,47<x<61,stores,own,2,skilled,1,yes,yes,bad
single,M,>=200,21<x<38,delayed previously,business,250<x<4793,<100,>=7,4,none,4,real estate,x>61,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
single,M,no checking,21<x<38,critical/other existing credit,radio/tv,250<x<4793,no known savings,>=7,4,none,2,car,47<x<61,none,own,1,skilled,1,yes,yes,good
div/dep/mar,F,0<=X<200,4<x<21,critical/other existing credit,retraining,250<x<4793,no known savings,4<=X<7,1,none,3,life insurance,33<x<47,none,own,2,unskilled resident,1,none,yes,good
single,M,<0,4<x<21,no credits/all paid,business,250<x<4793,<100,4<=X<7,3,none,1,life insurance,19<x<33,bank,own,1,skilled,1,yes,yes,good
single,M,>=200,21<x<38,existing paid,radio/tv,250<x<4793,<100,1<=X<4,2,none,2,real estate,19<x<33,none,own,1,skilled,1,yes,yes,good
div/sep,M,<0,21<x<38,existing paid,furniture/equipment,250<x<4793,<100,1<=X<4,2,none,2,real estate,19<x<33,none,rent,1,unskilled resident,1,none,yes,good
div/dep/mar,F,no checking,4<x<21,existing paid,new car,250<x<4793,<100,1<=X<4,2,none,4,car,x>61,none,own,1,skilled,1,yes,yes,good
mar/wid,M,0<=X<200,4<x<21,existing paid,radio/tv,250<x<4793,<100,<1,4,guarantor,1,real estate,19<x<33,bank,own,1,unskilled resident,1,none,yes,good
div/dep/mar,F,<0,4<x<21,existing paid,education,250<x<4793,no known savings,1<=X<4,4,none,4,life insurance,19<x<33,bank,rent,1,skilled,1,yes,yes,good
single,M,no checking,4<x<21,existing paid,radio/tv,250<x<4793,<100,1<=X<4,4,none,2,real estate,19<x<33,bank,own,2,skilled,1,none,yes,good
single,M,no checking,21<x<38,delayed previously,business,250<x<4793,no known savings,1<=X<4,4,none,4,real estate,19<x<33,none,own,2,skilled,2,yes,yes,good
single,M,no checking,4<x<21,existing paid,used car,250<x<4793,<100,1<=X<4,3,none,2,car,19<x<33,none,own,1,skilled,1,yes,yes,good
single,M,no checking,21<x<38,no credits/all paid,repairs,250<x<4793,<100,1<=X<4,4,none,2,car,19<x<33,none,own,2,skilled,1,none,yes,good
single,M,0<=X<200,38<x<55,existing paid,radio/tv,9337<x<13880,>=1000,4<=X<7,1,co applicant,2,no known property,19<x<33,bank,own,2,skilled,1,yes,yes,bad
single,M,<0,4<x<21,existing paid,furniture/equipment,4793<x<9337,<100,>=7,4,none,4,no known property,47<x<61,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
single,M,no checking,4<x<21,existing paid,radio/tv,250<x<4793,<100,4<=X<7,4,none,2,car,19<x<33,none,own,1,skilled,1,none,yes,bad
single,M,<0,21<x<38,existing paid,furniture/equipment,250<x<4793,<100,<1,4,none,1,no known property,19<x<33,bank,for free,1,skilled,1,none,yes,good
single,M,>=200,21<x<38,existing paid,radio/tv,250<x<4793,<100,1<=X<4,4,none,2,car,19<x<33,none,own,1,skilled,1,none,yes,bad
single,M,no checking,4<x<21,existing paid,new car,250<x<4793,500<=X<1000,>=7,2,none,4,no known property,47<x<61,none,for free,1,unskilled resident,1,none,yes,good
single,M,no checking,4<x<21,existing paid,radio/tv,250<x<4793,100<=X<500,4<=X<7,3,none,1,no known property,33<x<47,none,own,1,skilled,1,none,yes,good
mar/wid,M,0<=X<200,4<x<21,existing paid,radio/tv,250<x<4793,<100,1<=X<4,4,guarantor,2,real estate,19<x<33,none,own,1,unskilled resident,1,none,yes,good
single,M,no checking,x<4,critical/other existing credit,radio/tv,250<x<4793,<100,4<=X<7,2,none,1,real estate,33<x<47,none,own,3,unskilled resident,2,none,yes,good
single,M,<0,21<x<38,existing paid,radio/tv,250<x<4793,<100,unemployed,4,none,2,car,19<x<33,stores,own,1,high qualif/self emp/mgmt,2,none,yes,bad
single,M,0<=X<200,4<x<21,existing paid,new car,x>13880,no known savings,unemployed,1,none,2,life insurance,19<x<33,none,own,1,unemp/unskilled non res,1,yes,yes,bad
div/sep,M,0<=X<200,4<x<21,existing paid,business,250<x<4793,100<=X<500,>=7,4,none,2,car,47<x<61,bank,rent,2,unskilled resident,1,none,yes,bad
div/dep/mar,F,no checking,4<x<21,critical/other existing credit,radio/tv,250<x<4793,<100,1<=X<4,4,none,2,life insurance,33<x<47,none,own,2,skilled,1,none,yes,good
single,M,<0,21<x<38,existing paid,radio/tv,250<x<4793,<100,>=7,1,guarantor,3,life insurance,33<x<47,none,own,1,skilled,2,none,yes,good
div/dep/mar,F,<0,21<x<38,existing paid,new car,250<x<4793,no known savings,>=7,4,none,2,car,19<x<33,bank,own,1,skilled,1,none,yes,bad
single,M,no checking,4<x<21,existing paid,radio/tv,250<x<4793,<100,4<=X<7,3,none,2,life insurance,47<x<61,none,own,1,skilled,2,none,yes,good
single,M,<0,38<x<55,no credits/all paid,used car,250<x<4793,<100,>=7,3,none,4,no known property,19<x<33,none,for free,2,skilled,2,none,yes,bad
div/dep/mar,F,no checking,4<x<21,critical/other existing credit,business,250<x<4793,<100,1<=X<4,3,none,2,real estate,19<x<33,none,own,2,skilled,1,none,yes,good
div/dep/mar,F,no checking,4<x<21,all paid,retraining,250<x<4793,500<=X<1000,1<=X<4,4,none,3,real estate,33<x<47,none,own,1,unskilled resident,2,none,yes,good
single,M,no checking,21<x<38,existing paid,business,250<x<4793,<100,4<=X<7,4,none,1,real estate,19<x<33,none,own,1,skilled,1,yes,yes,good
single,M,no checking,4<x<21,critical/other existing credit,radio/tv,250<x<4793,<100,>=7,4,none,4,real estate,47<x<61,none,own,3,skilled,1,none,yes,good
single,M,no checking,4<x<21,no credits/all paid,new car,250<x<4793,100<=X<500,1<=X<4,4,none,1,no known property,33<x<47,bank,rent,1,skilled,1,none,no,good
single,M,>=200,21<x<38,existing paid,furniture/equipment,250<x<4793,<100,1<=X<4,2,none,2,real estate,19<x<33,none,own,1,skilled,1,none,yes,good
div/dep/mar,F,no checking,4<x<21,existing paid,radio/tv,250<x<4793,<100,unemployed,3,co applicant,4,real estate,19<x<33,none,rent,1,skilled,1,none,yes,bad
div/dep/mar,F,<0,4<x<21,critical/other existing credit,new car,250<x<4793,>=1000,4<=X<7,3,none,4,real estate,33<x<47,none,own,2,unskilled resident,1,yes,yes,good
div/dep/mar,F,>=200,4<x<21,existing paid,furniture/equipment,250<x<4793,<100,1<=X<4,1,none,2,car,33<x<47,none,own,1,unskilled resident,1,none,yes,good
div/dep/mar,F,0<=X<200,21<x<38,existing paid,new car,250<x<4793,<100,1<=X<4,4,guarantor,2,no known property,19<x<33,bank,own,1,skilled,1,none,yes,bad
single,M,no checking,21<x<38,delayed previously,furniture/equipment,250<x<4793,100<=X<500,1<=X<4,2,none,3,life insurance,33<x<47,none,own,2,skilled,1,none,yes,good
single,M,0<=X<200,4<x<21,existing paid,furniture/equipment,250<x<4793,no known savings,4<=X<7,2,none,1,car,19<x<33,none,own,1,skilled,1,yes,yes,good
single,M,0<=X<200,x>55,delayed previously,radio/tv,4793<x<9337,no known savings,1<=X<4,1,none,1,real estate,19<x<33,none,own,1,unskilled resident,1,none,yes,good
single,M,no checking,21<x<38,critical/other existing credit,radio/tv,250<x<4793,<100,1<=X<4,4,none,2,real estate,33<x<47,none,own,2,unskilled resident,1,none,yes,good
div/sep,M,<0,4<x<21,all paid,radio/tv,250<x<4793,<100,1<=X<4,4,none,1,no known property,19<x<33,none,for free,1,skilled,1,none,yes,bad
div/dep/mar,F,no checking,4<x<21,existing paid,used car,250<x<4793,100<=X<500,<1,1,none,4,car,19<x<33,none,own,1,skilled,1,yes,yes,good
div/dep/mar,F,no checking,4<x<21,critical/other existing credit,radio/tv,250<x<4793,100<=X<500,unemployed,4,none,4,real estate,47<x<61,none,own,3,unskilled resident,1,none,yes,good
single,M,<0,4<x<21,existing paid,furniture/equipment,250<x<4793,<100,1<=X<4,2,none,2,real estate,19<x<33,none,own,1,skilled,1,none,yes,good
div/dep/mar,F,<0,21<x<38,existing paid,radio/tv,250<x<4793,<100,>=7,4,none,4,car,47<x<61,none,own,1,skilled,1,none,yes,good
single,M,<0,4<x<21,critical/other existing credit,new car,4793<x<9337,<100,>=7,2,none,4,no known property,33<x<47,none,for free,3,high qualif/self emp/mgmt,1,yes,yes,good
div/dep/mar,F,no checking,4<x<21,critical/other existing credit,education,250<x<4793,<100,>=7,2,none,4,no known property,47<x<61,bank,for free,3,unskilled resident,1,none,yes,good
single,M,no checking,4<x<21,critical/other existing credit,new car,250<x<4793,<100,>=7,3,none,4,real estate,19<x<33,none,own,2,unskilled resident,2,none,no,good
single,M,0<=X<200,4<x<21,existing paid,radio/tv,250<x<4793,<100,>=7,4,none,3,car,33<x<47,none,own,1,skilled,2,none,yes,bad
single,M,no checking,21<x<38,critical/other existing credit,business,4793<x<9337,no known savings,>=7,4,none,4,real estate,33<x<47,none,own,2,skilled,1,none,yes,good
div/dep/mar,F,no checking,21<x<38,existing paid,radio/tv,250<x<4793,<100,<1,4,none,3,car,33<x<47,stores,own,1,skilled,1,yes,yes,good
div/sep,M,<0,4<x<21,existing paid,new car,4793<x<9337,<100,>=7,1,none,4,life insurance,33<x<47,none,own,1,high qualif/self emp/mgmt,1,yes,no,bad
single,M,no checking,21<x<38,existing paid,radio/tv,250<x<4793,no known savings,>=7,4,none,2,car,19<x<33,none,own,2,skilled,1,none,yes,good
single,M,no checking,4<x<21,existing paid,new car,250<x<4793,no known savings,4<=X<7,4,none,3,life insurance,19<x<33,none,own,1,skilled,1,none,no,good
div/dep/mar,F,no checking,4<x<21,critical/other existing credit,furniture/equipment,250<x<4793,500<=X<1000,4<=X<7,3,none,4,car,33<x<47,none,rent,1,skilled,1,yes,yes,good
single,M,0<=X<200,38<x<55,all paid,new car,9337<x<13880,no known savings,unemployed,4,co applicant,4,no known property,33<x<47,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
single,M,0<=X<200,38<x<55,existing paid,radio/tv,250<x<4793,<100,4<=X<7,4,none,4,real estate,19<x<33,none,own,2,skilled,1,none,yes,bad
div/sep,M,<0,21<x<38,existing paid,repairs,9337<x<13880,<100,<1,1,none,1,no known property,33<x<47,none,own,1,unskilled resident,1,yes,yes,bad
single,M,no checking,4<x<21,existing paid,radio/tv,250<x<4793,<100,1<=X<4,1,none,2,real estate,19<x<33,none,own,1,skilled,2,none,yes,good
div/dep/mar,F,no checking,4<x<21,critical/other existing credit,radio/tv,250<x<4793,<100,1<=X<4,2,none,2,car,19<x<33,none,own,2,skilled,1,none,yes,good
div/sep,M,<0,4<x<21,existing paid,furniture/equipment,250<x<4793,no known savings,>=7,2,none,4,life insurance,47<x<61,none,own,1,unskilled resident,1,yes,yes,good
div/dep/mar,F,no checking,4<x<21,existing paid,furniture/equipment,250<x<4793,<100,<1,1,none,4,life insurance,19<x<33,none,own,1,skilled,1,none,yes,bad
single,M,no checking,21<x<38,existing paid,radio/tv,250<x<4793,100<=X<500,1<=X<4,4,none,4,car,19<x<33,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
single,M,no checking,4<x<21,critical/other existing credit,used car,250<x<4793,>=1000,>=7,3,none,4,no known property,19<x<33,none,rent,2,skilled,1,yes,yes,good
single,M,no checking,4<x<21,existing paid,furniture/equipment,250<x<4793,<100,1<=X<4,4,none,2,real estate,47<x<61,none,own,1,skilled,1,none,yes,good
single,M,>=200,4<x<21,all paid,radio/tv,250<x<4793,no known savings,4<=X<7,4,none,4,car,47<x<61,bank,own,1,unskilled resident,1,none,yes,good
single,M,no checking,4<x<21,critical/other existing credit,furniture/equipment,250<x<4793,no known savings,>=7,4,none,4,life insurance,x>61,none,own,1,skilled,1,none,yes,good
div/sep,M,0<=X<200,21<x<38,critical/other existing credit,new car,250<x<4793,100<=X<500,<1,4,none,2,car,33<x<47,none,own,1,skilled,1,yes,yes,good
div/dep/mar,F,<0,38<x<55,existing paid,new car,9337<x<13880,<100,<1,1,none,1,real estate,33<x<47,none,own,1,unskilled resident,1,yes,yes,good
single,M,<0,38<x<55,existing paid,used car,250<x<4793,<100,4<=X<7,4,none,3,life insurance,19<x<33,none,own,1,skilled,2,none,yes,good
single,M,0<=X<200,38<x<55,delayed previously,other,4793<x<9337,100<=X<500,unemployed,2,none,4,no known property,19<x<33,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
div/dep/mar,F,0<=X<200,4<x<21,existing paid,radio/tv,250<x<4793,<100,1<=X<4,4,guarantor,4,real estate,47<x<61,none,own,2,skilled,1,yes,yes,good
mar/wid,M,<0,21<x<38,delayed previously,radio/tv,250<x<4793,<100,<1,4,none,4,real estate,47<x<61,stores,own,1,skilled,1,none,yes,bad
mar/wid,M,no checking,4<x<21,existing paid,business,250<x<4793,<100,1<=X<4,2,none,2,real estate,19<x<33,none,own,1,skilled,1,yes,no,good
mar/wid,M,0<=X<200,21<x<38,existing paid,used car,9337<x<13880,<100,<1,1,none,4,car,19<x<33,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,bad
div/dep/mar,F,<0,21<x<38,critical/other existing credit,used car,4793<x<9337,<100,>=7,2,none,4,no known property,33<x<47,none,for free,2,high qualif/self emp/mgmt,2,yes,yes,good
single,M,>=200,38<x<55,critical/other existing credit,used car,4793<x<9337,<100,>=7,4,none,4,no known property,47<x<61,none,for free,1,skilled,1,none,yes,good
div/sep,M,no checking,38<x<55,critical/other existing credit,business,4793<x<9337,no known savings,>=7,4,none,2,car,33<x<47,bank,own,2,high qualif/self emp/mgmt,2,none,yes,good
div/dep/mar,F,0<=X<200,38<x<55,existing paid,furniture/equipment,9337<x<13880,<100,<1,1,none,2,car,19<x<33,none,own,1,skilled,1,yes,yes,bad
div/dep/mar,F,no checking,4<x<21,existing paid,used car,250<x<4793,no known savings,<1,1,none,4,car,19<x<33,none,rent,1,skilled,1,none,yes,good
single,M,no checking,4<x<21,existing paid,new car,250<x<4793,no known savings,>=7,4,co applicant,2,life insurance,33<x<47,none,own,1,unskilled resident,1,none,no,good
single,M,no checking,4<x<21,existing paid,furniture/equipment,250<x<4793,<100,1<=X<4,3,none,4,real estate,33<x<47,none,own,1,skilled,1,yes,yes,good
single,M,0<=X<200,4<x<21,critical/other existing credit,furniture/equipment,250<x<4793,>=1000,4<=X<7,3,none,2,car,19<x<33,none,own,2,skilled,1,yes,yes,good
div/dep/mar,F,no checking,4<x<21,existing paid,new car,250<x<4793,<100,unemployed,1,none,4,real estate,47<x<61,none,own,1,unemp/unskilled non res,1,yes,yes,good
div/dep/mar,F,0<=X<200,21<x<38,no credits/all paid,radio/tv,250<x<4793,<100,1<=X<4,4,none,1,car,33<x<47,none,own,1,skilled,1,yes,yes,bad
single,M,>=200,21<x<38,critical/other existing credit,new car,250<x<4793,no known savings,4<=X<7,4,none,2,real estate,33<x<47,bank,own,2,unskilled resident,2,none,yes,bad
single,M,<0,4<x<21,critical/other existing credit,new car,250<x<4793,<100,4<=X<7,4,co applicant,3,life insurance,47<x<61,none,own,2,skilled,1,yes,yes,good
single,M,no checking,38<x<55,critical/other existing credit,new car,9337<x<13880,500<=X<1000,1<=X<4,2,none,2,no known property,33<x<47,bank,for free,1,skilled,1,none,yes,bad
div/sep,M,no checking,4<x<21,existing paid,furniture/equipment,250<x<4793,>=1000,1<=X<4,4,none,2,real estate,19<x<33,none,own,1,skilled,1,none,yes,good
div/dep/mar,F,no checking,21<x<38,existing paid,used car,4793<x<9337,no known savings,4<=X<7,2,none,4,life insurance,19<x<33,stores,rent,1,unskilled resident,1,none,yes,good
mar/wid,M,<0,4<x<21,existing paid,radio/tv,250<x<4793,100<=X<500,<1,4,none,3,no known property,19<x<33,none,own,1,unskilled resident,1,yes,yes,bad
div/dep/mar,F,0<=X<200,4<x<21,existing paid,furniture/equipment,250<x<4793,<100,1<=X<4,3,none,4,real estate,19<x<33,none,own,1,skilled,1,none,yes,bad
mar/wid,M,0<=X<200,4<x<21,existing paid,new car,250<x<4793,<100,1<=X<4,4,none,4,real estate,19<x<33,none,rent,1,unskilled resident,1,none,yes,good
single,M,0<=X<200,38<x<55,existing paid,other,4793<x<9337,no known savings,unemployed,3,none,4,no known property,33<x<47,bank,for free,1,unemp/unskilled non res,1,yes,yes,good
single,M,no checking,21<x<38,existing paid,furniture/equipment,4793<x<9337,100<=X<500,1<=X<4,4,none,1,car,19<x<33,stores,own,1,skilled,1,none,yes,good
div/dep/mar,F,>=200,21<x<38,existing paid,furniture/equipment,250<x<4793,<100,<1,2,none,4,car,19<x<33,none,own,1,skilled,1,none,yes,good
mar/wid,M,0<=X<200,4<x<21,existing paid,new car,250<x<4793,<100,4<=X<7,2,none,3,car,19<x<33,bank,own,1,unskilled resident,1,none,yes,bad
single,M,>=200,x<4,existing paid,new car,250<x<4793,no known savings,<1,1,none,2,real estate,19<x<33,none,own,1,unskilled resident,2,none,no,good
single,M,<0,21<x<38,all paid,furniture/equipment,250<x<4793,<100,>=7,4,none,4,car,19<x<33,bank,own,1,skilled,1,none,yes,bad
single,M,<0,4<x<21,existing paid,furniture/equipment,250<x<4793,<100,1<=X<4,2,guarantor,3,life insurance,33<x<47,none,own,1,unskilled resident,2,none,yes,good
div/dep/mar,F,0<=X<200,21<x<38,existing paid,furniture/equipment,250<x<4793,no known savings,1<=X<4,1,none,4,life insurance,47<x<61,none,own,1,unskilled resident,1,yes,yes,good
single,M,no checking,4<x<21,critical/other existing credit,education,250<x<4793,<100,1<=X<4,4,none,2,car,19<x<33,none,own,2,skilled,1,none,yes,good
div/dep/mar,F,<0,4<x<21,delayed previously,furniture/equipment,250<x<4793,<100,>=7,1,none,4,life insurance,19<x<33,none,own,2,unskilled resident,1,none,yes,good
mar/wid,M,0<=X<200,21<x<38,critical/other existing credit,new car,250<x<4793,<100,unemployed,4,none,2,car,19<x<33,none,own,2,high qualif/self emp/mgmt,1,none,yes,bad
div/sep,M,<0,21<x<38,existing paid,radio/tv,250<x<4793,<100,<1,4,none,3,life insurance,19<x<33,none,own,1,skilled,1,none,yes,bad
single,M,<0,21<x<38,existing paid,used car,250<x<4793,<100,4<=X<7,2,none,1,no known property,33<x<47,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
single,M,<0,4<x<21,existing paid,furniture/equipment,250<x<4793,>=1000,1<=X<4,4,none,2,car,19<x<33,none,own,1,skilled,1,none,yes,good
div/dep/mar,F,no checking,4<x<21,critical/other existing credit,new car,250<x<4793,<100,1<=X<4,4,none,3,real estate,33<x<47,none,own,2,skilled,1,none,yes,good
single,M,<0,4<x<21,critical/other existing credit,new car,250<x<4793,<100,4<=X<7,1,none,4,real estate,33<x<47,none,own,2,unskilled resident,1,none,no,good
single,M,no checking,4<x<21,critical/other existing credit,furniture/equipment,4793<x<9337,no known savings,>=7,2,none,4,life insurance,47<x<61,none,rent,1,skilled,1,yes,yes,good
div/dep/mar,F,no checking,21<x<38,existing paid,new car,250<x<4793,>=1000,4<=X<7,4,none,3,car,33<x<47,none,own,1,skilled,2,yes,yes,good
single,M,>=200,21<x<38,existing paid,radio/tv,250<x<4793,<100,>=7,4,none,2,car,19<x<33,none,own,1,skilled,1,none,yes,good
single,M,0<=X<200,4<x<21,existing paid,radio/tv,250<x<4793,<100,>=7,4,none,4,car,19<x<33,none,own,1,skilled,2,none,yes,good
single,M,<0,21<x<38,critical/other existing credit,used car,4793<x<9337,<100,unemployed,2,none,4,no known property,x>61,none,for free,2,high qualif/self emp/mgmt,1,yes,yes,good
div/dep/mar,F,no checking,4<x<21,critical/other existing credit,education,250<x<4793,100<=X<500,1<=X<4,4,none,2,real estate,19<x<33,none,own,2,skilled,1,none,yes,bad
